Wahpeton (dakota du nord)	Wahpeton (Dakota du Nord)	http://fr.dbpedia.org/resource/Wahpeton_(Dakota_du_Nord)
Wahpeton (Dakota du Nord)	Wahpeton (Dakota du Nord)	http://fr.dbpedia.org/resource/Wahpeton_(Dakota_du_Nord)
Waidhofen an der ybbs	Waidhofen an der Ybbs	http://fr.dbpedia.org/resource/Waidhofen_an_der_Ybbs
Waidhofen an der Ybbs	Waidhofen an der Ybbs	http://fr.dbpedia.org/resource/Waidhofen_an_der_Ybbs
Wald (Hohenzollern)	Wald (Bade-Wurtemberg)	http://fr.dbpedia.org/resource/Wald_(Bade-Wurtemberg)
Wald (Bade-Wurtemberg)	Wald (Bade-Wurtemberg)	http://fr.dbpedia.org/resource/Wald_(Bade-Wurtemberg)
Waldbockelheim	Waldböckelheim	http://fr.dbpedia.org/resource/Waldböckelheim
Waldböckelheim	Waldböckelheim	http://fr.dbpedia.org/resource/Waldböckelheim
Warrego River	Warrego (rivière)	http://fr.dbpedia.org/resource/Warrego_(rivière)
Warrego (rivière)	Warrego (rivière)	http://fr.dbpedia.org/resource/Warrego_(rivière)
Warrego	Warrego (rivière)	http://fr.dbpedia.org/resource/Warrego_(rivière)
Washington Court House (Ohio)	Washington Court House	http://fr.dbpedia.org/resource/Washington_Court_House
Washington Court House	Washington Court House	http://fr.dbpedia.org/resource/Washington_Court_House
Watertown (dakota du sud)	Watertown (Dakota du Sud)	http://fr.dbpedia.org/resource/Watertown_(Dakota_du_Sud)
Watertown (Dakota du Sud)	Watertown (Dakota du Sud)	http://fr.dbpedia.org/resource/Watertown_(Dakota_du_Sud)
Watertown Municipal Airport	Watertown (Dakota du Sud)	http://fr.dbpedia.org/resource/Watertown_(Dakota_du_Sud)
Aéroport municipal de Watertown	Watertown (Dakota du Sud)	http://fr.dbpedia.org/resource/Watertown_(Dakota_du_Sud)
Watford City (Dakota du Nord)	Watford City	http://fr.dbpedia.org/resource/Watford_City
Watford City	Watford City	http://fr.dbpedia.org/resource/Watford_City
West Yellowstone (Montana)	West Yellowstone	http://fr.dbpedia.org/resource/West_Yellowstone
West Yellowstone	West Yellowstone	http://fr.dbpedia.org/resource/West_Yellowstone
Wiener-Neustadt	Wiener Neustadt	http://fr.dbpedia.org/resource/Wiener_Neustadt
Wiener Neustadt	Wiener Neustadt	http://fr.dbpedia.org/resource/Wiener_Neustadt
Forêt de Vienne	Wienerwald	http://fr.dbpedia.org/resource/Wienerwald
Wienerwald	Wienerwald	http://fr.dbpedia.org/resource/Wienerwald
Bois de Vienne	Wienerwald	http://fr.dbpedia.org/resource/Wienerwald
Wiggertal	Wigger	http://fr.dbpedia.org/resource/Wigger
Wigger	Wigger	http://fr.dbpedia.org/resource/Wigger
Musée Woodmere Art	Woodmere Art Museum	http://fr.dbpedia.org/resource/Woodmere_Art_Museum
Woodmere Art Museum	Woodmere Art Museum	http://fr.dbpedia.org/resource/Woodmere_Art_Museum
Woonsocket (dakota du sud)	Woonsocket (Dakota du Sud)	http://fr.dbpedia.org/resource/Woonsocket_(Dakota_du_Sud)
Woonsocket (Dakota du Sud)	Woonsocket (Dakota du Sud)	http://fr.dbpedia.org/resource/Woonsocket_(Dakota_du_Sud)
Aéroport du comté de Wayne	Wooster (Ohio)	http://fr.dbpedia.org/resource/Wooster_(Ohio)
Wooster (Ohio)	Wooster (Ohio)	http://fr.dbpedia.org/resource/Wooster_(Ohio)
Wayne County Airport	Wooster (Ohio)	http://fr.dbpedia.org/resource/Wooster_(Ohio)
Wurtemberg-bade	Wurtemberg-Bade	http://fr.dbpedia.org/resource/Wurtemberg-Bade
Wurtemberg-Bade	Wurtemberg-Bade	http://fr.dbpedia.org/resource/Wurtemberg-Bade
Württemberg-Baden	Wurtemberg-Bade	http://fr.dbpedia.org/resource/Wurtemberg-Bade
Württemberg-Hohenzollern	Wurtemberg-Hohenzollern	http://fr.dbpedia.org/resource/Wurtemberg-Hohenzollern
Wurtemberg-Hohenzollern	Wurtemberg-Hohenzollern	http://fr.dbpedia.org/resource/Wurtemberg-Hohenzollern
Wurtemberg-hohenzollern	Wurtemberg-Hohenzollern	http://fr.dbpedia.org/resource/Wurtemberg-Hohenzollern
Île Wuvulu	Wuvulu	http://fr.dbpedia.org/resource/Wuvulu
Wuvulu	Wuvulu	http://fr.dbpedia.org/resource/Wuvulu
Wahpeton (Iowa)	Wahpeton (Iowa)	http://fr.dbpedia.org/resource/Wahpeton_(Iowa)
Wareham (Dorset)	Wareham (Dorset)	http://fr.dbpedia.org/resource/Wareham_(Dorset)
Warwick (Rhode Island)	Warwick (Rhode Island)	http://fr.dbpedia.org/resource/Warwick_(Rhode_Island)
Weissensee (Carinthie)	Weissensee (Carinthie)	http://fr.dbpedia.org/resource/Weissensee_(Carinthie)
Westhofen	Westhofen	http://fr.dbpedia.org/resource/Westhofen
White Waltham	White Waltham	http://fr.dbpedia.org/resource/White_Waltham
Whitstable	Whitstable	http://fr.dbpedia.org/resource/Whitstable
Wieprza	Wieprza	http://fr.dbpedia.org/resource/Wieprza
Winchelsea	Winchelsea	http://fr.dbpedia.org/resource/Winchelsea
Window Rock	Window Rock	http://fr.dbpedia.org/resource/Window_Rock
Wooburn	Wooburn	http://fr.dbpedia.org/resource/Wooburn
Worth Matravers	Worth Matravers	http://fr.dbpedia.org/resource/Worth_Matravers
Wyckoff	Wyckoff	http://fr.dbpedia.org/resource/Wyckoff
Wame	Wame	http://fr.dbpedia.org/resource/Wame
Wabash River	Wabash (rivière)	http://fr.dbpedia.org/resource/Wabash_(rivière)
Wabash (rivière)	Wabash (rivière)	http://fr.dbpedia.org/resource/Wabash_(rivière)
Fleuve Waitaki	Waitaki	http://fr.dbpedia.org/resource/Waitaki
Waitaki	Waitaki	http://fr.dbpedia.org/resource/Waitaki
Waitaki (fleuve)	Waitaki	http://fr.dbpedia.org/resource/Waitaki
Warm Springs (Georgie)	Warm Springs (Géorgie)	http://fr.dbpedia.org/resource/Warm_Springs_(Géorgie)
Warm Springs (Géorgie)	Warm Springs (Géorgie)	http://fr.dbpedia.org/resource/Warm_Springs_(Géorgie)
Washita River	Washita (rivière)	http://fr.dbpedia.org/resource/Washita_(rivière)
Washita (rivière)	Washita (rivière)	http://fr.dbpedia.org/resource/Washita_(rivière)
Weiskirchen (Sarre)	Weiskirchen	http://fr.dbpedia.org/resource/Weiskirchen
Weiskirchen	Weiskirchen	http://fr.dbpedia.org/resource/Weiskirchen
Bettingen (Wertheim)	Wertheim	http://fr.dbpedia.org/resource/Wertheim
Wertheim	Wertheim	http://fr.dbpedia.org/resource/Wertheim
West Finchley	West Finchley (métro de Londres)	http://fr.dbpedia.org/resource/West_Finchley_(métro_de_Londres)
