Riverfront Coliseum	U.S. Bank Arena	http://fr.dbpedia.org/resource/U.S._Bank_Arena
U.S. Bank Arena	U.S. Bank Arena	http://fr.dbpedia.org/resource/U.S._Bank_Arena
US Bank Arena	U.S. Bank Arena	http://fr.dbpedia.org/resource/U.S._Bank_Arena
Penn Museum	University of Pennsylvania Museum of Archaeology and Anthropology	http://fr.dbpedia.org/resource/University_of_Pennsylvania_Museum_of_Archaeology_and_Anthropology
University of Pennsylvania Museum of Archaeology and Anthropology	University of Pennsylvania Museum of Archaeology and Anthropology	http://fr.dbpedia.org/resource/University_of_Pennsylvania_Museum_of_Archaeology_and_Anthropology
Musée d'archéologie et d'anthropologie de l'Université de Pennsylvanie	University of Pennsylvania Museum of Archaeology and Anthropology	http://fr.dbpedia.org/resource/University_of_Pennsylvania_Museum_of_Archaeology_and_Anthropology
University of pennsylvania museum of archaeology and anthropology	University of Pennsylvania Museum of Archaeology and Anthropology	http://fr.dbpedia.org/resource/University_of_Pennsylvania_Museum_of_Archaeology_and_Anthropology
Uniao dos Palmares	União dos Palmares	http://fr.dbpedia.org/resource/União_dos_Palmares
União dos Palmares	União dos Palmares	http://fr.dbpedia.org/resource/União_dos_Palmares
União dos palmares	União dos Palmares	http://fr.dbpedia.org/resource/União_dos_Palmares
Renault - Usine de Douai	Usine Renault de Douai	http://fr.dbpedia.org/resource/Usine_Renault_de_Douai
Usine Renault de Douai	Usine Renault de Douai	http://fr.dbpedia.org/resource/Usine_Renault_de_Douai
Renault - usine de douai	Usine Renault de Douai	http://fr.dbpedia.org/resource/Usine_Renault_de_Douai
Ulster Museum	Ulster Museum	http://fr.dbpedia.org/resource/Ulster_Museum
Ungheni (Moldavie)	Ungheni (Moldavie)	http://fr.dbpedia.org/resource/Ungheni_(Moldavie)
Utiel	Utiel	http://fr.dbpedia.org/resource/Utiel
Filature Motte-Bossut	Usine Motte-Bossut	http://fr.dbpedia.org/resource/Usine_Motte-Bossut
Usine Motte-Bossut	Usine Motte-Bossut	http://fr.dbpedia.org/resource/Usine_Motte-Bossut
Uetliberg	Uetliberg	http://fr.dbpedia.org/resource/Uetliberg
Ullens Center for Contemporary Art	Ullens Center for Contemporary Art	http://fr.dbpedia.org/resource/Ullens_Center_for_Contemporary_Art
Union Station (Louisville)	Union Station (Louisville)	http://fr.dbpedia.org/resource/Union_Station_(Louisville)
Una (cours d'eau)	Una (rivière)	http://fr.dbpedia.org/resource/Una_(rivière)
Una (rivière)	Una (rivière)	http://fr.dbpedia.org/resource/Una_(rivière)
Rivière Una	Una (rivière)	http://fr.dbpedia.org/resource/Una_(rivière)
Unalakleet (Alaska)	Unalakleet	http://fr.dbpedia.org/resource/Unalakleet
Unalakleet	Unalakleet	http://fr.dbpedia.org/resource/Unalakleet
Unterschleissheim	Unterschleißheim	http://fr.dbpedia.org/resource/Unterschleißheim
Unterschleißheim	Unterschleißheim	http://fr.dbpedia.org/resource/Unterschleißheim
Ucka	Učka	http://fr.dbpedia.org/resource/Učka
Učka	Učka	http://fr.dbpedia.org/resource/Učka
Uhldingen-Mühlhofen	Uhldingen-Mühlhofen	http://fr.dbpedia.org/resource/Uhldingen-Mühlhofen
Ulea	Ulea	http://fr.dbpedia.org/resource/Ulea
Unterberg	Unterberg	http://fr.dbpedia.org/resource/Unterberg
Upminster (métro de Londres)	Upminster (métro de Londres)	http://fr.dbpedia.org/resource/Upminster_(métro_de_Londres)
Uxbridge (métro de Londres)	Uxbridge (métro de Londres)	http://fr.dbpedia.org/resource/Uxbridge_(métro_de_Londres)
UBC Winter Sports Center	UBC Winter Sports Centre	http://fr.dbpedia.org/resource/UBC_Winter_Sports_Centre
UBC Winter Sports Centre	UBC Winter Sports Centre	http://fr.dbpedia.org/resource/UBC_Winter_Sports_Centre
Stade Ullevaal	Ullevaal Stadion	http://fr.dbpedia.org/resource/Ullevaal_Stadion
Ullevaal Stadion	Ullevaal Stadion	http://fr.dbpedia.org/resource/Ullevaal_Stadion
