A. (Liverpool) Y.	Y., A. (Liverpool)	http://vocab.getty.edu/ulan/500370050
M. A. (Liverpool) Y.	Y., A. (Liverpool)	http://vocab.getty.edu/ulan/500370050
Y.	Y., A. (Liverpool)	http://vocab.getty.edu/ulan/500370050
M. Y.	Y., A. (Liverpool)	http://vocab.getty.edu/ulan/500370050
M A. (Liverpool) Y.	Y., A. (Liverpool)	http://vocab.getty.edu/ulan/500370050
A L Y.	Y., A. (Liverpool)	http://vocab.getty.edu/ulan/500370050
A. L. Y.	Y., A. (Liverpool)	http://vocab.getty.edu/ulan/500370050
M Y.	Y., A. (Liverpool)	http://vocab.getty.edu/ulan/500370050
Frederick Coffay Yohn	Yohn, Frederick Coffay	http://vocab.getty.edu/ulan/500030532	http://id.loc.gov/authorities/names/nr96009520
M. Yohn	Yohn, Frederick Coffay	http://vocab.getty.edu/ulan/500030532	http://id.loc.gov/authorities/names/nr96009520
Yohn	Yohn, Frederick Coffay	http://vocab.getty.edu/ulan/500030532	http://id.loc.gov/authorities/names/nr96009520
M. Frederick Coffay Yohn	Yohn, Frederick Coffay	http://vocab.getty.edu/ulan/500030532	http://id.loc.gov/authorities/names/nr96009520
F C Yohn	Yohn, Frederick Coffay	http://vocab.getty.edu/ulan/500030532	http://id.loc.gov/authorities/names/nr96009520
M Frederick Coffay Yohn	Yohn, Frederick Coffay	http://vocab.getty.edu/ulan/500030532	http://id.loc.gov/authorities/names/nr96009520
F. C. Yohn	Yohn, Frederick Coffay	http://vocab.getty.edu/ulan/500030532	http://id.loc.gov/authorities/names/nr96009520
M Yohn	Yohn, Frederick Coffay	http://vocab.getty.edu/ulan/500030532	http://id.loc.gov/authorities/names/nr96009520
Atilla Yücel	Yücel, Atilla	http://vocab.getty.edu/ulan/500267034
M Yücel	Yücel, Atilla	http://vocab.getty.edu/ulan/500267034
A Yücel	Yücel, Atilla	http://vocab.getty.edu/ulan/500267034
M Atilla Yücel	Yücel, Atilla	http://vocab.getty.edu/ulan/500267034
A. Yücel	Yücel, Atilla	http://vocab.getty.edu/ulan/500267034
M. Atilla Yücel	Yücel, Atilla	http://vocab.getty.edu/ulan/500267034
M. Yücel	Yücel, Atilla	http://vocab.getty.edu/ulan/500267034
Yücel	Yücel, Atilla	http://vocab.getty.edu/ulan/500267034
Yardly	Yardley	http://vocab.getty.edu/ulan/500370055
Yardley	Yardley	http://vocab.getty.edu/ulan/500370055
M Yardley	Yardley	http://vocab.getty.edu/ulan/500370055
M. Yardley	Yardley	http://vocab.getty.edu/ulan/500370055
Ken Yeang	Yeang, Ken	http://vocab.getty.edu/ulan/500091928	http://id.loc.gov/authorities/names/n87852283
M. Ken Yeang	Yeang, Ken	http://vocab.getty.edu/ulan/500091928	http://id.loc.gov/authorities/names/n87852283
M Ken Yeang	Yeang, Ken	http://vocab.getty.edu/ulan/500091928	http://id.loc.gov/authorities/names/n87852283
M. Yeang	Yeang, Ken	http://vocab.getty.edu/ulan/500091928	http://id.loc.gov/authorities/names/n87852283
K. Yeang	Yeang, Ken	http://vocab.getty.edu/ulan/500091928	http://id.loc.gov/authorities/names/n87852283
K Yeang	Yeang, Ken	http://vocab.getty.edu/ulan/500091928	http://id.loc.gov/authorities/names/n87852283
Yeang	Yeang, Ken	http://vocab.getty.edu/ulan/500091928	http://id.loc.gov/authorities/names/n87852283
M Yeang	Yeang, Ken	http://vocab.getty.edu/ulan/500091928	http://id.loc.gov/authorities/names/n87852283
Shōji Yoshida	Yoshida, Shōji	http://vocab.getty.edu/ulan/500338310	http://id.loc.gov/authorities/names/nr91012809
M. Shōji Yoshida	Yoshida, Shōji	http://vocab.getty.edu/ulan/500338310	http://id.loc.gov/authorities/names/nr91012809
S Yoshida	Yoshida, Shōji	http://vocab.getty.edu/ulan/500338310	http://id.loc.gov/authorities/names/nr91012809
Yoshida	Yoshida, Shōji	http://vocab.getty.edu/ulan/500338310	http://id.loc.gov/authorities/names/nr91012809
M Shōji Yoshida	Yoshida, Shōji	http://vocab.getty.edu/ulan/500338310	http://id.loc.gov/authorities/names/nr91012809
M Yoshida	Yoshida, Shōji	http://vocab.getty.edu/ulan/500338310	http://id.loc.gov/authorities/names/nr91012809
S. Yoshida	Yoshida, Shōji	http://vocab.getty.edu/ulan/500338310	http://id.loc.gov/authorities/names/nr91012809
M. Yoshida	Yoshida, Shōji	http://vocab.getty.edu/ulan/500338310	http://id.loc.gov/authorities/names/nr91012809
Barry Chen-Jiu Yang	Yang, Barry Chen Jiu	http://vocab.getty.edu/ulan/500260403
B. C. J. Yang	Yang, Barry Chen Jiu	http://vocab.getty.edu/ulan/500260403
B C J Yang	Yang, Barry Chen Jiu	http://vocab.getty.edu/ulan/500260403
Barry Chen Jiu Yang	Yang, Barry Chen Jiu	http://vocab.getty.edu/ulan/500260403
M Yang	Yang, Barry Chen Jiu	http://vocab.getty.edu/ulan/500260403
Yang	Yang, Barry Chen Jiu	http://vocab.getty.edu/ulan/500260403
M Barry Chen Jiu Yang	Yang, Barry Chen Jiu	http://vocab.getty.edu/ulan/500260403
M. Barry Chen Jiu Yang	Yang, Barry Chen Jiu	http://vocab.getty.edu/ulan/500260403
M. Yang	Yang, Barry Chen Jiu	http://vocab.getty.edu/ulan/500260403
Yun, Che-hong	Yun Che hong	http://vocab.getty.edu/ulan/500336132
Yun Che hong	Yun Che hong	http://vocab.getty.edu/ulan/500336132
M Yun Che hong	Yun Che hong	http://vocab.getty.edu/ulan/500336132
M. Yun Che hong	Yun Che hong	http://vocab.getty.edu/ulan/500336132
Robert Yarber	Yarber, Robert	http://vocab.getty.edu/ulan/500014288	http://id.loc.gov/authorities/names/nr89010993
R Yarber	Yarber, Robert	http://vocab.getty.edu/ulan/500014288	http://id.loc.gov/authorities/names/nr89010993
M Robert Yarber	Yarber, Robert	http://vocab.getty.edu/ulan/500014288	http://id.loc.gov/authorities/names/nr89010993
M Yarber	Yarber, Robert	http://vocab.getty.edu/ulan/500014288	http://id.loc.gov/authorities/names/nr89010993
M. Yarber	Yarber, Robert	http://vocab.getty.edu/ulan/500014288	http://id.loc.gov/authorities/names/nr89010993
M. Robert Yarber	Yarber, Robert	http://vocab.getty.edu/ulan/500014288	http://id.loc.gov/authorities/names/nr89010993
R. Yarber	Yarber, Robert	http://vocab.getty.edu/ulan/500014288	http://id.loc.gov/authorities/names/nr89010993
Yarber	Yarber, Robert	http://vocab.getty.edu/ulan/500014288	http://id.loc.gov/authorities/names/nr89010993
Arabelia Yorke	Yorke, Arabelia	http://vocab.getty.edu/ulan/500182826
Mme. Arabelia Yorke	Yorke, Arabelia	http://vocab.getty.edu/ulan/500182826
A. Yorke	Yorke, Arabelia	http://vocab.getty.edu/ulan/500182826
Mme. Yorke	Yorke, Arabelia	http://vocab.getty.edu/ulan/500182826
Mme Yorke	Yorke, Arabelia	http://vocab.getty.edu/ulan/500182826
Mme Arabelia Yorke	Yorke, Arabelia	http://vocab.getty.edu/ulan/500182826
Yorke	Yorke, Arabelia	http://vocab.getty.edu/ulan/500182826
A Yorke	Yorke, Arabelia	http://vocab.getty.edu/ulan/500182826
Yakovlev, Aleksandr	Yakovlev, Aleksandr.	http://vocab.getty.edu/ulan/500120574	http://id.loc.gov/authorities/names/n93084674
A Yakovlev	Yakovlev, Aleksandr.	http://vocab.getty.edu/ulan/500120574	http://id.loc.gov/authorities/names/n93084674
M Yakovlev	Yakovlev, Aleksandr.	http://vocab.getty.edu/ulan/500120574	http://id.loc.gov/authorities/names/n93084674
M Aleksandr. Yakovlev	Yakovlev, Aleksandr.	http://vocab.getty.edu/ulan/500120574	http://id.loc.gov/authorities/names/n93084674
A. Yakovlev	Yakovlev, Aleksandr.	http://vocab.getty.edu/ulan/500120574	http://id.loc.gov/authorities/names/n93084674
M. Yakovlev	Yakovlev, Aleksandr.	http://vocab.getty.edu/ulan/500120574	http://id.loc.gov/authorities/names/n93084674
Yakovlev	Yakovlev, Aleksandr.	http://vocab.getty.edu/ulan/500120574	http://id.loc.gov/authorities/names/n93084674
Aleksandr. Yakovlev	Yakovlev, Aleksandr.	http://vocab.getty.edu/ulan/500120574	http://id.loc.gov/authorities/names/n93084674
M. Aleksandr. Yakovlev	Yakovlev, Aleksandr.	http://vocab.getty.edu/ulan/500120574	http://id.loc.gov/authorities/names/n93084674
Marta Yáñez de Santa Cruz	Yáñez de Santa Cruz, Marta	http://vocab.getty.edu/ulan/500040588
Mme Yáñez de Santa Cruz	Yáñez de Santa Cruz, Marta	http://vocab.getty.edu/ulan/500040588
Mme Marta Yáñez de Santa Cruz	Yáñez de Santa Cruz, Marta	http://vocab.getty.edu/ulan/500040588
Mme. Marta Yáñez de Santa Cruz	Yáñez de Santa Cruz, Marta	http://vocab.getty.edu/ulan/500040588
Mme. Yáñez de Santa Cruz	Yáñez de Santa Cruz, Marta	http://vocab.getty.edu/ulan/500040588
M Yáñez de Santa Cruz	Yáñez de Santa Cruz, Marta	http://vocab.getty.edu/ulan/500040588
Yáñez de Santa Cruz	Yáñez de Santa Cruz, Marta	http://vocab.getty.edu/ulan/500040588
M. Yáñez de Santa Cruz	Yáñez de Santa Cruz, Marta	http://vocab.getty.edu/ulan/500040588
William G. York	York, William G.	http://vocab.getty.edu/ulan/500182824
M York	York, William G.	http://vocab.getty.edu/ulan/500182824
W. G. York	York, William G.	http://vocab.getty.edu/ulan/500182824
W G York	York, William G.	http://vocab.getty.edu/ulan/500182824
York	York, William G.	http://vocab.getty.edu/ulan/500182824
M. York	York, William G.	http://vocab.getty.edu/ulan/500182824
M. William G. York	York, William G.	http://vocab.getty.edu/ulan/500182824
M William G. York	York, William G.	http://vocab.getty.edu/ulan/500182824
Manuel Yus y Colás	Yus y Colás, Manuel	http://vocab.getty.edu/ulan/500038250
Yus y Colás	Yus y Colás, Manuel	http://vocab.getty.edu/ulan/500038250
M Manuel Yus y Colás	Yus y Colás, Manuel	http://vocab.getty.edu/ulan/500038250
M Yus y Colás	Yus y Colás, Manuel	http://vocab.getty.edu/ulan/500038250
M. Manuel Yus y Colás	Yus y Colás, Manuel	http://vocab.getty.edu/ulan/500038250
M. Yus y Colás	Yus y Colás, Manuel	http://vocab.getty.edu/ulan/500038250
