M Ifrns (unidentified)	Ifrns (unidentified)	http://vocab.getty.edu/ulan/500295901
M. Ifrns (unidentified)	Ifrns (unidentified)	http://vocab.getty.edu/ulan/500295901
Ifrns (unidentified)	Ifrns (unidentified)	http://vocab.getty.edu/ulan/500295901
Flavia Irvine	Irvine, Flavia	http://vocab.getty.edu/ulan/500098538
Mme. Irvine	Irvine, Flavia	http://vocab.getty.edu/ulan/500098538
Mme Flavia Irvine	Irvine, Flavia	http://vocab.getty.edu/ulan/500098538
F. Irvine	Irvine, Flavia	http://vocab.getty.edu/ulan/500098538
F Irvine	Irvine, Flavia	http://vocab.getty.edu/ulan/500098538
Mme Irvine	Irvine, Flavia	http://vocab.getty.edu/ulan/500098538
Irvine	Irvine, Flavia	http://vocab.getty.edu/ulan/500098538
Mme. Flavia Irvine	Irvine, Flavia	http://vocab.getty.edu/ulan/500098538
Bertrand Ivanoff	Ivanoff, Bertrand	http://vocab.getty.edu/ulan/500334067
B Ivanoff	Ivanoff, Bertrand	http://vocab.getty.edu/ulan/500334067
B. Ivanoff	Ivanoff, Bertrand	http://vocab.getty.edu/ulan/500334067
M. Bertrand Ivanoff	Ivanoff, Bertrand	http://vocab.getty.edu/ulan/500334067
M Bertrand Ivanoff	Ivanoff, Bertrand	http://vocab.getty.edu/ulan/500334067
M. Ivanoff	Ivanoff, Bertrand	http://vocab.getty.edu/ulan/500334067
Ivanoff	Ivanoff, Bertrand	http://vocab.getty.edu/ulan/500334067
M Ivanoff	Ivanoff, Bertrand	http://vocab.getty.edu/ulan/500334067
J. P. Innis	Innis, J. P.	http://vocab.getty.edu/ulan/500093914
J. P. Innis	Innis, J. P.	http://vocab.getty.edu/ulan/500093914
J P Innis	Innis, J. P.	http://vocab.getty.edu/ulan/500093914
M J. P. Innis	Innis, J. P.	http://vocab.getty.edu/ulan/500093914
Innis	Innis, J. P.	http://vocab.getty.edu/ulan/500093914
M. J. P. Innis	Innis, J. P.	http://vocab.getty.edu/ulan/500093914
M. Innis	Innis, J. P.	http://vocab.getty.edu/ulan/500093914
M Innis	Innis, J. P.	http://vocab.getty.edu/ulan/500093914
Ryo Ishiara	Ishiara, Ryo	http://vocab.getty.edu/ulan/500248614
M Ishiara	Ishiara, Ryo	http://vocab.getty.edu/ulan/500248614
Ishiara	Ishiara, Ryo	http://vocab.getty.edu/ulan/500248614
M. Ryo Ishiara	Ishiara, Ryo	http://vocab.getty.edu/ulan/500248614
M. Ishiara	Ishiara, Ryo	http://vocab.getty.edu/ulan/500248614
M Ryo Ishiara	Ishiara, Ryo	http://vocab.getty.edu/ulan/500248614
R Ishiara	Ishiara, Ryo	http://vocab.getty.edu/ulan/500248614
R. Ishiara	Ishiara, Ryo	http://vocab.getty.edu/ulan/500248614
Iglesias, Manuel	Iglesias Recio, Manuel	http://vocab.getty.edu/ulan/500037454
M. Iglesias Recio	Iglesias Recio, Manuel	http://vocab.getty.edu/ulan/500037454
M Iglesias Recio	Iglesias Recio, Manuel	http://vocab.getty.edu/ulan/500037454
M. Manuel Iglesias Recio	Iglesias Recio, Manuel	http://vocab.getty.edu/ulan/500037454
Manuel Iglesias Recio	Iglesias Recio, Manuel	http://vocab.getty.edu/ulan/500037454
M Manuel Iglesias Recio	Iglesias Recio, Manuel	http://vocab.getty.edu/ulan/500037454
Iglesias Recio	Iglesias Recio, Manuel	http://vocab.getty.edu/ulan/500037454
Recio, Manuel Iglesias	Iglesias Recio, Manuel	http://vocab.getty.edu/ulan/500037454
Isabella II	Isabella II, Queen of Spain@en	http://vocab.getty.edu/ulan/500038704	http://id.loc.gov/authorities/names/n79065868
Q S Isabella II	Isabella II, Queen of Spain@en	http://vocab.getty.edu/ulan/500038704	http://id.loc.gov/authorities/names/n79065868
Mme Isabella II	Isabella II, Queen of Spain@en	http://vocab.getty.edu/ulan/500038704	http://id.loc.gov/authorities/names/n79065868
Mme. Isabella II	Isabella II, Queen of Spain@en	http://vocab.getty.edu/ulan/500038704	http://id.loc.gov/authorities/names/n79065868
Mme Queen of Spain@en Isabella II	Isabella II, Queen of Spain@en	http://vocab.getty.edu/ulan/500038704	http://id.loc.gov/authorities/names/n79065868
Queen of Spain@en Isabella II	Isabella II, Queen of Spain@en	http://vocab.getty.edu/ulan/500038704	http://id.loc.gov/authorities/names/n79065868
Q. S. Isabella II	Isabella II, Queen of Spain@en	http://vocab.getty.edu/ulan/500038704	http://id.loc.gov/authorities/names/n79065868
Mme. Queen of Spain@en Isabella II	Isabella II, Queen of Spain@en	http://vocab.getty.edu/ulan/500038704	http://id.loc.gov/authorities/names/n79065868
María Isabel Luisa, Queen of Spain	Isabella II, Queen of Spain@en	http://vocab.getty.edu/ulan/500038704	http://id.loc.gov/authorities/names/n79065868
Isabel II, Reina de España	Isabella II, Queen of Spain@en	http://vocab.getty.edu/ulan/500038704	http://id.loc.gov/authorities/names/n79065868
Isabelle II, reine d'Espagne	Isabella II, Queen of Spain@en	http://vocab.getty.edu/ulan/500038704	http://id.loc.gov/authorities/names/n79065868
Isabel II, reina d'Espanya	Isabella II, Queen of Spain@en	http://vocab.getty.edu/ulan/500038704	http://id.loc.gov/authorities/names/n79065868
Isabella II. Spanien, Königin	Isabella II, Queen of Spain@en	http://vocab.getty.edu/ulan/500038704	http://id.loc.gov/authorities/names/n79065868
Isabel II, regina di Spagna	Isabella II, Queen of Spain@en	http://vocab.getty.edu/ulan/500038704	http://id.loc.gov/authorities/names/n79065868
Isabel de Borbón Reina de España, Doña	Isabella II, Queen of Spain@en	http://vocab.getty.edu/ulan/500038704	http://id.loc.gov/authorities/names/n79065868
Isabel de Borbón Reina de España, S. M.	Isabella II, Queen of Spain@en	http://vocab.getty.edu/ulan/500038704	http://id.loc.gov/authorities/names/n79065868
Isabel de Borbón Reina de España, S. M. Doña	Isabella II, Queen of Spain@en	http://vocab.getty.edu/ulan/500038704	http://id.loc.gov/authorities/names/n79065868
Isabel de Borbón, S. M.	Isabella II, Queen of Spain@en	http://vocab.getty.edu/ulan/500038704	http://id.loc.gov/authorities/names/n79065868
Isabel de Borbón, S. M. Doña	Isabella II, Queen of Spain@en	http://vocab.getty.edu/ulan/500038704	http://id.loc.gov/authorities/names/n79065868
Isabel de Borbón, Doña	Isabella II, Queen of Spain@en	http://vocab.getty.edu/ulan/500038704	http://id.loc.gov/authorities/names/n79065868
Borbón, Doña Isabel, II	Isabella II, Queen of Spain@en	http://vocab.getty.edu/ulan/500038704	http://id.loc.gov/authorities/names/n79065868
Isabel II, Queen of Spain	Isabella II, Queen of Spain@en	http://vocab.getty.edu/ulan/500038704	http://id.loc.gov/authorities/names/n79065868
Isabel II, Queen of Spain and the Indies	Isabella II, Queen of Spain@en	http://vocab.getty.edu/ulan/500038704	http://id.loc.gov/authorities/names/n79065868
Isabel de Borbón	Isabella II, Queen of Spain@en	http://vocab.getty.edu/ulan/500038704	http://id.loc.gov/authorities/names/n79065868
Borbón, Isabel de	Isabella II, Queen of Spain@en	http://vocab.getty.edu/ulan/500038704	http://id.loc.gov/authorities/names/n79065868
Borbón, Isabel, II	Isabella II, Queen of Spain@en	http://vocab.getty.edu/ulan/500038704	http://id.loc.gov/authorities/names/n79065868
Isabel II de España	Isabella II, Queen of Spain@en	http://vocab.getty.edu/ulan/500038704	http://id.loc.gov/authorities/names/n79065868
María Isabel Luisa, Queen of Spain	Isabella II, Queen of Spain@en	http://vocab.getty.edu/ulan/500038704	http://id.loc.gov/authorities/names/n79065868
Marie Isabel II Louise	Isabella II, Queen of Spain@en	http://vocab.getty.edu/ulan/500038704	http://id.loc.gov/authorities/names/n79065868
Marie Isabelle II Louise	Isabella II, Queen of Spain@en	http://vocab.getty.edu/ulan/500038704	http://id.loc.gov/authorities/names/n79065868
MIchel Iorio	Iorio, MIchel	http://vocab.getty.edu/ulan/500243755
M. I. Iorio	Iorio, MIchel	http://vocab.getty.edu/ulan/500243755
Iorio	Iorio, MIchel	http://vocab.getty.edu/ulan/500243755
M I Iorio	Iorio, MIchel	http://vocab.getty.edu/ulan/500243755
M Iorio	Iorio, MIchel	http://vocab.getty.edu/ulan/500243755
M MIchel Iorio	Iorio, MIchel	http://vocab.getty.edu/ulan/500243755
M. MIchel Iorio	Iorio, MIchel	http://vocab.getty.edu/ulan/500243755
M. Iorio	Iorio, MIchel	http://vocab.getty.edu/ulan/500243755
Aimaro Isola	Isola, Aimaro	http://vocab.getty.edu/ulan/500108850	http://id.loc.gov/authorities/names/n85128012
Isola	Isola, Aimaro	http://vocab.getty.edu/ulan/500108850	http://id.loc.gov/authorities/names/n85128012
M. Aimaro Isola	Isola, Aimaro	http://vocab.getty.edu/ulan/500108850	http://id.loc.gov/authorities/names/n85128012
M Isola	Isola, Aimaro	http://vocab.getty.edu/ulan/500108850	http://id.loc.gov/authorities/names/n85128012
M Aimaro Isola	Isola, Aimaro	http://vocab.getty.edu/ulan/500108850	http://id.loc.gov/authorities/names/n85128012
A Isola	Isola, Aimaro	http://vocab.getty.edu/ulan/500108850	http://id.loc.gov/authorities/names/n85128012
M. Isola	Isola, Aimaro	http://vocab.getty.edu/ulan/500108850	http://id.loc.gov/authorities/names/n85128012
A. Isola	Isola, Aimaro	http://vocab.getty.edu/ulan/500108850	http://id.loc.gov/authorities/names/n85128012
Oreglia d'Isola, Aimaro	Isola, Aimaro	http://vocab.getty.edu/ulan/500108850	http://id.loc.gov/authorities/names/n85128012
d'Isola, Aimaro Oreglia	Isola, Aimaro	http://vocab.getty.edu/ulan/500108850	http://id.loc.gov/authorities/names/n85128012
Jos Ingenohl	Ingenohl, Jos	http://vocab.getty.edu/ulan/500055179
