Hubert de Vinols	Vinols, Hubert de	http://vocab.getty.edu/ulan/500245090
M. Hubert de Vinols	Vinols, Hubert de	http://vocab.getty.edu/ulan/500245090
M de Vinols	Vinols, Hubert de	http://vocab.getty.edu/ulan/500245090
H De Vinols	Vinols, Hubert de	http://vocab.getty.edu/ulan/500245090
M. de Vinols	Vinols, Hubert de	http://vocab.getty.edu/ulan/500245090
Vinols	Vinols, Hubert de	http://vocab.getty.edu/ulan/500245090
De Vinols	Vinols, Hubert de	http://vocab.getty.edu/ulan/500245090
de Vinols	Vinols, Hubert de	http://vocab.getty.edu/ulan/500245090
H. Vinols	Vinols, Hubert de	http://vocab.getty.edu/ulan/500245090
H. De Vinols	Vinols, Hubert de	http://vocab.getty.edu/ulan/500245090
M Hubert de Vinols	Vinols, Hubert de	http://vocab.getty.edu/ulan/500245090
M. Vinols	Vinols, Hubert de	http://vocab.getty.edu/ulan/500245090
M. De Vinols	Vinols, Hubert de	http://vocab.getty.edu/ulan/500245090
H de Vinols	Vinols, Hubert de	http://vocab.getty.edu/ulan/500245090
H Vinols	Vinols, Hubert de	http://vocab.getty.edu/ulan/500245090
H. de Vinols	Vinols, Hubert de	http://vocab.getty.edu/ulan/500245090
M Vinols	Vinols, Hubert de	http://vocab.getty.edu/ulan/500245090
M De Vinols	Vinols, Hubert de	http://vocab.getty.edu/ulan/500245090
De Vinols, Hubert	Vinols, Hubert de	http://vocab.getty.edu/ulan/500245090
Frans Verhas	Verhas, Frans	http://vocab.getty.edu/ulan/500111929
F. Verhas	Verhas, Frans	http://vocab.getty.edu/ulan/500111929
Verhas	Verhas, Frans	http://vocab.getty.edu/ulan/500111929
M Frans Verhas	Verhas, Frans	http://vocab.getty.edu/ulan/500111929
F Verhas	Verhas, Frans	http://vocab.getty.edu/ulan/500111929
M. Frans Verhas	Verhas, Frans	http://vocab.getty.edu/ulan/500111929
M Verhas	Verhas, Frans	http://vocab.getty.edu/ulan/500111929
M. Verhas	Verhas, Frans	http://vocab.getty.edu/ulan/500111929
M. Valenciennes Monogrammist	Valenciennes Monogrammist	http://vocab.getty.edu/ulan/500078487
M Valenciennes Monogrammist	Valenciennes Monogrammist	http://vocab.getty.edu/ulan/500078487
Valenciennes Monogrammist	Valenciennes Monogrammist	http://vocab.getty.edu/ulan/500078487
Joan Van Emden	Van Emden, Joan	http://vocab.getty.edu/ulan/500241531	http://id.loc.gov/authorities/names/n85822128
Mme. Van Emden	Van Emden, Joan	http://vocab.getty.edu/ulan/500241531	http://id.loc.gov/authorities/names/n85822128
Mme Joan Van Emden	Van Emden, Joan	http://vocab.getty.edu/ulan/500241531	http://id.loc.gov/authorities/names/n85822128
Mme. Joan Van Emden	Van Emden, Joan	http://vocab.getty.edu/ulan/500241531	http://id.loc.gov/authorities/names/n85822128
Van Emden	Van Emden, Joan	http://vocab.getty.edu/ulan/500241531	http://id.loc.gov/authorities/names/n85822128
J Van Emden	Van Emden, Joan	http://vocab.getty.edu/ulan/500241531	http://id.loc.gov/authorities/names/n85822128
J. Van Emden	Van Emden, Joan	http://vocab.getty.edu/ulan/500241531	http://id.loc.gov/authorities/names/n85822128
Mme Van Emden	Van Emden, Joan	http://vocab.getty.edu/ulan/500241531	http://id.loc.gov/authorities/names/n85822128
Rubem Valentim	Valentim, Rubem	http://vocab.getty.edu/ulan/500078488	http://id.loc.gov/authorities/names/n89183554
M. Valentim	Valentim, Rubem	http://vocab.getty.edu/ulan/500078488	http://id.loc.gov/authorities/names/n89183554
R Valentim	Valentim, Rubem	http://vocab.getty.edu/ulan/500078488	http://id.loc.gov/authorities/names/n89183554
