Lynne Yamamoto	Yamamoto, Lynne	http://vocab.getty.edu/ulan/500334876
L Yamamoto	Yamamoto, Lynne	http://vocab.getty.edu/ulan/500334876
Mme Lynne Yamamoto	Yamamoto, Lynne	http://vocab.getty.edu/ulan/500334876
Mme. Lynne Yamamoto	Yamamoto, Lynne	http://vocab.getty.edu/ulan/500334876
Mme. Yamamoto	Yamamoto, Lynne	http://vocab.getty.edu/ulan/500334876
Mme Yamamoto	Yamamoto, Lynne	http://vocab.getty.edu/ulan/500334876
Yamamoto	Yamamoto, Lynne	http://vocab.getty.edu/ulan/500334876
L. Yamamoto	Yamamoto, Lynne	http://vocab.getty.edu/ulan/500334876
Kōko Mankichi	Yoshitsuya	http://vocab.getty.edu/ulan/500332503
Yoshitsuya	Yoshitsuya	http://vocab.getty.edu/ulan/500332503
M Yoshitsuya	Yoshitsuya	http://vocab.getty.edu/ulan/500332503
M. Yoshitsuya	Yoshitsuya	http://vocab.getty.edu/ulan/500332503
Hōon	Yoshitsuya	http://vocab.getty.edu/ulan/500332503
Ichieisai Isseisai	Yoshitsuya	http://vocab.getty.edu/ulan/500332503
Ittensai	Yoshitsuya	http://vocab.getty.edu/ulan/500332503
Vera Yermolayeva	Yermolayeva, Vera	http://vocab.getty.edu/ulan/500120597
Mme. Vera Yermolayeva	Yermolayeva, Vera	http://vocab.getty.edu/ulan/500120597
V Yermolayeva	Yermolayeva, Vera	http://vocab.getty.edu/ulan/500120597
Mme Yermolayeva	Yermolayeva, Vera	http://vocab.getty.edu/ulan/500120597
V. Yermolayeva	Yermolayeva, Vera	http://vocab.getty.edu/ulan/500120597
Mme. Yermolayeva	Yermolayeva, Vera	http://vocab.getty.edu/ulan/500120597
Yermolayeva	Yermolayeva, Vera	http://vocab.getty.edu/ulan/500120597
Mme Vera Yermolayeva	Yermolayeva, Vera	http://vocab.getty.edu/ulan/500120597
Yermolayeva, Vera Mikhaylovna	Yermolayeva, Vera	http://vocab.getty.edu/ulan/500120597
Loukas Yiacouvakis	Yiacouvakis, Loukas	http://vocab.getty.edu/ulan/500262986
M Loukas Yiacouvakis	Yiacouvakis, Loukas	http://vocab.getty.edu/ulan/500262986
L. Yiacouvakis	Yiacouvakis, Loukas	http://vocab.getty.edu/ulan/500262986
M. Yiacouvakis	Yiacouvakis, Loukas	http://vocab.getty.edu/ulan/500262986
M. Loukas Yiacouvakis	Yiacouvakis, Loukas	http://vocab.getty.edu/ulan/500262986
M Yiacouvakis	Yiacouvakis, Loukas	http://vocab.getty.edu/ulan/500262986
L Yiacouvakis	Yiacouvakis, Loukas	http://vocab.getty.edu/ulan/500262986
Yiacouvakis	Yiacouvakis, Loukas	http://vocab.getty.edu/ulan/500262986
Karel Ykens	Ykens, Karel	http://vocab.getty.edu/ulan/500056685	http://id.loc.gov/authorities/names/nr97018393
K. Ykens	Ykens, Karel	http://vocab.getty.edu/ulan/500056685	http://id.loc.gov/authorities/names/nr97018393
M. Karel Ykens	Ykens, Karel	http://vocab.getty.edu/ulan/500056685	http://id.loc.gov/authorities/names/nr97018393
K Ykens	Ykens, Karel	http://vocab.getty.edu/ulan/500056685	http://id.loc.gov/authorities/names/nr97018393
Ykens	Ykens, Karel	http://vocab.getty.edu/ulan/500056685	http://id.loc.gov/authorities/names/nr97018393
M Ykens	Ykens, Karel	http://vocab.getty.edu/ulan/500056685	http://id.loc.gov/authorities/names/nr97018393
M Karel Ykens	Ykens, Karel	http://vocab.getty.edu/ulan/500056685	http://id.loc.gov/authorities/names/nr97018393
M. Ykens	Ykens, Karel	http://vocab.getty.edu/ulan/500056685	http://id.loc.gov/authorities/names/nr97018393
Eyckens, Karel	Ykens, Karel	http://vocab.getty.edu/ulan/500056685	http://id.loc.gov/authorities/names/nr97018393
Ijkens, Karel	Ykens, Karel	http://vocab.getty.edu/ulan/500056685	http://id.loc.gov/authorities/names/nr97018393
Eykens, C.	Ykens, Karel	http://vocab.getty.edu/ulan/500056685	http://id.loc.gov/authorities/names/nr97018393
Kyeong Sik Yoon	Yoon, Kyeong Sik	http://vocab.getty.edu/ulan/500288511
K S Yoon	Yoon, Kyeong Sik	http://vocab.getty.edu/ulan/500288511
Yoon	Yoon, Kyeong Sik	http://vocab.getty.edu/ulan/500288511
M. Kyeong Sik Yoon	Yoon, Kyeong Sik	http://vocab.getty.edu/ulan/500288511
M Kyeong Sik Yoon	Yoon, Kyeong Sik	http://vocab.getty.edu/ulan/500288511
M. Yoon	Yoon, Kyeong Sik	http://vocab.getty.edu/ulan/500288511
