Aragón de Gurrea y de Borja, Carlos de,	Aragón de Gurrea y de Borja, Carlos de,	http://datos.bne.es/resource/XX834413
Alsina	Alsina	http://datos.bne.es/resource/XX1410635
Arce, Javier	Arce, Javier	http://datos.bne.es/resource/XX958059	http://viaf.org/viaf/7419434	http://www.idref.fr/029367611/id	http://d-nb.info/gnd/1014226538
Arce, J.	Arce, Javier	http://datos.bne.es/resource/XX958059	http://viaf.org/viaf/7419434	http://www.idref.fr/029367611/id	http://d-nb.info/gnd/1014226538
Arce, J. Javier	Arce, Javier	http://datos.bne.es/resource/XX958059	http://viaf.org/viaf/7419434	http://www.idref.fr/029367611/id	http://d-nb.info/gnd/1014226538
Arce Martínez, Javier	Arce, Javier	http://datos.bne.es/resource/XX958059	http://viaf.org/viaf/7419434	http://www.idref.fr/029367611/id	http://d-nb.info/gnd/1014226538
Arce Martínez, Jesús Javier	Arce, Javier	http://datos.bne.es/resource/XX958059	http://viaf.org/viaf/7419434	http://www.idref.fr/029367611/id	http://d-nb.info/gnd/1014226538
Aflaq, Michel	Aflaq, Michel	http://datos.bne.es/resource/XX821424
Aragón Reyes, Manuel	Aragón Reyes, Manuel	http://datos.bne.es/resource/XX860916	http://viaf.org/viaf/122138139
Aragón, Manuel	Aragón Reyes, Manuel	http://datos.bne.es/resource/XX860916	http://viaf.org/viaf/122138139
Andersen, Ole From	Andersen, Ole From	http://datos.bne.es/resource/XX1500370	http://viaf.org/viaf/87225795
Aguerri Aladrén, Santiago	Aguerri Aladrén, Santiago	http://datos.bne.es/resource/XX822026
Aznar Casanova, José Antonio	Aznar Casanova, José Antonio	http://datos.bne.es/resource/XX836703	http://viaf.org/viaf/56504811
Aznar, J. A.	Aznar Casanova, José Antonio	http://datos.bne.es/resource/XX836703	http://viaf.org/viaf/56504811
Aristegui, Pedro de	Aristegui, Pedro de	http://datos.bne.es/resource/XX836702
Abellán, Manuel L.	Abellán, Manuel L.	http://datos.bne.es/resource/XX903232	http://viaf.org/viaf/114354610
Antequera, Marino	Antequera, Marino	http://datos.bne.es/resource/XX881367	http://viaf.org/viaf/642291	http://d-nb.info/gnd/111709032
Antequera García, Marino	Antequera, Marino	http://datos.bne.es/resource/XX881367	http://viaf.org/viaf/642291	http://d-nb.info/gnd/111709032
Alperi, Víctor	Alperi, Víctor	http://datos.bne.es/resource/XX838162	http://viaf.org/viaf/29659610
Alperi Fernández, Víctor	Alperi, Víctor	http://datos.bne.es/resource/XX838162	http://viaf.org/viaf/29659610
Adams, John Crawford	Adams, John Crawford	http://datos.bne.es/resource/XX914993	http://viaf.org/viaf/87834458
Adams, J. C.	Adams, John Crawford	http://datos.bne.es/resource/XX914993	http://viaf.org/viaf/87834458
Allan, Boris	Allan, Boris	http://datos.bne.es/resource/XX848363	http://viaf.org/viaf/87677723
