Bascu	Bascu	http://datos.bne.es/resource/XX5307887
Bonneville	Bonneville	http://datos.bne.es/resource/XX1669968
Batista, Juan Alfonso	Batista, Juan Alfonso	http://datos.bne.es/resource/XX849416
Bartlett, Randall	Bartlett, Randall	http://datos.bne.es/resource/XX848366
Berenguer, Severo	Berenguer, Severo	http://datos.bne.es/resource/XX1568563	http://viaf.org/viaf/87291690
Berenguer Mira, Severo	Berenguer, Severo	http://datos.bne.es/resource/XX1568563	http://viaf.org/viaf/87291690
España, C. de	Berenguer, Severo	http://datos.bne.es/resource/XX1568563	http://viaf.org/viaf/87291690
Beevers, D. G.	Beevers, D. G.	http://datos.bne.es/resource/XX851189
Beccadelli, Lodovico	Beccadelli, Lodovico	http://datos.bne.es/resource/XX1232624
Bacatellus, Ludovicus	Beccadelli, Lodovico	http://datos.bne.es/resource/XX1232624
Beccatelli, Lodovico	Beccadelli, Lodovico	http://datos.bne.es/resource/XX1232624
Barja Cangas y Tineo, Antonio de la	Barja Cangas y Tineo, Antonio de la	http://datos.bne.es/resource/XX846591
Batista de Lanuza, Miguel	Batista de Lanuza, Miguel	http://datos.bne.es/resource/XX849425
Batista de Lanuza y Tafalla, Miguel	Batista de Lanuza, Miguel	http://datos.bne.es/resource/XX849425
Bradley, F. H.	Bradley, F. H.	http://datos.bne.es/resource/XX1002648	http://viaf.org/viaf/34472371	http://d-nb.info/gnd/118672975	http://libris.kb.se/resource/auth/178896	http://www.idref.fr/028506162/id	http://dbpedia.org/resource/F._H._Bradley
Bradley, Francis Herbert	Bradley, F. H.	http://datos.bne.es/resource/XX1002648	http://viaf.org/viaf/34472371	http://d-nb.info/gnd/118672975	http://libris.kb.se/resource/auth/178896	http://www.idref.fr/028506162/id	http://dbpedia.org/resource/F._H._Bradley
Bonafous, Matthieu	Bonafous, Matthieu	http://datos.bne.es/resource/XX1765251
Benítez Reyes, Felipe	Benítez Reyes, Felipe	http://datos.bne.es/resource/XX1148129	http://viaf.org/viaf/79055779	http://www.idref.fr/02899647X/id	http://libris.kb.se/resource/auth/293684	http://d-nb.info/gnd/123346967
Benítez, Felipe	Benítez Reyes, Felipe	http://datos.bne.es/resource/XX1148129	http://viaf.org/viaf/79055779	http://www.idref.fr/02899647X/id	http://libris.kb.se/resource/auth/293684	http://d-nb.info/gnd/123346967
Berti, Giovanni Lorenzo	Berti, Giovanni Lorenzo	http://datos.bne.es/resource/XX1511852
Berlendi, Giovanni Paolo	Berlendi, Giovanni Paolo	http://datos.bne.es/resource/XX854644
Brudieu, Joan	Brudieu, Joan	http://datos.bne.es/resource/XX1058361	http://viaf.org/viaf/64199109	http://d-nb.info/gnd/140086536	http://dbpedia.org/resource/Joan_Brudieu
Berzelius, Jöns Jakob	Berzelius, Jöns Jakob	http://datos.bne.es/resource/XX1511853	http://viaf.org/viaf/41868753	http://libris.kb.se/resource/auth/178154	http://d-nb.info/gnd/118510185	http://dbpedia.org/resource/J%C3%B6ns_Jacob_Berzelius
Berzelius, J.	Berzelius, Jöns Jakob	http://datos.bne.es/resource/XX1511853	http://viaf.org/viaf/41868753	http://libris.kb.se/resource/auth/178154	http://d-nb.info/gnd/118510185	http://dbpedia.org/resource/J%C3%B6ns_Jacob_Berzelius
Berzelius, J. Jacob	Berzelius, Jöns Jakob	http://datos.bne.es/resource/XX1511853	http://viaf.org/viaf/41868753	http://libris.kb.se/resource/auth/178154	http://d-nb.info/gnd/118510185	http://dbpedia.org/resource/J%C3%B6ns_Jacob_Berzelius
Berzelius, J. J.	Berzelius, Jöns Jakob	http://datos.bne.es/resource/XX1511853	http://viaf.org/viaf/41868753	http://libris.kb.se/resource/auth/178154	http://d-nb.info/gnd/118510185	http://dbpedia.org/resource/J%C3%B6ns_Jacob_Berzelius
