Cairns, Francis	Cairns, Francis	http://datos.bne.es/resource/XX871968
Civilotti, Alejandro	Civilotti, Alejandro	http://datos.bne.es/resource/XX1046006	http://viaf.org/viaf/6649651
Civilotti Carvalho, Alejandro	Civilotti, Alejandro	http://datos.bne.es/resource/XX1046006	http://viaf.org/viaf/6649651
Cairo, Piero	Cairo, Piero	http://datos.bne.es/resource/XX1638553
Constant, H.	Constant, H.	http://datos.bne.es/resource/XX860919	http://viaf.org/viaf/87704734
Cirlot, Juan-Eduardo	Cirlot, Juan Eduardo	http://datos.bne.es/resource/XX983858	http://dbpedia.org/resource/Juan_Eduardo_Cirlot	http://viaf.org/viaf/24814	http://d-nb.info/gnd/119537370
Cirlot, J. E.	Cirlot, Juan Eduardo	http://datos.bne.es/resource/XX983858	http://dbpedia.org/resource/Juan_Eduardo_Cirlot	http://viaf.org/viaf/24814	http://d-nb.info/gnd/119537370
Cirlot, J.-E.	Cirlot, Juan Eduardo	http://datos.bne.es/resource/XX983858	http://dbpedia.org/resource/Juan_Eduardo_Cirlot	http://viaf.org/viaf/24814	http://d-nb.info/gnd/119537370
Cirlot, Juan Eduardo	Cirlot, Juan Eduardo	http://datos.bne.es/resource/XX983858	http://dbpedia.org/resource/Juan_Eduardo_Cirlot	http://viaf.org/viaf/24814	http://d-nb.info/gnd/119537370
Carpio Damas, Antonio	Carpio Damas, Antonio	http://datos.bne.es/resource/XX1068449	http://viaf.org/viaf/86690706
Casaubon, Isaac	Casaubon, Isaac	http://datos.bne.es/resource/XX881359
Coello de Portugal, Diego Antonio	Coello de Portugal, Diego Antonio	http://datos.bne.es/resource/XX1043354	http://viaf.org/viaf/86626768
Casas de Mendoza, Nicolás	Casas de Mendoza, Nicolás	http://datos.bne.es/resource/XX1726677	http://viaf.org/viaf/53706793
Casas, Nicolás	Casas de Mendoza, Nicolás	http://datos.bne.es/resource/XX1726677	http://viaf.org/viaf/53706793
Carbone, Enrico	Carbone, Enrico	http://datos.bne.es/resource/XX1040853	http://viaf.org/viaf/90657567
Cabrera, Ramón	Cabrera, Ramón	http://datos.bne.es/resource/XX838163	http://viaf.org/viaf/76661378	http://d-nb.info/gnd/100437621
Coco	Coco	http://datos.bne.es/resource/XX1319675
Córdoba, A. F. de	Córdoba, A. F. de	http://datos.bne.es/resource/XX4583745	http://viaf.org/viaf/142515734
F. de Córdoba, A.	Córdoba, A. F. de	http://datos.bne.es/resource/XX4583745	http://viaf.org/viaf/142515734
Casaubon, Méric	Casaubon, Méric	http://datos.bne.es/resource/XX881365
Celma, Francisco	Celma, Francisco	http://datos.bne.es/resource/XX829908	http://viaf.org/viaf/87631919
Campo, Fidel del	Campo, Fidel del	http://datos.bne.es/resource/XX848360	http://viaf.org/viaf/87677710
Callot, Jacques	Callot, Jacques	http://datos.bne.es/resource/XX1009556	http://viaf.org/viaf/19687783	http://d-nb.info/gnd/11851850X	http://www.idref.fr/026763001/id	http://libris.kb.se/resource/auth/182708
Constant, Louis	Constant, Louis	http://datos.bne.es/resource/XX5429397
Casati, Elio	Casati, Elio	http://datos.bne.es/resource/XX881357
Cozar	Cozar	http://datos.bne.es/resource/XX4894731
Colin, Marcel	Colin, Marcel	http://datos.bne.es/resource/XX1698746
Castells, Víctor	Castells, Víctor	http://datos.bne.es/resource/XX881352	http://viaf.org/viaf/22389183
Cabrero Martínez de Ahumada, Paulina	Cabrero Martínez de Ahumada, Paulina	http://datos.bne.es/resource/XX847990	http://viaf.org/viaf/87676935
Cabrero de Ahumada, Paulina	Cabrero Martínez de Ahumada, Paulina	http://datos.bne.es/resource/XX847990	http://viaf.org/viaf/87676935
Cabrero Martínez, Paulina	Cabrero Martínez de Ahumada, Paulina	http://datos.bne.es/resource/XX847990	http://viaf.org/viaf/87676935
Cabrero y Martínez de Ahumada, Paulina	Cabrero Martínez de Ahumada, Paulina	http://datos.bne.es/resource/XX847990	http://viaf.org/viaf/87676935
Corretjer, Leopoldo	Corretjer, Leopoldo	http://datos.bne.es/resource/XX861377	http://viaf.org/viaf/87705664
Corretjer, L.	Corretjer, Leopoldo	http://datos.bne.es/resource/XX861377	http://viaf.org/viaf/87705664
Cerlone, Francesco	Cerlone, Francesco	http://datos.bne.es/resource/XX1602368
Clemente Fernández, Dionisio	Clemente Fernández, Dionisio	http://datos.bne.es/resource/XX889802
Castrone, Benedetto Maria de	Castrone, Benedetto Maria de	http://datos.bne.es/resource/XX1620509
Castro de la Santísima Trinidad, Manuel	Castro de la Santísima Trinidad, Manuel	http://datos.bne.es/resource/XX1620508
Creatore, Luigi	Creatore, Luigi	http://datos.bne.es/resource/XX1568540
Conca Moya, Juan Bautista	Conca Moya, Juan Bautista	http://datos.bne.es/resource/XX1492758	http://viaf.org/viaf/87221915
Cortés Díaz, José María	Cortés Díaz, José María	http://datos.bne.es/resource/XX1721879	http://viaf.org/viaf/87472221
Chiesa, Francesco Agostino della	Chiesa, Francesco Agostino della	http://datos.bne.es/resource/XX887590
Casadevall, Cayetano	Casadevall, Cayetano	http://datos.bne.es/resource/XX1043332	http://viaf.org/viaf/86626710
Casadevall, Gaietà	Casadevall, Cayetano	http://datos.bne.es/resource/XX1043332	http://viaf.org/viaf/86626710
Clayton, Jay	Clayton, Jay	http://datos.bne.es/resource/XX1038510	http://viaf.org/viaf/2570238	http://d-nb.info/gnd/128659874	http://dbpedia.org/resource/Jay_Clayton_(critic)
Chifflet, Jean Jacques	Chifflet, Jean Jacques	http://datos.bne.es/resource/XX887595
Chifflet, Johann Jacob	Chifflet, Jean Jacques	http://datos.bne.es/resource/XX887595
Carle, Eric	Carle, Eric	http://datos.bne.es/resource/XX912714	http://viaf.org/viaf/82496850	http://www.idref.fr/02676718X/id	http://d-nb.info/gnd/118853295	http://libris.kb.se/resource/auth/181092	http://dbpedia.org/resource/Eric_Carle
Kāru, Erikku	Carle, Eric	http://datos.bne.es/resource/XX912714	http://viaf.org/viaf/82496850	http://www.idref.fr/02676718X/id	http://d-nb.info/gnd/118853295	http://libris.kb.se/resource/auth/181092	http://dbpedia.org/resource/Eric_Carle
Ḳarl, Eriḳ	Carle, Eric	http://datos.bne.es/resource/XX912714	http://viaf.org/viaf/82496850	http://www.idref.fr/02676718X/id	http://d-nb.info/gnd/118853295	http://libris.kb.se/resource/auth/181092	http://dbpedia.org/resource/Eric_Carle
Castroterreño,	Castroterreño,	http://datos.bne.es/resource/XX1620510
Cramer	Cramer	http://datos.bne.es/resource/XX1539322
Catalá, Joaquín	Catalá, Joaquín	http://datos.bne.es/resource/XX1620513
Catalán, Ignacio	Catalán, Ignacio	http://datos.bne.es/resource/XX1620514
Castrou, François	Castrou, François	http://datos.bne.es/resource/XX1620511
Castroviejo y Agustino, Juan Manuel	Castroviejo y Agustino, Juan Manuel	http://datos.bne.es/resource/XX1620512
Carreras y Roure, Laureano	Carreras y Roure, Laureano	http://datos.bne.es/resource/XX851164	http://viaf.org/viaf/87683834
Carreras, L.	Carreras y Roure, Laureano	http://datos.bne.es/resource/XX851164	http://viaf.org/viaf/87683834
Catalani, Giuseppe	Catalani, Giuseppe	http://datos.bne.es/resource/XX1620515
Catalano, Pietro	Catalano, Pietro	http://datos.bne.es/resource/XX1620516
Chamba	Chamba	http://datos.bne.es/resource/XX1678567
Carro Otero, Xosé	Carro Otero, Xosé	http://datos.bne.es/resource/XX1125683	http://viaf.org/viaf/47585914	http://d-nb.info/gnd/120178885
Carro Otero, José	Carro Otero, Xosé	http://datos.bne.es/resource/XX1125683	http://viaf.org/viaf/47585914	http://d-nb.info/gnd/120178885
Clarke, Desmond M.	Clarke, Desmond M.	http://datos.bne.es/resource/XX1038501	http://viaf.org/viaf/64130020	http://d-nb.info/gnd/135538556	http://dbpedia.org/resource/Desmond_Clarke
Christian	Christian	http://datos.bne.es/resource/XX5435503
Chapu	Chapu	http://datos.bne.es/resource/XX5437649
Díez, Gonzalo	Chapu	http://datos.bne.es/resource/XX5437649
Casas Augé, José	Casas Augé, José	http://datos.bne.es/resource/XX852280	http://viaf.org/viaf/87686433
Valle, Miguel	Casas Augé, José	http://datos.bne.es/resource/XX852280	http://viaf.org/viaf/87686433
Valle, N.	Casas Augé, José	http://datos.bne.es/resource/XX852280	http://viaf.org/viaf/87686433
Corbet	Corbet	http://datos.bne.es/resource/XX1775652
Casal, Xohan	Casal, Xohan	http://datos.bne.es/resource/XX880628
Cagiao, Manuel	Cagiao, Manuel	http://datos.bne.es/resource/XX1157824	http://viaf.org/viaf/86904933
Cagiao Rodríguez, José Manuel	Cagiao, Manuel	http://datos.bne.es/resource/XX1157824	http://viaf.org/viaf/86904933
Cagiao Rodríguez, Manuel	Cagiao, Manuel	http://datos.bne.es/resource/XX1157824	http://viaf.org/viaf/86904933
Clubb, Louise George	Clubb, Louise George	http://datos.bne.es/resource/XX864701	http://viaf.org/viaf/22160280
Cordero Rodríguez, Milagros	Cordero Rodríguez, Milagros	http://datos.bne.es/resource/XX894400
Chevreul, M.-E.	Chevreul, M. E.	http://datos.bne.es/resource/XX1052190	http://viaf.org/viaf/86647833
Chevreul, M. E.	Chevreul, M. E.	http://datos.bne.es/resource/XX1052190	http://viaf.org/viaf/86647833
Casp Verger, Vicent	Casp Verger, Vicent	http://datos.bne.es/resource/XX872560	http://viaf.org/viaf/12226144
Casp i Verger, Vicent	Casp Verger, Vicent	http://datos.bne.es/resource/XX872560	http://viaf.org/viaf/12226144
Casp Verger, Vicente	Casp Verger, Vicent	http://datos.bne.es/resource/XX872560	http://viaf.org/viaf/12226144
Casp y Verger, Vicente	Casp Verger, Vicent	http://datos.bne.es/resource/XX872560	http://viaf.org/viaf/12226144
Castro, Manuel de	Castro, Manuel de	http://datos.bne.es/resource/XX1620500
Castro, Manuel Bautista de	Castro, Manuel Bautista de	http://datos.bne.es/resource/XX1620501
Castro, Nicolas de	Castro, Nicolas de	http://datos.bne.es/resource/XX1620502
Castro y Barbeyto, Benito Francisco de	Castro y Barbeyto, Benito Francisco de	http://datos.bne.es/resource/XX1620503
Castro y Biu, José	Castro y Biu, José	http://datos.bne.es/resource/XX1620504
Cruz Sagredo, Juan	Cruz Sagredo, Juan	http://datos.bne.es/resource/XX1074150	http://viaf.org/viaf/86703281
Cruz Sagredo, J.	Cruz Sagredo, Juan	http://datos.bne.es/resource/XX1074150	http://viaf.org/viaf/86703281
Chantre y Herrera, José	Chantre y Herrera, José	http://datos.bne.es/resource/XX1243502
Clemente	Clemente	http://datos.bne.es/resource/XX889825
Albani, Gianfrancesco	Clemente	http://datos.bne.es/resource/XX889825
Castro Sarmento, Jacob de	Castro Sarmento, Jacob de	http://datos.bne.es/resource/XX1620507
Castillo, Manuel	Castillo, Manuel	http://datos.bne.es/resource/XX1054751	http://viaf.org/viaf/49543791	http://d-nb.info/gnd/129880396
Castillo Navarro-Aguilera, Manuel	Castillo, Manuel	http://datos.bne.es/resource/XX1054751	http://viaf.org/viaf/49543791	http://d-nb.info/gnd/129880396
Couperin, François	Couperin, François	http://datos.bne.es/resource/XX1071317	http://viaf.org/viaf/54332134	http://www.idref.fr/077722086/id	http://libris.kb.se/resource/auth/182909	http://d-nb.info/gnd/118670247	http://dbpedia.org/resource/Fran%C3%A7ois_Couperin
Clark, Martin	Clark, Martin	http://datos.bne.es/resource/XX1057204	http://viaf.org/viaf/97736613	http://d-nb.info/gnd/133223825
Corominas	Corominas	http://datos.bne.es/resource/XX5436120
Casals, Antonio	Casals, Antonio	http://datos.bne.es/resource/XX880677
Caenegem, R. C. van	Caenegem, R. C. van	http://datos.bne.es/resource/XX963301	http://viaf.org/viaf/108927896	http://libris.kb.se/resource/auth/180825	http://d-nb.info/gnd/124011748
Coll y Prat, Narciso	Coll y Prat, Narciso	http://datos.bne.es/resource/XX891465
Carmona Amaya, Antonio	Carmona Amaya, Antonio	http://datos.bne.es/resource/XX1028311	http://viaf.org/viaf/42049541	http://d-nb.info/gnd/133310728
Carmona, Antonio	Carmona Amaya, Antonio	http://datos.bne.es/resource/XX1028311	http://viaf.org/viaf/42049541	http://d-nb.info/gnd/133310728
Carmona, A.	Carmona Amaya, Antonio	http://datos.bne.es/resource/XX1028311	http://viaf.org/viaf/42049541	http://d-nb.info/gnd/133310728
Curtis	Curtis	http://datos.bne.es/resource/XX1376552
Córdoba, Antonio de	Córdoba, Antonio de	http://datos.bne.es/resource/XX894435
Casals, Ignasi	Casals, Ignasi	http://datos.bne.es/resource/XX880688
Comrie, Bernard	Comrie, Bernard	http://datos.bne.es/resource/XX973655	http://viaf.org/viaf/100223699	http://d-nb.info/gnd/123526728	http://libris.kb.se/resource/auth/182105	http://dbpedia.org/resource/Bernard_Comrie
Castro, Carlos de	Castro, Carlos de	http://datos.bne.es/resource/XX1276054	http://viaf.org/viaf/161080812
Castro, C. de	Castro, Carlos de	http://datos.bne.es/resource/XX1276054	http://viaf.org/viaf/161080812
Castro Lozano, Carlos de	Castro, Carlos de	http://datos.bne.es/resource/XX1276054	http://viaf.org/viaf/161080812
Castroviejo Bolíbar, Miguel Pedro Andrés	Castroviejo Bolíbar, Miguel Pedro Andrés	http://datos.bne.es/resource/XX1093744	http://viaf.org/viaf/86752380	http://viaf.org/viaf/307162101
Castroviejo, Miguel	Castroviejo Bolíbar, Miguel Pedro Andrés	http://datos.bne.es/resource/XX1093744	http://viaf.org/viaf/86752380	http://viaf.org/viaf/307162101
Castroviejo Bolíbar, M.	Castroviejo Bolíbar, Miguel Pedro Andrés	http://datos.bne.es/resource/XX1093744	http://viaf.org/viaf/86752380	http://viaf.org/viaf/307162101
Castroviejo Bolíbar, Miguel	Castroviejo Bolíbar, Miguel Pedro Andrés	http://datos.bne.es/resource/XX1093744	http://viaf.org/viaf/86752380	http://viaf.org/viaf/307162101
Chamoso Lamas, Manuel	Chamoso Lamas, Manuel	http://datos.bne.es/resource/XX847954	http://viaf.org/viaf/27709354	http://d-nb.info/gnd/112002013
Caimari Frau, Francisca	Caimari Frau, Francisca	http://datos.bne.es/resource/XX871933
Cervantes Saavedra, Miguel de	Cervantes Saavedra, Miguel de	http://datos.bne.es/resource/XX1718747	http://viaf.org/viaf/17220427	http://libris.kb.se/resource/auth/45369	http://d-nb.info/gnd/11851993X	http://www.idref.fr/026774771/id	http://dbpedia.org/resource/Miguel_de_Cervantes
Cervantes	Cervantes Saavedra, Miguel de	http://datos.bne.es/resource/XX1718747	http://viaf.org/viaf/17220427	http://libris.kb.se/resource/auth/45369	http://d-nb.info/gnd/11851993X	http://www.idref.fr/026774771/id	http://dbpedia.org/resource/Miguel_de_Cervantes
Cervantes di Saavedra, Michele	Cervantes Saavedra, Miguel de	http://datos.bne.es/resource/XX1718747	http://viaf.org/viaf/17220427	http://libris.kb.se/resource/auth/45369	http://d-nb.info/gnd/11851993X	http://www.idref.fr/026774771/id	http://dbpedia.org/resource/Miguel_de_Cervantes
Cervantes, Miguel de	Cervantes Saavedra, Miguel de	http://datos.bne.es/resource/XX1718747	http://viaf.org/viaf/17220427	http://libris.kb.se/resource/auth/45369	http://d-nb.info/gnd/11851993X	http://www.idref.fr/026774771/id	http://dbpedia.org/resource/Miguel_de_Cervantes
Сервантес Сааведра, Мигель де	Cervantes Saavedra, Miguel de	http://datos.bne.es/resource/XX1718747	http://viaf.org/viaf/17220427	http://libris.kb.se/resource/auth/45369	http://d-nb.info/gnd/11851993X	http://www.idref.fr/026774771/id	http://dbpedia.org/resource/Miguel_de_Cervantes
Θερβάντες, Μιγκέλ ντε	Cervantes Saavedra, Miguel de	http://datos.bne.es/resource/XX1718747	http://viaf.org/viaf/17220427	http://libris.kb.se/resource/auth/45369	http://d-nb.info/gnd/11851993X	http://www.idref.fr/026774771/id	http://dbpedia.org/resource/Miguel_de_Cervantes
Servantes Saavedra, Migel	Cervantes Saavedra, Miguel de	http://datos.bne.es/resource/XX1718747	http://viaf.org/viaf/17220427	http://libris.kb.se/resource/auth/45369	http://d-nb.info/gnd/11851993X	http://www.idref.fr/026774771/id	http://dbpedia.org/resource/Miguel_de_Cervantes
Therbantes, Minkel nte	Cervantes Saavedra, Miguel de	http://datos.bne.es/resource/XX1718747	http://viaf.org/viaf/17220427	http://libris.kb.se/resource/auth/45369	http://d-nb.info/gnd/11851993X	http://www.idref.fr/026774771/id	http://dbpedia.org/resource/Miguel_de_Cervantes
Sirfantis Saafedrā, Mīgīl dī	Cervantes Saavedra, Miguel de	http://datos.bne.es/resource/XX1718747	http://viaf.org/viaf/17220427	http://libris.kb.se/resource/auth/45369	http://d-nb.info/gnd/11851993X	http://www.idref.fr/026774771/id	http://dbpedia.org/resource/Miguel_de_Cervantes
سرفنتس ساڤدرا، ميجيل دى	Cervantes Saavedra, Miguel de	http://datos.bne.es/resource/XX1718747	http://viaf.org/viaf/17220427	http://libris.kb.se/resource/auth/45369	http://d-nb.info/gnd/11851993X	http://www.idref.fr/026774771/id	http://dbpedia.org/resource/Miguel_de_Cervantes
Zerbantes eta Saabedra, Mikel	Cervantes Saavedra, Miguel de	http://datos.bne.es/resource/XX1718747	http://viaf.org/viaf/17220427	http://libris.kb.se/resource/auth/45369	http://d-nb.info/gnd/11851993X	http://www.idref.fr/026774771/id	http://dbpedia.org/resource/Miguel_de_Cervantes
Cerbantes Saavedra, Miguel de	Cervantes Saavedra, Miguel de	http://datos.bne.es/resource/XX1718747	http://viaf.org/viaf/17220427	http://libris.kb.se/resource/auth/45369	http://d-nb.info/gnd/11851993X	http://www.idref.fr/026774771/id	http://dbpedia.org/resource/Miguel_de_Cervantes
Sewantisi Saweidela, Migai'er de	Cervantes Saavedra, Miguel de	http://datos.bne.es/resource/XX1718747	http://viaf.org/viaf/17220427	http://libris.kb.se/resource/auth/45369	http://d-nb.info/gnd/11851993X	http://www.idref.fr/026774771/id	http://dbpedia.org/resource/Miguel_de_Cervantes
塞万提斯·萨维德拉, 米盖尔 德	Cervantes Saavedra, Miguel de	http://datos.bne.es/resource/XX1718747	http://viaf.org/viaf/17220427	http://libris.kb.se/resource/auth/45369	http://d-nb.info/gnd/11851993X	http://www.idref.fr/026774771/id	http://dbpedia.org/resource/Miguel_de_Cervantes
Cerbantes, Miguel de	Cervantes Saavedra, Miguel de	http://datos.bne.es/resource/XX1718747	http://viaf.org/viaf/17220427	http://libris.kb.se/resource/auth/45369	http://d-nb.info/gnd/11851993X	http://www.idref.fr/026774771/id	http://dbpedia.org/resource/Miguel_de_Cervantes
Casimiri, Raffaele	Casimiri, Raffaele	http://datos.bne.es/resource/XX4820090
Casimiro, Raffaele	Casimiri, Raffaele	http://datos.bne.es/resource/XX4820090
Crespo, Pedro	Crespo, Pedro	http://datos.bne.es/resource/XX887544	http://viaf.org/viaf/44312778
Crespo García, Pedro	Crespo, Pedro	http://datos.bne.es/resource/XX887544	http://viaf.org/viaf/44312778
Cri	Cri	http://datos.bne.es/resource/XX1506715
Rubio Rodríguez, Cristina	Cri	http://datos.bne.es/resource/XX1506715
Castro Brunetto, Carlos Javier	Castro Brunetto, Carlos Javier	http://datos.bne.es/resource/XX879503	http://viaf.org/viaf/49452427
Castro Brunetto, Javier	Castro Brunetto, Carlos Javier	http://datos.bne.es/resource/XX879503	http://viaf.org/viaf/49452427
Carrión, José Manuel	Carrión, José Manuel	http://datos.bne.es/resource/XX1234768	http://viaf.org/viaf/87001655
Carrión, J. M.	Carrión, José Manuel	http://datos.bne.es/resource/XX1234768	http://viaf.org/viaf/87001655
Carrión, Joseli	Carrión, José Manuel	http://datos.bne.es/resource/XX1234768	http://viaf.org/viaf/87001655
Carrión González, José M.	Carrión, José Manuel	http://datos.bne.es/resource/XX1234768	http://viaf.org/viaf/87001655
Carrión González, José Manuel	Carrión, José Manuel	http://datos.bne.es/resource/XX1234768	http://viaf.org/viaf/87001655
Ceresole, Norberto	Ceresole, Norberto	http://datos.bne.es/resource/XX987161	http://viaf.org/viaf/17264633	http://dbpedia.org/resource/Norberto_Ceresole
Ceresole, Norberto Rafael	Ceresole, Norberto	http://datos.bne.es/resource/XX987161	http://viaf.org/viaf/17264633	http://dbpedia.org/resource/Norberto_Ceresole
Chiappini, Gaetano	Chiappini, Gaetano	http://datos.bne.es/resource/XX978251	http://viaf.org/viaf/9867472
Colomer, José	Colomer, José	http://datos.bne.es/resource/XX948104	http://viaf.org/viaf/87920640
Comín, Jorge	Comín, Jorge	http://datos.bne.es/resource/XX1672092
Cubedo, Manuel	Cubedo, Manuel	http://datos.bne.es/resource/XX947127	http://viaf.org/viaf/95520410	http://d-nb.info/gnd/138908648
Cubedo Alicart, Manuel	Cubedo, Manuel	http://datos.bne.es/resource/XX947127	http://viaf.org/viaf/95520410	http://d-nb.info/gnd/138908648
Cuevas, César	Cubedo, Manuel	http://datos.bne.es/resource/XX947127	http://viaf.org/viaf/95520410	http://d-nb.info/gnd/138908648
Lapardi, F.	Cubedo, Manuel	http://datos.bne.es/resource/XX947127	http://viaf.org/viaf/95520410	http://d-nb.info/gnd/138908648
Lapardi, Félix	Cubedo, Manuel	http://datos.bne.es/resource/XX947127	http://viaf.org/viaf/95520410	http://d-nb.info/gnd/138908648
Casalderrey, Manuel Luis	Casalderrey, Manuel Luis	http://datos.bne.es/resource/XX880657	http://viaf.org/viaf/87751869
Casalderrey García, Manuel L.	Casalderrey, Manuel Luis	http://datos.bne.es/resource/XX880657	http://viaf.org/viaf/87751869
Casalderrey, Manuel-Luis	Casalderrey, Manuel Luis	http://datos.bne.es/resource/XX880657	http://viaf.org/viaf/87751869
Casalderrey García, Manuel-Luis	Casalderrey, Manuel Luis	http://datos.bne.es/resource/XX880657	http://viaf.org/viaf/87751869
Calatayud Gascón, Emilio	Calatayud Gascón, Emilio	http://datos.bne.es/resource/XX1077738	http://viaf.org/viaf/86712561
Cook, Roger	Cook, Roger	http://datos.bne.es/resource/XX893767	http://dbpedia.org/resource/Roger_Cook_(songwriter)	http://viaf.org/viaf/87785586	http://viaf.org/viaf/266288174
Colombini	Colombini	http://datos.bne.es/resource/XX1568508
Cristofaro, F. de	Cristofaro, F. de	http://datos.bne.es/resource/XX1631158	http://viaf.org/viaf/87369083	http://viaf.org/viaf/61082987
Cristofaro, Ferdinando de	Cristofaro, F. de	http://datos.bne.es/resource/XX1631158	http://viaf.org/viaf/87369083	http://viaf.org/viaf/61082987
Colden, Cadwallader	Colden, Cadwallader	http://datos.bne.es/resource/XX1624998
Colbatch, John	Colbatch, John	http://datos.bne.es/resource/XX1624997
Colangeli, Pietro Aurelio	Colangeli, Pietro Aurelio	http://datos.bne.es/resource/XX1624996
Col de Villars, Elie	Col de Villars, Elie	http://datos.bne.es/resource/XX1624995
Córdoba, Luis	Córdoba, Luis	http://datos.bne.es/resource/XX894451
Coker, John	Coker, John	http://datos.bne.es/resource/XX1624993
Coivart, G.	Coivart, G.	http://datos.bne.es/resource/XX1624992
Cohen, Salomon Jacob	Cohen, Salomon Jacob	http://datos.bne.es/resource/XX1624991
