Dosal, Carmen	Dosal, Carmen	http://datos.bne.es/resource/XX907514	http://viaf.org/viaf/26334362
Díez Albañil, José Ignacio	Díez Albañil, José Ignacio	http://datos.bne.es/resource/XX907513
Davey	Davey	http://datos.bne.es/resource/XX1539306
Degering, Hermann	Degering, Hermann	http://datos.bne.es/resource/XX903231
Degler, Carl N.	Degler, Carl N.	http://datos.bne.es/resource/XX903237
Díaz del Casar, F. Francisca	Díaz del Casar, F. Francisca	http://datos.bne.es/resource/XX1224656
Díez, Sabina Luisa	Díez, Sabina Luisa	http://datos.bne.es/resource/XX907505
Daiches, David	Daiches, David	http://datos.bne.es/resource/XX1227517
Dewiel, Lydia-Lida	Dewiel, Lydia Lida	http://datos.bne.es/resource/XX905365
De Gaetano, Armand L.	De Gaetano, Armand L.	http://datos.bne.es/resource/XX1232626
Díez de Tejada, Federico	Díez de Tejada, Federico	http://datos.bne.es/resource/XX853191
DeWitt, Lynda	DeWitt, Lynda	http://datos.bne.es/resource/XX905369
Daring, Dick	Daring, Dick	http://datos.bne.es/resource/XX1246609
Darimon, Alfred	Darimon, Alfred	http://datos.bne.es/resource/XX1246608
Dewey, Bruce	Dewey, Bruce	http://datos.bne.es/resource/XX905352
Dewey, Donald	Dewey, Donald	http://datos.bne.es/resource/XX905353
Deweze, A.	Deweze, A.	http://datos.bne.es/resource/XX905359
Díaz Hernández, Pedro Silvestre	Díaz Hernández, Pedro Silvestre	http://datos.bne.es/resource/XX4766026	http://viaf.org/viaf/169936209
Diaz Hernández, Pedro	Díaz Hernández, Pedro Silvestre	http://datos.bne.es/resource/XX4766026	http://viaf.org/viaf/169936209
Desjardin, Paul André	Desjardin, Paul André	http://datos.bne.es/resource/XX1249409
Desjacques, Georges	Desjacques, Georges	http://datos.bne.es/resource/XX1249408
Dutari, Jerónimo	Dutari, Jerónimo	http://datos.bne.es/resource/XX912719
Elizondo, Carlos de,	Dutari, Jerónimo	http://datos.bne.es/resource/XX912719
Daris, Basil T.	Daris, Basil T.	http://datos.bne.es/resource/XX1246613
Demetrio, Francisco	Demetrio, Francisco	http://datos.bne.es/resource/XX1140621	http://viaf.org/viaf/34570164
Demetrio, Francisco R.	Demetrio, Francisco	http://datos.bne.es/resource/XX1140621	http://viaf.org/viaf/34570164
Dario,	Dario,	http://datos.bne.es/resource/XX1246611
De Catalde	De Catalde	http://datos.bne.es/resource/XX1620517
Dark, Philip J. C.	Dark, Philip J. C.	http://datos.bne.es/resource/XX1246616
Darís Olms, Marcelino	Darís Olms, Marcelino	http://datos.bne.es/resource/XX1246614
Deforges, Régine	Deforges, Régine	http://datos.bne.es/resource/XX903202
Deforge, Yves	Deforge, Yves	http://datos.bne.es/resource/XX903201
Darias Montesino, Maximiliano	Darias Montesino, Maximiliano	http://datos.bne.es/resource/XX1246600
Dariel	Dariel	http://datos.bne.es/resource/XX1246603
D'Arienzo, Giulia	D' Arienzo, Giulia	http://datos.bne.es/resource/XX1246604
Darier, A.	Darier, A.	http://datos.bne.es/resource/XX1246605
Dewald, Paul A.	Dewald, Paul A.	http://datos.bne.es/resource/XX905333
Dworkin, Steven N.	Dworkin, Steven N.	http://datos.bne.es/resource/XX951042	http://viaf.org/viaf/92052134	http://d-nb.info/gnd/110968999
Dew, Josephine	Dew, Josephine	http://datos.bne.es/resource/XX905331
Darlington, Ida	Darlington, Ida	http://datos.bne.es/resource/XX1246629
Dou, J. M.	Dou, J. M.	http://datos.bne.es/resource/XX907556	http://viaf.org/viaf/87818206
Dou, José María	Dou, J. M.	http://datos.bne.es/resource/XX907556	http://viaf.org/viaf/87818206
Dou, Josep M.	Dou, J. M.	http://datos.bne.es/resource/XX907556	http://viaf.org/viaf/87818206
Diamond, Keith	Diamond, Keith	http://datos.bne.es/resource/XX1086185	http://viaf.org/viaf/50920512	http://dbpedia.org/resource/Keith_Diamond_(songwriter)
Díez Criado de la Calle, Juan	Díez Criado de la Calle, Juan	http://datos.bne.es/resource/XX907555
Darmstaedter, Ludwig	Darmstaedter, Ludwig	http://datos.bne.es/resource/XX1246637
D'Arms, John H.	D' Arms, John H.	http://datos.bne.es/resource/XX1246636
Darmon, J.E.	Darmon, J.E.	http://datos.bne.es/resource/XX1246634
Darmois, Georges	Darmois, Georges	http://datos.bne.es/resource/XX1246633
Darmesteter, James	Darmesteter, James	http://datos.bne.es/resource/XX1246632
Dorado	Dorado	http://datos.bne.es/resource/XX1224693
Ruiz Moreno, Bartolomé	Dorado	http://datos.bne.es/resource/XX1224693
Darmesteter, Arsène	Darmesteter, Arsène	http://datos.bne.es/resource/XX1246631
Darlix, Paul	Darlix, Paul	http://datos.bne.es/resource/XX1246630
Dixon, John	Dixon, John	http://datos.bne.es/resource/XX1721803	http://viaf.org/viaf/109901132
Doyle, Guy	Doyle, Guy	http://datos.bne.es/resource/XX905322	http://viaf.org/viaf/87811964	http://viaf.org/viaf/275650088
Duval, Aimé	Duval, Aimé	http://datos.bne.es/resource/XX1721801	http://viaf.org/viaf/32790565	http://d-nb.info/gnd/118681397
Dixon, Sam	Dixon, Sam	http://datos.bne.es/resource/XX1541356
Dark, Sidney	Dark, Sidney	http://datos.bne.es/resource/XX1246618
Dusing, Klaus	Dusing, Klaus	http://datos.bne.es/resource/XX912700
Darling, M.	Darling, M.	http://datos.bne.es/resource/XX1246626
Drouin, René-Hyacinthe	Drouin, René Hyacinthe	http://datos.bne.es/resource/XX1537353
Darlington, Cyril Dean	Darlington, Cyril Dean	http://datos.bne.es/resource/XX1246628
Driesch, Angela von den	Driesch, Angela von den	http://datos.bne.es/resource/XX911533	http://viaf.org/viaf/84664299	http://libris.kb.se/resource/auth/184060	http://d-nb.info/gnd/121368904
Darling, Martha	Darling, Martha	http://datos.bne.es/resource/XX1246627
Dolby, J. L.	Dolby, J. L.	http://datos.bne.es/resource/XX908673
Darley, Frederic L.	Darley, Frederic L.	http://datos.bne.es/resource/XX1246622
Dolan, Sean	Dolan, Sean	http://datos.bne.es/resource/XX908671
Darling, Charles R.	Darling, Charles R.	http://datos.bne.es/resource/XX1246623
Devroey, E. J.	Devroey, E. J.	http://datos.bne.es/resource/XX905328
Darlay, André	Darlay, André	http://datos.bne.es/resource/XX1246620
Díaz Garrido, María del Carmen	Díaz Garrido, María del Carmen	http://datos.bne.es/resource/XX1073573	http://viaf.org/viaf/8884141
Duesso, Agustín	Duesso, Agustín	http://datos.bne.es/resource/XX911538
Dusmet Yrayzoz, Juan	Dusmet Yrayzoz, Juan	http://datos.bne.es/resource/XX912701
Daufí, Lluís	Daufí, Lluís	http://datos.bne.es/resource/XX1071338	http://viaf.org/viaf/86696565
Daufí, Luis	Daufí, Lluís	http://datos.bne.es/resource/XX1071338	http://viaf.org/viaf/86696565
Daufí Moreso, Luis	Daufí, Lluís	http://datos.bne.es/resource/XX1071338	http://viaf.org/viaf/86696565
Dolan, Kathleen Hunt	Dolan, Kathleen Hunt	http://datos.bne.es/resource/XX908667
Darquea Lopez, Marcelo	Darquea Lopez, Marcelo	http://datos.bne.es/resource/XX1246657
Darquea, Ricardo	Darquea, Ricardo	http://datos.bne.es/resource/XX1246656
Darpoux, Robert	Darpoux, Robert	http://datos.bne.es/resource/XX1246655
Dallas, Alexander Robert Charles	Dallas, Alexander Robert Charles	http://datos.bne.es/resource/XX1244666
D'Arpi, Mario	D' Arpi, Mario	http://datos.bne.es/resource/XX1246654
Durix, Claude	Durix, Claude	http://datos.bne.es/resource/XX1063184	http://viaf.org/viaf/79024530
Darras	Darras	http://datos.bne.es/resource/XX1246659
Darquea Lopez, Hugo	Darquea Lopez, Hugo	http://datos.bne.es/resource/XX1246658
D'Aronco, Gianfranco	D' Aronco, Gianfranco	http://datos.bne.es/resource/XX1246653
D'Aroma, Nino	D' Aroma, Nino	http://datos.bne.es/resource/XX1246652
Domínguez, Antonio José	Domínguez, Antonio José	http://datos.bne.es/resource/XX1075631	http://viaf.org/viaf/11617033
Daroca, Manuel L.	Daroca, Manuel L.	http://datos.bne.es/resource/XX1246651
Díez Balda, Víctor	Díez Balda, Víctor	http://datos.bne.es/resource/XX907524
Díez Barra, Enrique	Díez Barra, Enrique	http://datos.bne.es/resource/XX907528
Domínguez, Chano	Domínguez, Chano	http://datos.bne.es/resource/XX951038	http://dbpedia.org/resource/Chano_Dom%C3%ADnguez	http://viaf.org/viaf/24799489	http://d-nb.info/gnd/135214629	http://viaf.org/viaf/311024085
Darnay, F.	Darnay, F.	http://datos.bne.es/resource/XX1246644
Doizy, Marie-Ange	Doizy, Marie Ange	http://datos.bne.es/resource/XX908650
Darnaude, Manuel	Darnaude, Manuel	http://datos.bne.es/resource/XX1246643
Darnis, François	Darnis, François	http://datos.bne.es/resource/XX1246646
Darnell Iturmendi, Sinesio	Darnell Iturmendi, Sinesio	http://datos.bne.es/resource/XX1246645
Díez Argal, Wenceslao	Díez Argal, Wenceslao	http://datos.bne.es/resource/XX907520
Darnoi, Dennis N. Kenedy	Darnoi, Dennis N. Kenedy	http://datos.bne.es/resource/XX1246647
Daroca, Agustin	Daroca, Agustin	http://datos.bne.es/resource/XX1246649
Damásio, António	Damásio, António	http://datos.bne.es/resource/XX873891	http://viaf.org/viaf/85446801	http://libris.kb.se/resource/auth/228541	http://www.idref.fr/03325043X/id	http://d-nb.info/gnd/12367557X	http://dbpedia.org/resource/Antonio_Damasio	http://viaf.org/viaf/79104198
Damasio, Antonio R.	Damásio, António	http://datos.bne.es/resource/XX873891	http://viaf.org/viaf/85446801	http://libris.kb.se/resource/auth/228541	http://www.idref.fr/03325043X/id	http://d-nb.info/gnd/12367557X	http://dbpedia.org/resource/Antonio_Damasio	http://viaf.org/viaf/79104198
Damasio, A. R.	Damásio, António	http://datos.bne.es/resource/XX873891	http://viaf.org/viaf/85446801	http://libris.kb.se/resource/auth/228541	http://www.idref.fr/03325043X/id	http://d-nb.info/gnd/12367557X	http://dbpedia.org/resource/Antonio_Damasio	http://viaf.org/viaf/79104198
Damásio, António Rosa	Damásio, António	http://datos.bne.es/resource/XX873891	http://viaf.org/viaf/85446801	http://libris.kb.se/resource/auth/228541	http://www.idref.fr/03325043X/id	http://d-nb.info/gnd/12367557X	http://dbpedia.org/resource/Antonio_Damasio	http://viaf.org/viaf/79104198
Dueñas Fañanas, Juan Antonio	Dueñas Fañanas, Juan Antonio	http://datos.bne.es/resource/XX911513
Devos, Jacques	Devos, Jacques	http://datos.bne.es/resource/XX905304
Dueñas Sanz, Anselmo	Dueñas Sanz, Anselmo	http://datos.bne.es/resource/XX911518
Díaz, Marco	Díaz, Marco	http://datos.bne.es/resource/XX1084031	http://viaf.org/viaf/91807262
Darnasca, Ceferino	Darnasca, Ceferino	http://datos.bne.es/resource/XX1246642
Devos, Raymond	Devos, Raymond	http://datos.bne.es/resource/XX905308	http://viaf.org/viaf/98446431	http://d-nb.info/gnd/118959204	http://www.idref.fr/026829762/id	http://dbpedia.org/resource/Raymond_Devos
Dueñas y Arjona, Francisco de	Dueñas y Arjona, Francisco de	http://datos.bne.es/resource/XX911519
Darnar, P. L.	Darnar, P. L.	http://datos.bne.es/resource/XX1246641
Descamps, Eduardo Eugenio	Descamps, Eduardo Eugenio	http://datos.bne.es/resource/XX1249242
Doujat, Jean	Doujat, Jean	http://datos.bne.es/resource/XX910436
Descans, L.	Descans, L.	http://datos.bne.es/resource/XX1249247
Descamps, Paul	Descamps, Paul	http://datos.bne.es/resource/XX1249246
Desparmet Fitz-Gerald, Xavière	Desparmet Fitz Gerald, Xavière	http://datos.bne.es/resource/XX1249464
Doifles, Gillo	Doifles, Gillo	http://datos.bne.es/resource/XX908641
Dangerfield, Françoise	Dangerfield, Françoise	http://datos.bne.es/resource/XX901179
Douillet, Bruno	Douillet, Bruno	http://datos.bne.es/resource/XX910432
Díez de Ribadeneyra Noguerol, Pedro	Díez de Ribadeneyra Noguerol, Pedro	http://datos.bne.es/resource/XX907598
Des Périers, Bonaventure	Des Périers, Bonaventure	http://datos.bne.es/resource/XX1249469
Doumerc, Beatriz	Doumerc, Beatriz	http://datos.bne.es/resource/XX907595	http://viaf.org/viaf/26278116
Despax, Michel	Despax, Michel	http://datos.bne.es/resource/XX1249467
Despax, Emile	Despax, Emile	http://datos.bne.es/resource/XX1249466
Díaz de Velasco, Nicolás	Díaz de Velasco, Nicolás	http://datos.bne.es/resource/XX908649
