Fernández García, José Manuel	Fernández García, José Manuel	http://datos.bne.es/resource/XX1046009	http://viaf.org/viaf/100238317	http://viaf.org/viaf/86880835
Fernández García, José	Fernández García, José Manuel	http://datos.bne.es/resource/XX1046009	http://viaf.org/viaf/100238317	http://viaf.org/viaf/86880835
Fernández, J. M.	Fernández García, José Manuel	http://datos.bne.es/resource/XX1046009	http://viaf.org/viaf/100238317	http://viaf.org/viaf/86880835
Fernández, José Manuel	Fernández García, José Manuel	http://datos.bne.es/resource/XX1046009	http://viaf.org/viaf/100238317	http://viaf.org/viaf/86880835
Faria, Manuel Severim de	Faria, Manuel Severim de	http://datos.bne.es/resource/XX1437903	http://viaf.org/viaf/69360862	http://d-nb.info/gnd/104058846
Severim de Faria, Manuel	Faria, Manuel Severim de	http://datos.bne.es/resource/XX1437903	http://viaf.org/viaf/69360862	http://d-nb.info/gnd/104058846
Faria, Dutra	Faria, Dutra	http://datos.bne.es/resource/XX1263996
Fortuny Artiola, Carmen	Fortuny Artiola, Carmen	http://datos.bne.es/resource/XX931375
Fortuny Casas, Josep M.	Fortuny Casas, Josep M.	http://datos.bne.es/resource/XX931378
Faria, Duarte	Faria, Duarte	http://datos.bne.es/resource/XX1263994
Favreau, François	Favreau, François	http://datos.bne.es/resource/XX1264499
Faria, Americo	Faria, Americo	http://datos.bne.es/resource/XX1263992
Favre, Robert	Favre, Robert	http://datos.bne.es/resource/XX1264497
Finson, Jon W.	Finson, Jon W.	http://datos.bne.es/resource/XX971385	http://viaf.org/viaf/100955537	http://d-nb.info/gnd/135341310
Favre, Pierre-François	Favre, Pierre François	http://datos.bne.es/resource/XX1264494
Favre, Louis Abraham	Favre, Louis Abraham	http://datos.bne.es/resource/XX1264492
Favre, Marcel	Favre, Marcel	http://datos.bne.es/resource/XX1264493
Favre, Jean-Joseph-Roger	Favre, Jean Joseph Roger	http://datos.bne.es/resource/XX1264490
Favre, Jules	Favre, Jules	http://datos.bne.es/resource/XX1264491
Fuente Jiménez, Carlos E. de la	Fuente Jiménez, Carlos E. de la	http://datos.bne.es/resource/XX934340
Fuente López, Ricardo de la	Fuente López, Ricardo de la	http://datos.bne.es/resource/XX934344
Fine, Elsa Honig	Fine, Elsa Honig	http://datos.bne.es/resource/XX1270517
Fuente López, Concepción de la	Fuente López, Concepción de la	http://datos.bne.es/resource/XX934343	http://viaf.org/viaf/120720460
Fuente López, C. de la	Fuente López, Concepción de la	http://datos.bne.es/resource/XX934343	http://viaf.org/viaf/120720460
Fuente Nevado, María Aurora de la	Fuente Nevado, María Aurora de la	http://datos.bne.es/resource/XX934347
Fergusson, Harvey	Fergusson, Harvey	http://datos.bne.es/resource/XX1265245
Ferguson, Thaddeus	Ferguson, Thaddeus	http://datos.bne.es/resource/XX1265243
Ferguson, Ruby	Ferguson, Ruby	http://datos.bne.es/resource/XX1265241
Fernández de Heredia, Juan	Fernández de Heredia, Juan	http://datos.bne.es/resource/XX1430026	http://viaf.org/viaf/58275681	http://libris.kb.se/resource/auth/342798
Furundarena, Estanislao de	Furundarena, Estanislao de	http://datos.bne.es/resource/XX872595	http://viaf.org/viaf/87729554
Furundarena Labat, Estanislao de	Furundarena, Estanislao de	http://datos.bne.es/resource/XX872595	http://viaf.org/viaf/87729554
Furundarena y Labat, Estanislao	Furundarena, Estanislao de	http://datos.bne.es/resource/XX872595	http://viaf.org/viaf/87729554
Feal, Carlos	Feal, Carlos	http://datos.bne.es/resource/XX1082475	http://viaf.org/viaf/22158118	http://d-nb.info/gnd/122458230
Feal Deibe, Carlos	Feal, Carlos	http://datos.bne.es/resource/XX1082475	http://viaf.org/viaf/22158118	http://d-nb.info/gnd/122458230
Favre, J. E.	Favre, J. E.	http://datos.bne.es/resource/XX1264489
Favre, Paul	Favre, Paul	http://datos.bne.es/resource/XX1264486
Favre, Denis	Favre, Denis	http://datos.bne.es/resource/XX1264487
Febrero, Josef	Febrero, Josef	http://datos.bne.es/resource/XX961211	http://viaf.org/viaf/21712235
Favre, Georges	Favre, Georges	http://datos.bne.es/resource/XX1264488
Favilla Numes, J.P.	Favilla Numes, J.P.	http://datos.bne.es/resource/XX1264481
Faville, David Ernest	Faville, David Ernest	http://datos.bne.es/resource/XX1264482
Favin, Emile	Favin, Emile	http://datos.bne.es/resource/XX1264484
Fernández Núñez, Manuel	Fernández Núñez, Manuel	http://datos.bne.es/resource/XX838179	http://viaf.org/viaf/113626435
Fernández, Manuel F.	Fernández Núñez, Manuel	http://datos.bne.es/resource/XX838179	http://viaf.org/viaf/113626435
Fernández Núñez, Manuel F.	Fernández Núñez, Manuel	http://datos.bne.es/resource/XX838179	http://viaf.org/viaf/113626435
Núñez, M. F.	Fernández Núñez, Manuel	http://datos.bne.es/resource/XX838179	http://viaf.org/viaf/113626435
Fernández Núñez, M. F.	Fernández Núñez, Manuel	http://datos.bne.es/resource/XX838179	http://viaf.org/viaf/113626435
Fernández-Núñez, M. F.	Fernández Núñez, Manuel	http://datos.bne.es/resource/XX838179	http://viaf.org/viaf/113626435
Figueroa, Juan Armada y Losada,	Figueroa, Juan Armada y Losada,	http://datos.bne.es/resource/XX1181993	http://viaf.org/viaf/100063600	http://dbpedia.org/resource/Juan_Armada_y_Losada
