Haggar, R. G.	Haggar, R. G.	http://datos.bne.es/resource/XX963347
Herrera, J.	Herrera, J.	http://datos.bne.es/resource/XX1545586
Hallpike, C. R.	Hallpike, C. R.	http://datos.bne.es/resource/XX1723993	http://viaf.org/viaf/30124611	http://d-nb.info/gnd/110211014	http://libris.kb.se/resource/auth/190011
Hall, Alison	Hall, Alison	http://datos.bne.es/resource/XX860912	http://viaf.org/viaf/21406879
Hogg	Hogg	http://datos.bne.es/resource/XX1762643
Harris, Arthur	Harris, Arthur	http://datos.bne.es/resource/XX1263991
Hanssen, Friedrich	Hanssen, Friedrich	http://datos.bne.es/resource/XX964471
Heredia García, Carlos Dante	Heredia García, Carlos Dante	http://datos.bne.es/resource/XX838168	http://viaf.org/viaf/87653717
Haro, Juan	Haro, Juan	http://datos.bne.es/resource/XX963344	http://viaf.org/viaf/48161822
Hugenius, Christianus	Hugenius, Christianus	http://datos.bne.es/resource/XX1539304
Haggett, Peter	Haggett, Peter	http://datos.bne.es/resource/XX963357
Hillerman, Tony	Hillerman, Tony	http://datos.bne.es/resource/XX1121206	http://dbpedia.org/resource/Tony_Hillerman	http://viaf.org/viaf/95188838	http://d-nb.info/gnd/119013924
Hillerman, Anthony G.	Hillerman, Tony	http://datos.bne.es/resource/XX1121206	http://dbpedia.org/resource/Tony_Hillerman	http://viaf.org/viaf/95188838	http://d-nb.info/gnd/119013924
Heine, Helme	Heine, Helme	http://datos.bne.es/resource/XX841505	http://viaf.org/viaf/110422547	http://libris.kb.se/resource/auth/208081	http://www.idref.fr/02691770X/id	http://d-nb.info/gnd/119379392	http://dbpedia.org/resource/Helme_Heine
Haine, Herume	Heine, Helme	http://datos.bne.es/resource/XX841505	http://viaf.org/viaf/110422547	http://libris.kb.se/resource/auth/208081	http://www.idref.fr/02691770X/id	http://d-nb.info/gnd/119379392	http://dbpedia.org/resource/Helme_Heine
Hilton, James	Hilton, James	http://datos.bne.es/resource/XX854643	http://viaf.org/viaf/36944583	http://d-nb.info/gnd/119476401	http://libris.kb.se/resource/auth/136879	http://dbpedia.org/resource/James_Hilton
Trevor, Glen	Hilton, James	http://datos.bne.es/resource/XX854643	http://viaf.org/viaf/36944583	http://d-nb.info/gnd/119476401	http://libris.kb.se/resource/auth/136879	http://dbpedia.org/resource/James_Hilton
Hao	Hao	http://datos.bne.es/resource/XX964484
Hanzlová, Lidmila	Hanzlová, Lidmila	http://datos.bne.es/resource/XX964483
Hagger, A. J.	Hagger, A. J.	http://datos.bne.es/resource/XX963352
Hagger, Jean	Hagger, Jean	http://datos.bne.es/resource/XX963353
Henricus Gandavensis	Henricus Gandavensis	http://datos.bne.es/resource/XX1263999
Hély	Hély	http://datos.bne.es/resource/XX1227543
Hal	Hal	http://datos.bne.es/resource/XX952515	http://viaf.org/viaf/87931566
H. A. L.	Hal	http://datos.bne.es/resource/XX952515	http://viaf.org/viaf/87931566
A. L., H.	Hal	http://datos.bne.es/resource/XX952515	http://viaf.org/viaf/87931566
Hinojosa	Hinojosa	http://datos.bne.es/resource/XX1537367
Hanson, Lawrence	Hanson, Lawrence	http://datos.bne.es/resource/XX964456
Hernández y Fernández, Esteban	Hernández y Fernández, Esteban	http://datos.bne.es/resource/XX952511	http://viaf.org/viaf/46685211
Hernández Fernández, Esteban	Hernández y Fernández, Esteban	http://datos.bne.es/resource/XX952511	http://viaf.org/viaf/46685211
Hanson, Marci J.	Hanson, Marci J.	http://datos.bne.es/resource/XX964458
Herwig, Rob	Herwig, Rob	http://datos.bne.es/resource/XX1141745	http://viaf.org/viaf/44300139	http://d-nb.info/gnd/107446979
Herwig, Robert	Herwig, Rob	http://datos.bne.es/resource/XX1141745	http://viaf.org/viaf/44300139	http://d-nb.info/gnd/107446979
Hanson, Howard	Hanson, Howard	http://datos.bne.es/resource/XX964453	http://dbpedia.org/resource/Howard_Hanson	http://viaf.org/viaf/79168361	http://d-nb.info/gnd/118878344
Hello, Ernest	Hello, Ernest	http://datos.bne.es/resource/XX1276927	http://viaf.org/viaf/36931544	http://d-nb.info/gnd/119205823	http://dbpedia.org/resource/Ernest_Hello
Hello, Ernesto	Hello, Ernest	http://datos.bne.es/resource/XX1276927	http://viaf.org/viaf/36931544	http://d-nb.info/gnd/119205823	http://dbpedia.org/resource/Ernest_Hello
Hello, E.	Hello, Ernest	http://datos.bne.es/resource/XX1276927	http://viaf.org/viaf/36931544	http://d-nb.info/gnd/119205823	http://dbpedia.org/resource/Ernest_Hello
Hearst, William Randolph	Hearst, William Randolph	http://datos.bne.es/resource/XX1201315
Hager, Fritz-Peter	Hager, Fritz Peter	http://datos.bne.es/resource/XX963332
Hanson, Owen	Hanson, Owen	http://datos.bne.es/resource/XX964461
Harrison, George	Harrison, George	http://datos.bne.es/resource/XX1002662	http://dbpedia.org/resource/George_Harrison	http://viaf.org/viaf/37102012	http://www.idref.fr/082333297/id	http://d-nb.info/gnd/118701738	http://libris.kb.se/resource/auth/211747
Huguet, Josep	Huguet, Josep	http://datos.bne.es/resource/XX987880	http://viaf.org/viaf/95599143	http://d-nb.info/gnd/138998329	http://dbpedia.org/resource/Josep_Huguet_i_Biosca
Huguet Biosca, Josep	Huguet, Josep	http://datos.bne.es/resource/XX987880	http://viaf.org/viaf/95599143	http://d-nb.info/gnd/138998329	http://dbpedia.org/resource/Josep_Huguet_i_Biosca
Huguet i Biosca, Josep	Huguet, Josep	http://datos.bne.es/resource/XX987880	http://viaf.org/viaf/95599143	http://d-nb.info/gnd/138998329	http://dbpedia.org/resource/Josep_Huguet_i_Biosca
Heckel, Karl	Heckel, Karl	http://datos.bne.es/resource/XX966324
Henricus de Herp	Henricus de Herp	http://datos.bne.es/resource/XX845878	http://viaf.org/viaf/64255011	http://d-nb.info/gnd/118548212
Herp, Enrique	Henricus de Herp	http://datos.bne.es/resource/XX845878	http://viaf.org/viaf/64255011	http://d-nb.info/gnd/118548212
Enrique de Herp	Henricus de Herp	http://datos.bne.es/resource/XX845878	http://viaf.org/viaf/64255011	http://d-nb.info/gnd/118548212
Enrique Herp	Henricus de Herp	http://datos.bne.es/resource/XX845878	http://viaf.org/viaf/64255011	http://d-nb.info/gnd/118548212
Erp, Enrique de	Henricus de Herp	http://datos.bne.es/resource/XX845878	http://viaf.org/viaf/64255011	http://d-nb.info/gnd/118548212
