Iglesias Suárez, Alfredo	Iglesias Suárez, Alfredo	http://datos.bne.es/resource/XX1025592	http://viaf.org/viaf/75499704
Iapichino, Ricardo Alberto	Iapichino, Ricardo Alberto	http://datos.bne.es/resource/XX1105306	http://viaf.org/viaf/86781805
Ibáñez Ballano, Ricardo	Ibáñez Ballano, Ricardo	http://datos.bne.es/resource/XX1726670	http://viaf.org/viaf/90678738
Iosifescu, M.	Iosifescu, M.	http://datos.bne.es/resource/XX1321693
Iosif, Stefan Octavian	Iosif, Stefan Octavian	http://datos.bne.es/resource/XX1321692
Iversen, E. S.	Iversen, E. S.	http://datos.bne.es/resource/XX978222
Ioteyko, Josefina	Ioteyko, Josefina	http://datos.bne.es/resource/XX1321695
Iosifescu, Silvian	Iosifescu, Silvian	http://datos.bne.es/resource/XX1321694
Ibrahim, Nassar	Ibrahim, Nassar	http://datos.bne.es/resource/XX1663135	http://viaf.org/viaf/69158039	http://d-nb.info/gnd/131394053
Inaraja, Javier	Inaraja, Javier	http://datos.bne.es/resource/XX1194299	http://viaf.org/viaf/86965746
Inaraja, J.	Inaraja, Javier	http://datos.bne.es/resource/XX1194299	http://viaf.org/viaf/86965746
Irurzun, Pedro María	Irurzun, Pedro María	http://datos.bne.es/resource/XX1748841	http://viaf.org/viaf/87530190
Irurzun Irurzun, Pedro María	Irurzun, Pedro María	http://datos.bne.es/resource/XX1748841	http://viaf.org/viaf/87530190
Ibáñez Orcajo, María Teresa	Ibáñez Orcajo, María Teresa	http://datos.bne.es/resource/XX1157029	http://viaf.org/viaf/86903552
Igual Úbeda, Antonio	Igual Úbeda, Antonio	http://datos.bne.es/resource/XX934341	http://viaf.org/viaf/7515720
Iglesias Míguez, Moncho	Iglesias Míguez, Moncho	http://datos.bne.es/resource/XX4709803	http://viaf.org/viaf/300187457
Iglesias, Pilar	Iglesias, Pilar	http://datos.bne.es/resource/XX1698753	http://viaf.org/viaf/87439437	http://d-nb.info/gnd/132883236
Iglesias Sobrino, Pilar	Iglesias, Pilar	http://datos.bne.es/resource/XX1698753	http://viaf.org/viaf/87439437	http://d-nb.info/gnd/132883236
Ivars Ivorra, María José	Ivars Ivorra, María José	http://datos.bne.es/resource/XX1798032
Ivern i Pinazo, Joan-Ramón	Ivern i Pinazo, Joan Ramón	http://datos.bne.es/resource/XX978218
Iosep, I.	Iosep, I.	http://datos.bne.es/resource/XX1321689
Inglada Arias, Julián	Inglada Arias, Julián	http://datos.bne.es/resource/XX1201556
Ioseliani, Otia	Ioseliani, Otia	http://datos.bne.es/resource/XX1321688
Indio Naborí	Indio Naborí	http://datos.bne.es/resource/XX1308683	http://viaf.org/viaf/24008361
El Indio Naborí	Indio Naborí	http://datos.bne.es/resource/XX1308683	http://viaf.org/viaf/24008361
Iosefini, A.	Iosefini, A.	http://datos.bne.es/resource/XX1321687
Ibarz Cortés, Ana	Ibarz Cortés, Ana	http://datos.bne.es/resource/XX1677385
Iorizzo, Luciano J.	Iorizzo, Luciano J.	http://datos.bne.es/resource/XX1321684
Ivens, Kathy	Ivens, Kathy	http://datos.bne.es/resource/XX978212
Iorgulescu, Mircea	Iorgulescu, Mircea	http://datos.bne.es/resource/XX1321683
Iorgovici, Paul	Iorgovici, Paul	http://datos.bne.es/resource/XX1321680
Ibarrula, Rafael	Ibarrula, Rafael	http://datos.bne.es/resource/XX1186576	http://viaf.org/viaf/309573562
Ibarrula Roldán, Rafael	Ibarrula, Rafael	http://datos.bne.es/resource/XX1186576	http://viaf.org/viaf/309573562
Intxaustegi, Bego	Intxaustegi, Bego	http://datos.bne.es/resource/XX1663146
Iglesias, Marc	Iglesias, Marc	http://datos.bne.es/resource/XX1663145
Izumi, Rei	Izumi, Rei	http://datos.bne.es/resource/XX4774061	http://viaf.org/viaf/169190150
Idumi, Rei	Izumi, Rei	http://datos.bne.es/resource/XX4774061	http://viaf.org/viaf/169190150
Rei Idumi	Izumi, Rei	http://datos.bne.es/resource/XX4774061	http://viaf.org/viaf/169190150
Rei Izumi	Izumi, Rei	http://datos.bne.es/resource/XX4774061	http://viaf.org/viaf/169190150
Iglesias i Solé, Miquel	Iglesias i Solé, Miquel	http://datos.bne.es/resource/XX1778765
Iglesias Nóvoa, Cristina	Iglesias Nóvoa, Cristina	http://datos.bne.es/resource/XX1658455
Iglesias, Manuel	Iglesias, Manuel	http://datos.bne.es/resource/XX958983	http://viaf.org/viaf/87948664
Ivo, Lêdo	Ivo, Lêdo	http://datos.bne.es/resource/XX978248	http://viaf.org/viaf/120032960	http://d-nb.info/gnd/11892219X
Iglesias, Cándido	Iglesias, Cándido	http://datos.bne.es/resource/XX1581418
Ivars Cervera, Joan	Ivars Cervera, Joan	http://datos.bne.es/resource/XX1046023	http://viaf.org/viaf/26967766
Ibn Abi-al-Diyaf	Ibn Abi al Diyaf	http://datos.bne.es/resource/XX1661696
Iturralde Garai, Jesús	Iturralde Garai, Jesús	http://datos.bne.es/resource/XX1550430
Itoh, Akihiro	Itoh, Akihiro	http://datos.bne.es/resource/XX1319659
Ingersoll, Ernest	Ingersoll, Ernest	http://datos.bne.es/resource/XX4610157
Ibáñez Cobos, José	Ibáñez Cobos, José	http://datos.bne.es/resource/XX1470083
Ibn Hamdis	Ibn Hamdis	http://datos.bne.es/resource/XX1399274
Incera, Puchi	Incera, Puchi	http://datos.bne.es/resource/XX1631192	http://viaf.org/viaf/87369123
Icaza, Francisco A. de	Icaza, Francisco A. de	http://datos.bne.es/resource/XX1104712	http://viaf.org/viaf/44385271	http://d-nb.info/gnd/131537377	http://libris.kb.se/resource/auth/262978
Icaza, F. A. de	Icaza, Francisco A. de	http://datos.bne.es/resource/XX1104712	http://viaf.org/viaf/44385271	http://d-nb.info/gnd/131537377	http://libris.kb.se/resource/auth/262978
Icaza, Francisco Asís de	Icaza, Francisco A. de	http://datos.bne.es/resource/XX1104712	http://viaf.org/viaf/44385271	http://d-nb.info/gnd/131537377	http://libris.kb.se/resource/auth/262978
Icaza Beña, Francisco A. de	Icaza, Francisco A. de	http://datos.bne.es/resource/XX1104712	http://viaf.org/viaf/44385271	http://d-nb.info/gnd/131537377	http://libris.kb.se/resource/auth/262978
Icaza y Beña, Francisco Asís de	Icaza, Francisco A. de	http://datos.bne.es/resource/XX1104712	http://viaf.org/viaf/44385271	http://d-nb.info/gnd/131537377	http://libris.kb.se/resource/auth/262978
Icaza	Icaza, Francisco A. de	http://datos.bne.es/resource/XX1104712	http://viaf.org/viaf/44385271	http://d-nb.info/gnd/131537377	http://libris.kb.se/resource/auth/262978
Iglesias Páramo, Antolín	Iglesias Páramo, Antolín	http://datos.bne.es/resource/XX987872	http://viaf.org/viaf/93109224
Ives de Chartres, Obispo	Ives de Chartres, Obispo	http://datos.bne.es/resource/XX978236
Infantado, Casa del	Infantado, Casa del	http://datos.bne.es/resource/XX1458125
Iglesias Pérez, Agustín	Iglesias Pérez, Agustín	http://datos.bne.es/resource/XX1773458
Iturricastillo Gil, Vanessa	Iturricastillo Gil, Vanessa	http://datos.bne.es/resource/XX1590090
Ibn al-Qūṭīyah, Muḥammad ibn ʻUmar	Ibn al Qūṭīyah, Muḥammad ibn ʻUmar	http://datos.bne.es/resource/XX1077776	http://viaf.org/viaf/86712686	http://viaf.org/viaf/86217552
Ibn al-Qutiyya, Muhammad b. Umar	Ibn al Qūṭīyah, Muḥammad ibn ʻUmar	http://datos.bne.es/resource/XX1077776	http://viaf.org/viaf/86712686	http://viaf.org/viaf/86217552
Muhammad b. Umar b. Abd al-Aziz b. al-Qutiyya Abu Bakr	Ibn al Qūṭīyah, Muḥammad ibn ʻUmar	http://datos.bne.es/resource/XX1077776	http://viaf.org/viaf/86712686	http://viaf.org/viaf/86217552
ابن القوطية، محمد ابن عمر	Ibn al Qūṭīyah, Muḥammad ibn ʻUmar	http://datos.bne.es/resource/XX1077776	http://viaf.org/viaf/86712686	http://viaf.org/viaf/86217552
Abenalcoti	Ibn al Qūṭīyah, Muḥammad ibn ʻUmar	http://datos.bne.es/resource/XX1077776	http://viaf.org/viaf/86712686	http://viaf.org/viaf/86217552
Ibn al-Qūṭīyah, Abū Bakr	Ibn al Qūṭīyah, Muḥammad ibn ʻUmar	http://datos.bne.es/resource/XX1077776	http://viaf.org/viaf/86712686	http://viaf.org/viaf/86217552
Ibn al-Qūṭīyah al-Qurtubī, Muḥammad ibn ʻUmar	Ibn al Qūṭīyah, Muḥammad ibn ʻUmar	http://datos.bne.es/resource/XX1077776	http://viaf.org/viaf/86712686	http://viaf.org/viaf/86217552
Muḥammad ibn ʻUmar ibn al-Qūṭīyah	Ibn al Qūṭīyah, Muḥammad ibn ʻUmar	http://datos.bne.es/resource/XX1077776	http://viaf.org/viaf/86712686	http://viaf.org/viaf/86217552
Abū Bakr Ibn al-Qūṭīyah	Ibn al Qūṭīyah, Muḥammad ibn ʻUmar	http://datos.bne.es/resource/XX1077776	http://viaf.org/viaf/86712686	http://viaf.org/viaf/86217552
Ibn al-Imrani, Muhammad ibn Ali	Ibn al Imrani, Muhammad ibn Ali	http://datos.bne.es/resource/XX1207187	http://viaf.org/viaf/86974248	http://viaf.org/viaf/41705423
Imrani, Muhammad ibn Ali	Ibn al Imrani, Muhammad ibn Ali	http://datos.bne.es/resource/XX1207187	http://viaf.org/viaf/86974248	http://viaf.org/viaf/41705423
Ibn Hasday, Abraham b. Semuel ha-Levi	Ibn Hasday, Abraham b. Semuel ha Levi	http://datos.bne.es/resource/XX1040885	http://viaf.org/viaf/79061776	http://d-nb.info/gnd/102422982	http://viaf.org/viaf/310501954
Ibn Hasday	Ibn Hasday, Abraham b. Semuel ha Levi	http://datos.bne.es/resource/XX1040885	http://viaf.org/viaf/79061776	http://d-nb.info/gnd/102422982	http://viaf.org/viaf/310501954
Abraham ben Semuel ha-Levi ibn Hasday	Ibn Hasday, Abraham b. Semuel ha Levi	http://datos.bne.es/resource/XX1040885	http://viaf.org/viaf/79061776	http://d-nb.info/gnd/102422982	http://viaf.org/viaf/310501954
Abraham b. Hasday	Ibn Hasday, Abraham b. Semuel ha Levi	http://datos.bne.es/resource/XX1040885	http://viaf.org/viaf/79061776	http://d-nb.info/gnd/102422982	http://viaf.org/viaf/310501954
Izquierdo, Fertxu	Izquierdo, Fertxu	http://datos.bne.es/resource/XX4610149
Izquierdo Jiménez, Fertxu	Izquierdo, Fertxu	http://datos.bne.es/resource/XX4610149
Isusi, Begoña	Isusi, Begoña	http://datos.bne.es/resource/XX4612289
Iyer, Vinoo	Iyer, Vinoo	http://datos.bne.es/resource/XX978268
Izquierdo Asensi, Fernando	Izquierdo Asensi, Fernando	http://datos.bne.es/resource/XX976000	http://viaf.org/viaf/56367262
Izquierdo Asensi, F.	Izquierdo Asensi, Fernando	http://datos.bne.es/resource/XX976000	http://viaf.org/viaf/56367262
Ildefonso,	Ildefonso,	http://datos.bne.es/resource/XX880678	http://viaf.org/viaf/71362314	http://libris.kb.se/resource/auth/191201	http://d-nb.info/gnd/118775472	http://www.idref.fr/030490499/id	http://dbpedia.org/resource/Ildephonsus_of_Toledo	http://viaf.org/viaf/265672823
Ildefons,	Ildefonso,	http://datos.bne.es/resource/XX880678	http://viaf.org/viaf/71362314	http://libris.kb.se/resource/auth/191201	http://d-nb.info/gnd/118775472	http://www.idref.fr/030490499/id	http://dbpedia.org/resource/Ildephonsus_of_Toledo	http://viaf.org/viaf/265672823
Ildefonso de Toledo,	Ildefonso,	http://datos.bne.es/resource/XX880678	http://viaf.org/viaf/71362314	http://libris.kb.se/resource/auth/191201	http://d-nb.info/gnd/118775472	http://www.idref.fr/030490499/id	http://dbpedia.org/resource/Ildephonsus_of_Toledo	http://viaf.org/viaf/265672823
Ildefonso Toledano,	Ildefonso,	http://datos.bne.es/resource/XX880678	http://viaf.org/viaf/71362314	http://libris.kb.se/resource/auth/191201	http://d-nb.info/gnd/118775472	http://www.idref.fr/030490499/id	http://dbpedia.org/resource/Ildephonsus_of_Toledo	http://viaf.org/viaf/265672823
Ildephonsus,	Ildefonso,	http://datos.bne.es/resource/XX880678	http://viaf.org/viaf/71362314	http://libris.kb.se/resource/auth/191201	http://d-nb.info/gnd/118775472	http://www.idref.fr/030490499/id	http://dbpedia.org/resource/Ildephonsus_of_Toledo	http://viaf.org/viaf/265672823
Iglesias Criado, Edurne	Iglesias Criado, Edurne	http://datos.bne.es/resource/XX1054752	http://viaf.org/viaf/86654741
Iglesias, Edurne	Iglesias Criado, Edurne	http://datos.bne.es/resource/XX1054752	http://viaf.org/viaf/86654741
Iuniperus a Drepano	Iuniperus a Drepano	http://datos.bne.es/resource/XX1672087
Iturrioz Magaña, Ángel	Iturrioz Magaña, Ángel	http://datos.bne.es/resource/XX976932	http://viaf.org/viaf/41891978
Iñesta Burgos, Jorge	Iñesta Burgos, Jorge	http://datos.bne.es/resource/XX1711437	http://viaf.org/viaf/87453672
Inocencio	Inocencio	http://datos.bne.es/resource/XX976929
Ishihara, Shintarô	Ishihara, Shintarô	http://datos.bne.es/resource/XX5081272	http://dbpedia.org/resource/Shintar%C5%8D_Ishihara	http://viaf.org/viaf/2523715	http://d-nb.info/gnd/119013223	http://viaf.org/viaf/5132067
Iriondo Leibar, Sabina	Iriondo Leibar, Sabina	http://datos.bne.es/resource/XX1224692
Idoate, Xabier	Idoate, Xabier	http://datos.bne.es/resource/XX926628	http://viaf.org/viaf/26702975
Idoate Iribarren, Xavier	Idoate, Xabier	http://datos.bne.es/resource/XX926628	http://viaf.org/viaf/26702975
Iwaszkiewicz, Jaroslaw	Iwaszkiewicz, Jaroslaw	http://datos.bne.es/resource/XX978254
Iwase, Nobuhisa	Iwase, Nobuhisa	http://datos.bne.es/resource/XX978253
Ibáñez Dueñas, Abelardo	Ibáñez Dueñas, Abelardo	http://datos.bne.es/resource/XX1397969
Ibáñez Martínez Dueñas, Abelardo	Ibáñez Dueñas, Abelardo	http://datos.bne.es/resource/XX1397969
Inocencio, Mario de	Inocencio, Mario de	http://datos.bne.es/resource/XX1762670
Iriondo Alberdi, Pepita	Iriondo Alberdi, Pepita	http://datos.bne.es/resource/XX1520860
Iriondo, Pepita	Iriondo Alberdi, Pepita	http://datos.bne.es/resource/XX1520860
Iglesias Blanco, Anastasio Santos	Iglesias Blanco, Anastasio Santos	http://datos.bne.es/resource/XX1718741	http://viaf.org/viaf/87462823
Iglesias, Anastasio Santos	Iglesias Blanco, Anastasio Santos	http://datos.bne.es/resource/XX1718741	http://viaf.org/viaf/87462823
Santos Iglesias, Anastasio	Iglesias Blanco, Anastasio Santos	http://datos.bne.es/resource/XX1718741	http://viaf.org/viaf/87462823
Iglesias, Alberto	Iglesias, Alberto	http://datos.bne.es/resource/XX1105359	http://viaf.org/viaf/86781931
Iglesias Sanz, Alberto	Iglesias, Alberto	http://datos.bne.es/resource/XX1105359	http://viaf.org/viaf/86781931
Insa, A.	Insa, A.	http://datos.bne.es/resource/XX976943
Ibáñez García, Carlos	Ibáñez García, Carlos	http://datos.bne.es/resource/XX1279122
Isern Burguès, M. Pilar	Isern Burguès, M. Pilar	http://datos.bne.es/resource/XX1009593	http://viaf.org/viaf/86541874
Isern, M. Pilar	Isern Burguès, M. Pilar	http://datos.bne.es/resource/XX1009593	http://viaf.org/viaf/86541874
Inoue, Kyoko	Inoue, Kyoko	http://datos.bne.es/resource/XX976938
Iribarne, F	Iribarne, F	http://datos.bne.es/resource/XX4681266
Iglesias Rey, Pedro L.	Iglesias Rey, Pedro L.	http://datos.bne.es/resource/XX828888	http://viaf.org/viaf/87628483
Iracheta, Sergi	Iracheta, Sergi	http://datos.bne.es/resource/XX1598001
Iribarne, Philippe d'	Iribarne, Philippe d' 	http://datos.bne.es/resource/XX5462150
Iturria, Ignacio	Iturria, Ignacio	http://datos.bne.es/resource/XX1397936	http://viaf.org/viaf/81922705	http://d-nb.info/gnd/137785607
Izaguirre, Juan Luis	Izaguirre, Juan Luis	http://datos.bne.es/resource/XX978287	http://viaf.org/viaf/87989456
Izaguirre García, Juan Luis José	Izaguirre, Juan Luis	http://datos.bne.es/resource/XX978287	http://viaf.org/viaf/87989456
Zagui	Izaguirre, Juan Luis	http://datos.bne.es/resource/XX978287	http://viaf.org/viaf/87989456
Iglesias González, Manuel	Iglesias González, Manuel	http://datos.bne.es/resource/XX940122	http://viaf.org/viaf/87899839
Iglesias, José Manuel	Iglesias González, Manuel	http://datos.bne.es/resource/XX940122	http://viaf.org/viaf/87899839
Iglesias, Manuel	Iglesias González, Manuel	http://datos.bne.es/resource/XX940122	http://viaf.org/viaf/87899839
Iglesias, M.	Iglesias González, Manuel	http://datos.bne.es/resource/XX940122	http://viaf.org/viaf/87899839
Iglesias González, José Manuel	Iglesias González, Manuel	http://datos.bne.es/resource/XX940122	http://viaf.org/viaf/87899839
Iglesias Reymunde, Teresa	Iglesias Reymunde, Teresa	http://datos.bne.es/resource/XX1723976	http://viaf.org/viaf/87479828
Itie, Georges	Itie, Georges	http://datos.bne.es/resource/XX1791630
Izquierdo Benito, Ricardo	Izquierdo Benito, Ricardo	http://datos.bne.es/resource/XX976028	http://viaf.org/viaf/34569978	http://d-nb.info/gnd/142780731
Izquierdo, Ricardo	Izquierdo Benito, Ricardo	http://datos.bne.es/resource/XX976028	http://viaf.org/viaf/34569978	http://d-nb.info/gnd/142780731
Innocenti, Piero	Innocenti, Piero	http://datos.bne.es/resource/XX976915
Innes, Michael	Innes, Michael	http://datos.bne.es/resource/XX976905	http://viaf.org/viaf/51810342
Izarra, Adina	Izarra, Adina	http://datos.bne.es/resource/XX5261515	http://viaf.org/viaf/191394224
Iglesias Brage, Francisco	Iglesias Brage, Francisco	http://datos.bne.es/resource/XX976012
Iglesias, Francisco	Iglesias Brage, Francisco	http://datos.bne.es/resource/XX976012
Imanol	Imanol	http://datos.bne.es/resource/XX1762653
Iglesias Corral, Manuel	Iglesias Corral, Manuel	http://datos.bne.es/resource/XX976018
Ibiza i Osca, Vicent	Ibiza i Osca, Vicent	http://datos.bne.es/resource/XX1106935	http://viaf.org/viaf/68380975	http://d-nb.info/gnd/131975609
Ildefonso	Ildefonso	http://datos.bne.es/resource/XX1201353
Inocencio	Inocencio	http://datos.bne.es/resource/XX976925
Izzi Dien, M.	Izzi Dien, M.	http://datos.bne.es/resource/XX1504465
Ipuche, Pedro Leandro	Ipuche, Pedro Leandro	http://datos.bne.es/resource/XX977172	http://viaf.org/viaf/69780175
Irizar, Juan Carlos	Irizar, Juan Carlos	http://datos.bne.es/resource/XX1298828	http://viaf.org/viaf/87068788
Irizar Ortúzar, Juan Carlos	Irizar, Juan Carlos	http://datos.bne.es/resource/XX1298828	http://viaf.org/viaf/87068788
Iquino Parra, Félix	Iquino Parra, Félix	http://datos.bne.es/resource/XX977174
Irles Más, Ramón	Irles Más, Ramón	http://datos.bne.es/resource/XX1178312	http://viaf.org/viaf/86943311
Irigoien, Guillaume	Irigoien, Guillaume	http://datos.bne.es/resource/XX908642	http://viaf.org/viaf/87820525
Irigoien, Gillaume	Irigoien, Guillaume	http://datos.bne.es/resource/XX908642	http://viaf.org/viaf/87820525
Irigoyen, Guillaume	Irigoien, Guillaume	http://datos.bne.es/resource/XX908642	http://viaf.org/viaf/87820525
Ibbotson, Eva	Ibbotson, Eva	http://datos.bne.es/resource/XX920517	http://viaf.org/viaf/119264692	http://d-nb.info/gnd/118078933	http://libris.kb.se/resource/auth/342520	http://dbpedia.org/resource/Eva_Ibbotson
Inclan	Inclan	http://datos.bne.es/resource/XX1540786
Icaza Dufour, Francisco	Icaza Dufour, Francisco	http://datos.bne.es/resource/XX1057241	http://viaf.org/viaf/86661434	http://viaf.org/viaf/307161943
Izagirre, Josu	Izagirre, Josu	http://datos.bne.es/resource/XX842279	http://viaf.org/viaf/87663895
Izagirre Irure, Josu	Izagirre, Josu	http://datos.bne.es/resource/XX842279	http://viaf.org/viaf/87663895
Iglesias, Enrique	Iglesias, Enrique	http://datos.bne.es/resource/XX1008037
Iturbe Mach, Ander	Iturbe Mach, Ander	http://datos.bne.es/resource/XX924082	http://viaf.org/viaf/70650821
Iturbe Mach, Andrés	Iturbe Mach, Ander	http://datos.bne.es/resource/XX924082	http://viaf.org/viaf/70650821
Isau, Ralf	Isau, Ralf	http://datos.bne.es/resource/XX1348396
Iraburu, Javier	Iraburu, Javier	http://datos.bne.es/resource/XX977179
Iturbide, Agustín de	Iturbide, Agustín de	http://datos.bne.es/resource/XX977984
Iosseliani, Otar	Iosseliani, Otar	http://datos.bne.es/resource/XX1621126
Infante, Josefina	Infante, Josefina	http://datos.bne.es/resource/XX901811	http://viaf.org/viaf/9782930
Ruiz Infante, Josefina	Infante, Josefina	http://datos.bne.es/resource/XX901811	http://viaf.org/viaf/9782930
Ruiz, Josefina	Infante, Josefina	http://datos.bne.es/resource/XX901811	http://viaf.org/viaf/9782930
Ipiphanius, Nicolaus	Ipiphanius, Nicolaus	http://datos.bne.es/resource/XX977160
Iturribarría, José M.	Iturribarría, José M.	http://datos.bne.es/resource/XX5132271
Iglesias, Assaf	Iglesias, Assaf	http://datos.bne.es/resource/XX5458910
Ivars Ruiz, Joaquín	Ivars Ruiz, Joaquín	http://datos.bne.es/resource/XX1406043	http://viaf.org/viaf/87165801
Iskander, Fazil' Abdulovich	Iskander, Fazil' Abdulovich	http://datos.bne.es/resource/XX1004756	http://dbpedia.org/resource/Fazil_Iskander	http://viaf.org/viaf/59094865	http://d-nb.info/gnd/118960539	http://libris.kb.se/resource/auth/63685
Iskander, Fazil'	Iskander, Fazil' Abdulovich	http://datos.bne.es/resource/XX1004756	http://dbpedia.org/resource/Fazil_Iskander	http://viaf.org/viaf/59094865	http://d-nb.info/gnd/118960539	http://libris.kb.se/resource/auth/63685
Iglesia, Modesto de la	Iglesia, Modesto de la	http://datos.bne.es/resource/XX975853
Iglesia, Nicolás de la	Iglesia, Nicolás de la	http://datos.bne.es/resource/XX975854
Iturgaitz, Javier	Iturgaitz, Javier	http://datos.bne.es/resource/XX977992
Izard, Jean-Louis	Izard, Jean Louis	http://datos.bne.es/resource/XX978298
Iglesia, Juan Antonio de la	Iglesia, Juan Antonio de la	http://datos.bne.es/resource/XX975850
Insolera, Italo	Insolera, Italo	http://datos.bne.es/resource/XX1466660
Ipsen, Johannes	Ipsen, Johannes	http://datos.bne.es/resource/XX977168
Iglesias Pérez, Francisco	Iglesias Pérez, Francisco	http://datos.bne.es/resource/XX1540770
Insolera, Manuel	Insolera, Manuel	http://datos.bne.es/resource/XX1075670
Insausti, José	Insausti, José	http://datos.bne.es/resource/XX1598015	http://viaf.org/viaf/87327009
Iraelsen, Orson Winso	Iraelsen, Orson Winso	http://datos.bne.es/resource/XX977192
Isabel	Isabel	http://datos.bne.es/resource/XX879513	http://viaf.org/viaf/87748802	http://www.idref.fr/088342700/id	http://d-nb.info/gnd/119560119
Ibáñez Viana, José	Ibáñez Viana, José	http://datos.bne.es/resource/XX1583665	http://viaf.org/viaf/87308246
Israel, Abraham	Israel, Abraham	http://datos.bne.es/resource/XX5306729
Ibn al-`Adim, Kamal al-Din	Ibn al `Adim, Kamal al Din	http://datos.bne.es/resource/XX1590940
Ibn al-`Adim, Kamal al-Din `Umar ibn Ahmad	Ibn al `Adim, Kamal al Din	http://datos.bne.es/resource/XX1590940
Inmon, W. H.	Inmon, W. H.	http://datos.bne.es/resource/XX1466656
Inoue, Shuhachi	Inoue, Shuhachi	http://datos.bne.es/resource/XX1466657
Ivanovskiï, A. A.	Ivanovskiï, A. A.	http://datos.bne.es/resource/XX1004765	http://viaf.org/viaf/86528815
Ivanovskiï, A. A., Gr.	Ivanovskiï, A. A.	http://datos.bne.es/resource/XX1004765	http://viaf.org/viaf/86528815
Igel, Regine	Igel, Regine	http://datos.bne.es/resource/XX975824
Igea, Moisés	Igea, Moisés	http://datos.bne.es/resource/XX969965	http://viaf.org/viaf/87972360
Iraizoz Fernández, José María	Iraizoz Fernández, José María	http://datos.bne.es/resource/XX977197
Iradiel, Paulino	Iradiel, Paulino	http://datos.bne.es/resource/XX977184	http://viaf.org/viaf/9888893	http://libris.kb.se/resource/auth/191138
Iradiel Murugarren, Paulino	Iradiel, Paulino	http://datos.bne.es/resource/XX977184	http://viaf.org/viaf/9888893	http://libris.kb.se/resource/auth/191138
Iriarte, Joel	Iriarte, Joel	http://datos.bne.es/resource/XX4846293	http://viaf.org/viaf/169022843
Iriarte Parra, Joel	Iriarte, Joel	http://datos.bne.es/resource/XX4846293	http://viaf.org/viaf/169022843
Incisa, Giulia	Incisa, Giulia	http://datos.bne.es/resource/XX865795
Ianni, Octavio	Ianni, Octavio	http://datos.bne.es/resource/XX1165538	http://viaf.org/viaf/79042969	http://d-nb.info/gnd/119531054	http://dbpedia.org/resource/Octavio_Ianni
Izzo, Johann Baptist von	Izzo, Johann Baptist von	http://datos.bne.es/resource/XX1668805
Iturbe, José	Iturbe, José	http://datos.bne.es/resource/XX977978
Izz Ad-Din Abu-L-Fada'Il Al Zanyani	Izz Ad Din Abu L Fada' Il Al Zanyani	http://datos.bne.es/resource/XX1668804
Iglesia, Ángel de la	Iglesia, Ángel de la	http://datos.bne.es/resource/XX975834
Izquierdo, Didacus	Izquierdo, Didacus	http://datos.bne.es/resource/XX1668802
Izouard, Jean B. Claude	Izouard, Jean B. Claude	http://datos.bne.es/resource/XX1668801
Ivanov, Georgiĭ	Ivanov, Georgiĭ	http://datos.bne.es/resource/XX1004774	http://viaf.org/viaf/86528827	http://d-nb.info/gnd/119154730	http://dbpedia.org/resource/Georgy_Ivanov
Ivanov, Georgij	Ivanov, Georgiĭ	http://datos.bne.es/resource/XX1004774	http://viaf.org/viaf/86528827	http://d-nb.info/gnd/119154730	http://dbpedia.org/resource/Georgy_Ivanov
Ivanov, Georgij V.	Ivanov, Georgiĭ	http://datos.bne.es/resource/XX1004774	http://viaf.org/viaf/86528827	http://d-nb.info/gnd/119154730	http://dbpedia.org/resource/Georgy_Ivanov
Ivanov, Gueórgui	Ivanov, Georgiĭ	http://datos.bne.es/resource/XX1004774	http://viaf.org/viaf/86528827	http://d-nb.info/gnd/119154730	http://dbpedia.org/resource/Georgy_Ivanov
Ivanov, Gueórguïï	Ivanov, Georgiĭ	http://datos.bne.es/resource/XX1004774	http://viaf.org/viaf/86528827	http://d-nb.info/gnd/119154730	http://dbpedia.org/resource/Georgy_Ivanov
Ivanov, Georgiĭ Vladimirovich	Ivanov, Georgiĭ	http://datos.bne.es/resource/XX1004774	http://viaf.org/viaf/86528827	http://d-nb.info/gnd/119154730	http://dbpedia.org/resource/Georgy_Ivanov
Izarn, Jh.	Izarn, Jh.	http://datos.bne.es/resource/XX1668800
Izquierdo, Antonio	Izquierdo, Antonio	http://datos.bne.es/resource/XX1260193
