Jiménez, Juan Manuel	Jiménez, Juan Manuel	http://datos.bne.es/resource/XX961201	http://viaf.org/viaf/87953608
Jiménez, John M.	Jiménez, Juan Manuel	http://datos.bne.es/resource/XX961201	http://viaf.org/viaf/87953608
Jiménez Larena, Juan Manuel	Jiménez, Juan Manuel	http://datos.bne.es/resource/XX961201	http://viaf.org/viaf/87953608
Jiménez, John Michael	Jiménez, Juan Manuel	http://datos.bne.es/resource/XX961201	http://viaf.org/viaf/87953608
Jerez Alcaraz, José	Jerez Alcaraz, José	http://datos.bne.es/resource/XX1324145
Juan-Cantavella, Robert	Juan Cantavella, Robert	http://datos.bne.es/resource/XX1581439	http://viaf.org/viaf/42134166	http://libris.kb.se/resource/auth/323072	http://dbpedia.org/resource/Robert_Juan-Cantavella
Cantavella	Juan Cantavella, Robert	http://datos.bne.es/resource/XX1581439	http://viaf.org/viaf/42134166	http://libris.kb.se/resource/auth/323072	http://dbpedia.org/resource/Robert_Juan-Cantavella
Jerez Alvarado, Rafael	Jerez Alvarado, Rafael	http://datos.bne.es/resource/XX1324148
Jonge, Alex de	Jonge, Alex de	http://datos.bne.es/resource/XX1326286
Jerez, Hipólito	Jerez, Hipólito	http://datos.bne.es/resource/XX1324141
Juanola i Boera, Albert	Juanola i Boera, Albert	http://datos.bne.es/resource/XX983857	http://viaf.org/viaf/48565232
Jerez, Rafael	Jerez, Rafael	http://datos.bne.es/resource/XX1324144
Jerez, Jozef Habib	Jerez, Jozef Habib	http://datos.bne.es/resource/XX1324143
Jonescu-Sisesti, G.	Jonescu Sisesti, G.	http://datos.bne.es/resource/XX1326280
Jong, Frits J. de	Jong, Frits J. de	http://datos.bne.es/resource/XX1326281
Junius, Franciscus	Junius, Franciscus	http://datos.bne.es/resource/XX872590	http://viaf.org/viaf/64809369	http://libris.kb.se/resource/auth/205901	http://d-nb.info/gnd/119068125	http://dbpedia.org/resource/Franciscus_Junius_(the_younger)	http://viaf.org/viaf/59225563
Du Jon, François	Junius, Franciscus	http://datos.bne.es/resource/XX872590	http://viaf.org/viaf/64809369	http://libris.kb.se/resource/auth/205901	http://d-nb.info/gnd/119068125	http://dbpedia.org/resource/Franciscus_Junius_(the_younger)	http://viaf.org/viaf/59225563
Junius, Francis	Junius, Franciscus	http://datos.bne.es/resource/XX872590	http://viaf.org/viaf/64809369	http://libris.kb.se/resource/auth/205901	http://d-nb.info/gnd/119068125	http://dbpedia.org/resource/Franciscus_Junius_(the_younger)	http://viaf.org/viaf/59225563
Jon, François Du	Junius, Franciscus	http://datos.bne.es/resource/XX872590	http://viaf.org/viaf/64809369	http://libris.kb.se/resource/auth/205901	http://d-nb.info/gnd/119068125	http://dbpedia.org/resource/Franciscus_Junius_(the_younger)	http://viaf.org/viaf/59225563
Juanotena, Jesús Javier	Juanotena, Jesús Javier	http://datos.bne.es/resource/XX983861
Juanto Manrique, Fermín	Juanto Manrique, Fermín	http://datos.bne.es/resource/XX983863
Jané Bonet, Juan	Jané Bonet, Juan	http://datos.bne.es/resource/XX1005530	http://viaf.org/viaf/86531317
Jeremias de las Sagradas Espinas	Jeremias de las Sagradas Espinas	http://datos.bne.es/resource/XX1324139	http://viaf.org/viaf/310536035
Jeremias de las S.S. Espinas	Jeremias de las Sagradas Espinas	http://datos.bne.es/resource/XX1324139	http://viaf.org/viaf/310536035
Jones Rodriguez, Wilson Alfredo	Jones Rodriguez, Wilson Alfredo	http://datos.bne.es/resource/XX1326276
