Lyon, William Burr	Lyon, William Burr	http://datos.bne.es/resource/XX1009569
Loza Azuaga, María Luisa	Loza Azuaga, María Luisa	http://datos.bne.es/resource/XX1007776
Lallus, Carolus	Lallus, Carolus	http://datos.bne.es/resource/XX1675348
Lally-Tollendal, Trophime-Gérard	Lally Tollendal, Trophime Gérard	http://datos.bne.es/resource/XX1675349
López Renduelles, Mercedes	López Renduelles, Mercedes	http://datos.bne.es/resource/XX1568569
Lalli, Domenico	Lalli, Domenico	http://datos.bne.es/resource/XX1675346
Liniger-Goumaz, Max	Liniger Goumaz, Max	http://datos.bne.es/resource/XX961202	http://viaf.org/viaf/61540159	http://d-nb.info/gnd/121728544	http://libris.kb.se/resource/auth/71823
Lloyd-Jones, Hugh	Lloyd Jones, Hugh	http://datos.bne.es/resource/XX1002655
Lloyd-Jones, H.	Lloyd Jones, Hugh	http://datos.bne.es/resource/XX1002655
Lalli, Giovanni Battista	Lalli, Giovanni Battista	http://datos.bne.es/resource/XX1675347
Lindner, Gert	Lindner, Gert	http://datos.bne.es/resource/XX1069574	http://viaf.org/viaf/29653023	http://d-nb.info/gnd/106404164	http://viaf.org/viaf/293055486
Lewis, Rudy	Lewis, Rudy	http://datos.bne.es/resource/XX999512
López Aldea, Javier	López Aldea, Javier	http://datos.bne.es/resource/XX1143999	http://viaf.org/viaf/86869583
Lallemant, Nicolas	Lallemant, Nicolas	http://datos.bne.es/resource/XX1675344
Lewis, Roy Harley	Lewis, Roy Harley	http://datos.bne.es/resource/XX999511
Lallement, M. Félix	Lallement, M. Félix	http://datos.bne.es/resource/XX1675345
Liublinskiï, Sergueï Borisovich	Liublinskiï, Sergueï Borisovich	http://datos.bne.es/resource/XX1105300	http://viaf.org/viaf/110652612
Lublinskiï, S. B.	Liublinskiï, Sergueï Borisovich	http://datos.bne.es/resource/XX1105300	http://viaf.org/viaf/110652612
Lewis, Roy	Lewis, Roy	http://datos.bne.es/resource/XX999510
Lewis, M. G.	Lewis, M. G.	http://datos.bne.es/resource/XX1107442	http://dbpedia.org/resource/Matthew_Lewis_(writer)	http://viaf.org/viaf/71394067	http://d-nb.info/gnd/118572482	http://www.idref.fr/026988925/id	http://libris.kb.se/resource/auth/313602	http://viaf.org/viaf/181411856
Lewis	Lewis, M. G.	http://datos.bne.es/resource/XX1107442	http://dbpedia.org/resource/Matthew_Lewis_(writer)	http://viaf.org/viaf/71394067	http://d-nb.info/gnd/118572482	http://www.idref.fr/026988925/id	http://libris.kb.se/resource/auth/313602	http://viaf.org/viaf/181411856
Lewis, Matthew G.	Lewis, M. G.	http://datos.bne.es/resource/XX1107442	http://dbpedia.org/resource/Matthew_Lewis_(writer)	http://viaf.org/viaf/71394067	http://d-nb.info/gnd/118572482	http://www.idref.fr/026988925/id	http://libris.kb.se/resource/auth/313602	http://viaf.org/viaf/181411856
Lewis, Matthew Gregory	Lewis, M. G.	http://datos.bne.es/resource/XX1107442	http://dbpedia.org/resource/Matthew_Lewis_(writer)	http://viaf.org/viaf/71394067	http://d-nb.info/gnd/118572482	http://www.idref.fr/026988925/id	http://libris.kb.se/resource/auth/313602	http://viaf.org/viaf/181411856
Lallemant, Jacques-Charles-Alexandre	Lallemant, Jacques Charles Alexandre	http://datos.bne.es/resource/XX1675342
Betz, Jacques-Charles-Alexandre Lallemant de	Lallemant, Jacques Charles Alexandre	http://datos.bne.es/resource/XX1675342
Lallemant, Jacques Charles Alexandre	Lallemant, Jacques Charles Alexandre	http://datos.bne.es/resource/XX1675342
Lallemant, Jacques-Charles-Alexandre,	Lallemant, Jacques Charles Alexandre	http://datos.bne.es/resource/XX1675342
Lallemant de Betz, Jacques-Charles-Alexandre	Lallemant, Jacques Charles Alexandre	http://datos.bne.es/resource/XX1675342
Lallemant de Betz, Jacques-Charles-Alexandre,	Lallemant, Jacques Charles Alexandre	http://datos.bne.es/resource/XX1675342
Séez,	Lallemant, Jacques Charles Alexandre	http://datos.bne.es/resource/XX1675342
Lallemant, Jean-Baptiste-Joseph	Lallemant, Jean Baptiste Joseph	http://datos.bne.es/resource/XX1675343
Laloubére, Antoine de	Laloubére, Antoine de	http://datos.bne.es/resource/XX1675340
La Loubère, Simon de	La Loubère, Simon de	http://datos.bne.es/resource/XX1675341
López-Villar, Ana Belén	López Villar, Ana Belén	http://datos.bne.es/resource/XX4616590	http://viaf.org/viaf/169734411
López, Ana Belén	López Villar, Ana Belén	http://datos.bne.es/resource/XX4616590	http://viaf.org/viaf/169734411
