Merlo Pick, Vittorio	Merlo Pick, Vittorio	http://datos.bne.es/resource/XX851180	http://viaf.org/viaf/87683875
Mercedes	Mercedes	http://datos.bne.es/resource/XX4695847
Musset, Alfred de	Musset, Alfred de	http://datos.bne.es/resource/XX1114235	http://viaf.org/viaf/54151927	http://www.idref.fr/027043339/id	http://d-nb.info/gnd/118585940	http://libris.kb.se/resource/auth/210178	http://dbpedia.org/resource/Alfred_de_Musset
Miusse, Al'fred de	Musset, Alfred de	http://datos.bne.es/resource/XX1114235	http://viaf.org/viaf/54151927	http://www.idref.fr/027043339/id	http://d-nb.info/gnd/118585940	http://libris.kb.se/resource/auth/210178	http://dbpedia.org/resource/Alfred_de_Musset
Musset, Alfred	Musset, Alfred de	http://datos.bne.es/resource/XX1114235	http://viaf.org/viaf/54151927	http://www.idref.fr/027043339/id	http://d-nb.info/gnd/118585940	http://libris.kb.se/resource/auth/210178	http://dbpedia.org/resource/Alfred_de_Musset
Musset, A. de	Musset, Alfred de	http://datos.bne.es/resource/XX1114235	http://viaf.org/viaf/54151927	http://www.idref.fr/027043339/id	http://d-nb.info/gnd/118585940	http://libris.kb.se/resource/auth/210178	http://dbpedia.org/resource/Alfred_de_Musset
Musset, Louis Charles Alfred de	Musset, Alfred de	http://datos.bne.es/resource/XX1114235	http://viaf.org/viaf/54151927	http://www.idref.fr/027043339/id	http://d-nb.info/gnd/118585940	http://libris.kb.se/resource/auth/210178	http://dbpedia.org/resource/Alfred_de_Musset
Moreno, Juan	Moreno, Juan	http://datos.bne.es/resource/XX1038536	http://viaf.org/viaf/86616870
Leiva, M.	Moreno, Juan	http://datos.bne.es/resource/XX1038536	http://viaf.org/viaf/86616870
Moreno Dueñas, Juan	Moreno, Juan	http://datos.bne.es/resource/XX1038536	http://viaf.org/viaf/86616870
Mesa, Pablo	Mesa, Pablo	http://datos.bne.es/resource/XX1475224
Martí Catalá, Eugenio	Martí Catalá, Eugenio	http://datos.bne.es/resource/XX1568567
Martí, Eugenio	Martí Catalá, Eugenio	http://datos.bne.es/resource/XX1568567
Mérimée, Prosper	Mérimée, Prosper	http://datos.bne.es/resource/XX963343	http://viaf.org/viaf/44302582	http://d-nb.info/gnd/118581104	http://libris.kb.se/resource/auth/207815	http://www.idref.fr/027024156/id	http://dbpedia.org/resource/Prosper_M%C3%A9rim%C3%A9e
Gazul, Clara	Mérimée, Prosper	http://datos.bne.es/resource/XX963343	http://viaf.org/viaf/44302582	http://d-nb.info/gnd/118581104	http://libris.kb.se/resource/auth/207815	http://www.idref.fr/027024156/id	http://dbpedia.org/resource/Prosper_M%C3%A9rim%C3%A9e
L'Estrange, Joseph	Mérimée, Prosper	http://datos.bne.es/resource/XX963343	http://viaf.org/viaf/44302582	http://d-nb.info/gnd/118581104	http://libris.kb.se/resource/auth/207815	http://www.idref.fr/027024156/id	http://dbpedia.org/resource/Prosper_M%C3%A9rim%C3%A9e
