Norton, Anne	Norton, Anne	http://datos.bne.es/resource/XX1671443
Nagy, Silvia	Nagy, Silvia	http://datos.bne.es/resource/XX1723999	http://viaf.org/viaf/46748537	http://d-nb.info/gnd/140189718	http://libris.kb.se/resource/auth/318408	http://www.idref.fr/050758594/id
Nelde, Peter H.	Nelde, Peter H.	http://datos.bne.es/resource/XX880641	http://viaf.org/viaf/2484564	http://d-nb.info/gnd/106180118	http://viaf.org/viaf/166089071
Nelde, Peter Hans	Nelde, Peter H.	http://datos.bne.es/resource/XX880641	http://viaf.org/viaf/2484564	http://d-nb.info/gnd/106180118	http://viaf.org/viaf/166089071
Nuño Vázquez-Garza, Javier María	Nuño Vázquez Garza, Javier María	http://datos.bne.es/resource/XX1492434
Neri, Carla	Neri, Carla	http://datos.bne.es/resource/XX1701219
Noth, Albrecht	Noth, Albrecht	http://datos.bne.es/resource/XX1383125
Nothdurft, Klaus-Dieter	Nothdurft, Klaus Dieter	http://datos.bne.es/resource/XX1383126
Narbona Cárceles, María	Narbona Cárceles, María	http://datos.bne.es/resource/XX1792777
Nothnagel, Hermann	Nothnagel, Hermann	http://datos.bne.es/resource/XX1383128
Nothomb, Paul	Nothomb, Paul	http://datos.bne.es/resource/XX1383129	http://viaf.org/viaf/112114845	http://d-nb.info/gnd/122304306	http://viaf.org/viaf/49348307
Segnaire, Julien	Nothomb, Paul	http://datos.bne.es/resource/XX1383129	http://viaf.org/viaf/112114845	http://d-nb.info/gnd/122304306	http://viaf.org/viaf/49348307
Niclós Corts, Raquel	Niclós Corts, Raquel	http://datos.bne.es/resource/XX1792771
Navas Acuyo, Mariana Clara	Navas Acuyo, Mariana Clara	http://datos.bne.es/resource/XX821412	http://viaf.org/viaf/87607910
Navas Acuyo, Mariana C.	Navas Acuyo, Mariana Clara	http://datos.bne.es/resource/XX821412	http://viaf.org/viaf/87607910
Negri, Giovanni	Negri, Giovanni	http://datos.bne.es/resource/XX1286213
Nebreda, David	Nebreda, David	http://datos.bne.es/resource/XX978210
Nameroff, Steven	Nameroff, Steven	http://datos.bne.es/resource/XX853196	http://viaf.org/viaf/94060067	http://d-nb.info/gnd/111371333
Navarta, Javier	Navarta, Javier	http://datos.bne.es/resource/XX1792768
Nieto, José	Nieto, José	http://datos.bne.es/resource/XX1460547	http://viaf.org/viaf/87200264
Navarro Guerrero, Montserrat	Navarro Guerrero, Montserrat	http://datos.bne.es/resource/XX1201547
Nobile, Marco Rosario	Nobile, Marco Rosario	http://datos.bne.es/resource/XX1526581	http://viaf.org/viaf/70112597	http://d-nb.info/gnd/133216934
Navarro Gámez, Miguel	Navarro Gámez, Miguel	http://datos.bne.es/resource/XX1020726	http://viaf.org/viaf/19908598
Notake, Yukio	Notake, Yukio	http://datos.bne.es/resource/XX1383105
Nadaud, Jérôme	Nadaud, Jérôme	http://datos.bne.es/resource/XX914973	http://viaf.org/viaf/4934368
Notario Ruiz, Zóximo	Notario Ruiz, Zóximo	http://datos.bne.es/resource/XX1383108
Notarnicola, Biagio	Notarnicola, Biagio	http://datos.bne.es/resource/XX1383109
Newman, Ernest	Newman, Ernest	http://datos.bne.es/resource/XX1201311	http://viaf.org/viaf/79255917	http://d-nb.info/gnd/137664737	http://dbpedia.org/resource/Ernest_Newman
Roberts, William	Newman, Ernest	http://datos.bne.es/resource/XX1201311	http://viaf.org/viaf/79255917	http://d-nb.info/gnd/137664737	http://dbpedia.org/resource/Ernest_Newman
Notario, Rafael	Notario, Rafael	http://datos.bne.es/resource/XX1383107	http://viaf.org/viaf/87147684
Notario Gómez, Rafael	Notario, Rafael	http://datos.bne.es/resource/XX1383107	http://viaf.org/viaf/87147684
Navarro Pérez, María Cruz	Navarro Pérez, María Cruz	http://datos.bne.es/resource/XX1663127
Netzer, Susanne	Netzer, Susanne	http://datos.bne.es/resource/XX1186557
Neumann, Caspar	Neumann, Caspar	http://datos.bne.es/resource/XX1700590
Neumayr, Franz	Neumayr, Franz	http://datos.bne.es/resource/XX1700592
Neuveglise, Charles	Neuveglise, Charles	http://datos.bne.es/resource/XX1700593
Navarro, Carmen	Navarro, Carmen	http://datos.bne.es/resource/XX1748855
Nevaux, B. D. Gé	Nevaux, B. D. Gé	http://datos.bne.es/resource/XX1700594
Neve, Timothy	Neve, Timothy	http://datos.bne.es/resource/XX1700597
Neve, Richard	Neve, Richard	http://datos.bne.es/resource/XX1700596
Neveu, J.	Neveu, J.	http://datos.bne.es/resource/XX1700598
Nieto Morejón, Pablo	Nieto Morejón, Pablo	http://datos.bne.es/resource/XX1005509	http://viaf.org/viaf/26421565	http://viaf.org/viaf/33308137
Nieto, P.	Nieto Morejón, Pablo	http://datos.bne.es/resource/XX1005509	http://viaf.org/viaf/26421565	http://viaf.org/viaf/33308137
Nieto, Pablo	Nieto Morejón, Pablo	http://datos.bne.es/resource/XX1005509	http://viaf.org/viaf/26421565	http://viaf.org/viaf/33308137
Notarnicola, Vittorio	Notarnicola, Vittorio	http://datos.bne.es/resource/XX1383111
Notarnicola, Giuseppe	Notarnicola, Giuseppe	http://datos.bne.es/resource/XX1383110
Neufchateau, Francisco de	Neufchateau, Francisco de	http://datos.bne.es/resource/XX1700582
Neubauer, Johann Ernst	Neubauer, Johann Ernst	http://datos.bne.es/resource/XX1700581
Nettelbladt, Daniel	Nettelbladt, Daniel	http://datos.bne.es/resource/XX1700580
Nettelblatt, Daniel	Nettelbladt, Daniel	http://datos.bne.es/resource/XX1700580
Nettelblattius, Daniel	Nettelbladt, Daniel	http://datos.bne.es/resource/XX1700580
Neufville, Jacob de	Neufville, Jacob de	http://datos.bne.es/resource/XX1540298
N. D. V. S. M.	N. D. V. S. M.	http://datos.bne.es/resource/XX1794301
Dalmau, Nieves	N. D. V. S. M.	http://datos.bne.es/resource/XX1794301
Neiger, Henri	Neiger, Henri	http://datos.bne.es/resource/XX1047122
Neil	Neil	http://datos.bne.es/resource/XX1047125
Núñez, Ricardo	Núñez, Ricardo	http://datos.bne.es/resource/XX1616003
Neil, C. Lang	Neil, C. Lang	http://datos.bne.es/resource/XX1047126
Nielsen	Nielsen	http://datos.bne.es/resource/XX1310315
Núñez Martínez, Óscar	Núñez Martínez, Óscar	http://datos.bne.es/resource/XX1686649
Nouaillac, Juan Bautista	Nouaillac, Juan Bautista	http://datos.bne.es/resource/XX1383164
Nouaillac, Juan Bauttista	Nouaillac, Juan Bauttista	http://datos.bne.es/resource/XX1383165
Neuman, Wencesl. Xaver	Neuman, Wencesl. Xaver	http://datos.bne.es/resource/XX1700589
Neuhusius, Edo	Neuhusius, Edo	http://datos.bne.es/resource/XX1700587
Neuhusius, Reinerus	Neuhusius, Reinerus	http://datos.bne.es/resource/XX1700588
Neugebauer, Salomon	Neugebauer, Salomon	http://datos.bne.es/resource/XX1700585
Notter, Harley A.	Notter, Harley A.	http://datos.bne.es/resource/XX1383160
Nieto Sánchez, Isabel	Nieto Sánchez, Isabel	http://datos.bne.es/resource/XX1732077
Neuhof, Friedrich von	Neuhof, Friedrich von	http://datos.bne.es/resource/XX1700586
Neufeld, Ulricus de	Neufeld, Ulricus de	http://datos.bne.es/resource/XX1700583
Neufville de Brunaubois-Montador, Jean	Neufville de Brunaubois Montador, Jean	http://datos.bne.es/resource/XX1700584
Neri, Ippolito	Neri, Ippolito	http://datos.bne.es/resource/XX1700571
Naves, Andrés	Naves, Andrés	http://datos.bne.es/resource/XX1201335	http://viaf.org/viaf/47163062	http://d-nb.info/gnd/102825246
Neidhardt, E. Joseph	Neidhardt, E. Joseph	http://datos.bne.es/resource/XX1047114
Nápoles y Fajardo, Antonio	Nápoles y Fajardo, Antonio	http://datos.bne.es/resource/XX1155849
Nemeck, Francis Kelly	Nemeck, Francis Kelly	http://datos.bne.es/resource/XX1147506	http://viaf.org/viaf/73017381
Narváez Sánchez, Juan Antonio	Narváez Sánchez, Juan Antonio	http://datos.bne.es/resource/XX985754	http://viaf.org/viaf/88005326
Narváez, Juan Antonio	Narváez Sánchez, Juan Antonio	http://datos.bne.es/resource/XX985754	http://viaf.org/viaf/88005326
Núñez, J. Agustín	Núñez, J. Agustín	http://datos.bne.es/resource/XX845882	http://viaf.org/viaf/5634804	http://d-nb.info/gnd/114461279
Núñez Guarde, J. Agustín	Núñez, J. Agustín	http://datos.bne.es/resource/XX845882	http://viaf.org/viaf/5634804	http://d-nb.info/gnd/114461279
Núñez Guarde, Juan Agustín	Núñez, J. Agustín	http://datos.bne.es/resource/XX845882	http://viaf.org/viaf/5634804	http://d-nb.info/gnd/114461279
Núñez Guarde, Agustín	Núñez, J. Agustín	http://datos.bne.es/resource/XX845882	http://viaf.org/viaf/5634804	http://d-nb.info/gnd/114461279
