Álvarez, Silvia	Álvarez, Silvia	http://datos.bne.es/resource/XX1586069	http://viaf.org/viaf/169547767
Álvarez Cilleros, Silvia	Álvarez, Silvia	http://datos.bne.es/resource/XX1586069	http://viaf.org/viaf/169547767
Álvarez, Imeldo	Álvarez, Imeldo	http://datos.bne.es/resource/XX907512	http://viaf.org/viaf/66503675	http://viaf.org/viaf/114950123
Álvarez García, Imeldo	Álvarez, Imeldo	http://datos.bne.es/resource/XX907512	http://viaf.org/viaf/66503675	http://viaf.org/viaf/114950123
Ávila Arjona, Alfonso	Ávila Arjona, Alfonso	http://datos.bne.es/resource/XX1446333	http://viaf.org/viaf/87191989
Š̌kroup, František	Š̌kroup, František	http://datos.bne.es/resource/XX5183846	http://viaf.org/viaf/46951953
Skraup, Franz	Š̌kroup, František	http://datos.bne.es/resource/XX5183846	http://viaf.org/viaf/46951953
Skraup, François	Š̌kroup, František	http://datos.bne.es/resource/XX5183846	http://viaf.org/viaf/46951953
Álvarez, Rafael	Álvarez, Rafael	http://datos.bne.es/resource/XX5396668
Álvarez Rubio, Amparo	Álvarez Rubio, Amparo	http://datos.bne.es/resource/XX1487181	http://viaf.org/viaf/87218197
Álvarez Arenas, Félix	Álvarez Arenas, Félix	http://datos.bne.es/resource/XX1315451
Álvarez Vázquez, Manuel	Álvarez Vázquez, Manuel	http://datos.bne.es/resource/XX1147940	http://viaf.org/viaf/1240712
Úbeda, Javier	Úbeda, Javier	http://datos.bne.es/resource/XX1658472
Álvarez Rodríguez, Joaquín	Álvarez Rodríguez, Joaquín	http://datos.bne.es/resource/XX1233207	http://viaf.org/viaf/87000905
Öcalan, Abdullah	Öcalan, Abdullah	http://datos.bne.es/resource/XX5331874	http://viaf.org/viaf/255752
Álvarez Rojo, Víctor	Álvarez Rojo, Víctor	http://datos.bne.es/resource/XX1105319	http://viaf.org/viaf/29339185	http://viaf.org/viaf/20994260
Álvarez, Víctor B.	Álvarez Rojo, Víctor	http://datos.bne.es/resource/XX1105319	http://viaf.org/viaf/29339185	http://viaf.org/viaf/20994260
