Poole, Austin Lane	Poole, Austin Lane	http://datos.bne.es/resource/XX1723994	http://viaf.org/viaf/76445219	http://d-nb.info/gnd/116266473	http://dbpedia.org/resource/Austin_Lane_Poole
Potter, John	Potter, John	http://datos.bne.es/resource/XX4835366
Perales, Manuel	Perales, Manuel	http://datos.bne.es/resource/XX1065306
Polo Sifontes, Francis	Polo Sifontes, Francis	http://datos.bne.es/resource/XX1009566	http://viaf.org/viaf/56779841
Petrov-Vodkin, Kuzma	Petrov Vodkin, Kuzma	http://datos.bne.es/resource/XX1069575
Palaiseul, Jean	Palaiseul, Jean	http://datos.bne.es/resource/XX1058370
Polack, Frank M.	Polack, Frank M.	http://datos.bne.es/resource/XX1073537
Perich i Vidal, Gemma	Perich i Vidal, Gemma	http://datos.bne.es/resource/XX1068443
Pinchin, Calvin	Pinchin, Calvin	http://datos.bne.es/resource/XX1161131	http://viaf.org/viaf/43394547
Pellicer, Adolfo	Pellicer, Adolfo	http://datos.bne.es/resource/XX881369	http://viaf.org/viaf/46335207
Pellicer Iborra, Adolfo	Pellicer, Adolfo	http://datos.bne.es/resource/XX881369	http://viaf.org/viaf/46335207
Piperno, Pietro	Piperno, Pietro	http://datos.bne.es/resource/XX1731797
Pipernus, Petrus	Piperno, Pietro	http://datos.bne.es/resource/XX1731797
Pecanins, Joaquín	Pecanins, Joaquín	http://datos.bne.es/resource/XX1366525	http://viaf.org/viaf/87131669
Peirosilla, José María	Peirosilla, José María	http://datos.bne.es/resource/XX1063991
Ponce Vaca, Ignacio	Ponce Vaca, Ignacio	http://datos.bne.es/resource/XX1074164
Piozzi, Hester Lynch	Piozzi, Hester Lynch	http://datos.bne.es/resource/XX1731790
Platter, Félix	Platter, Félix	http://datos.bne.es/resource/XX1677372
Proudhon, Pierre-Joseph	Proudhon, Pierre Joseph	http://datos.bne.es/resource/XX978219	http://viaf.org/viaf/17228286	http://libris.kb.se/resource/auth/245811	http://www.idref.fr/027083772/id	http://d-nb.info/gnd/118596780	http://dbpedia.org/resource/Pierre-Joseph_Proudhon
Proudhon, P. J.	Proudhon, Pierre Joseph	http://datos.bne.es/resource/XX978219	http://viaf.org/viaf/17228286	http://libris.kb.se/resource/auth/245811	http://www.idref.fr/027083772/id	http://d-nb.info/gnd/118596780	http://dbpedia.org/resource/Pierre-Joseph_Proudhon
Proudhon, Pierre Joseph	Proudhon, Pierre Joseph	http://datos.bne.es/resource/XX978219	http://viaf.org/viaf/17228286	http://libris.kb.se/resource/auth/245811	http://www.idref.fr/027083772/id	http://d-nb.info/gnd/118596780	http://dbpedia.org/resource/Pierre-Joseph_Proudhon
Pacheco	Pacheco	http://datos.bne.es/resource/XX1525949
Páez, José Antonio	Páez, José Antonio	http://datos.bne.es/resource/XX1015759	http://viaf.org/viaf/65251755	http://www.idref.fr/033101280/id	http://dbpedia.org/resource/Jos%C3%A9_Antonio_P%C3%A1ez
Páez Herrera, José Antonio	Páez, José Antonio	http://datos.bne.es/resource/XX1015759	http://viaf.org/viaf/65251755	http://www.idref.fr/033101280/id	http://dbpedia.org/resource/Jos%C3%A9_Antonio_P%C3%A1ez
Perales Bazo, Francisco	Perales Bazo, Francisco	http://datos.bne.es/resource/XX1065317	http://viaf.org/viaf/86681316	http://viaf.org/viaf/37108736
Perales, Francisco	Perales Bazo, Francisco	http://datos.bne.es/resource/XX1065317	http://viaf.org/viaf/86681316	http://viaf.org/viaf/37108736
Pseudo Metodio	Pseudo Metodio	http://datos.bne.es/resource/XX1372315
Metodio, Pseudo	Pseudo Metodio	http://datos.bne.es/resource/XX1372315
Pumar Vázquez, José	Pumar Vázquez, José	http://datos.bne.es/resource/XX1069589	http://viaf.org/viaf/23776864
Pola, Emilio	Pola, Emilio	http://datos.bne.es/resource/XX1073528
