Ramos García, María Teresa	Ramos García, María Teresa	http://datos.bne.es/resource/XX1082467
Rochette, Désiré Raoul	Rochette, Désiré Raoul	http://datos.bne.es/resource/XX1410638
Raoul Rochette	Rochette, Désiré Raoul	http://datos.bne.es/resource/XX1410638
Raoul-Rochette	Rochette, Désiré Raoul	http://datos.bne.es/resource/XX1410638
Rochette, Désiré-Raoul	Rochette, Désiré Raoul	http://datos.bne.es/resource/XX1410638
Rochette, Raoul	Rochette, Désiré Raoul	http://datos.bne.es/resource/XX1410638
Rozental', Ditmar Él'iashevich	Rozental' , Ditmar Él' iashevich	http://datos.bne.es/resource/XX914991	http://viaf.org/viaf/46874572	http://d-nb.info/gnd/103265848	http://dbpedia.org/resource/Dietmar_Rosenthal
Rozental', D. É.	Rozental' , Ditmar Él' iashevich	http://datos.bne.es/resource/XX914991	http://viaf.org/viaf/46874572	http://d-nb.info/gnd/103265848	http://dbpedia.org/resource/Dietmar_Rosenthal
Roz, Víctor	Roz, Víctor	http://datos.bne.es/resource/XX1134445	http://viaf.org/viaf/77935263
Rodríguez Cortés, Victoriano	Roz, Víctor	http://datos.bne.es/resource/XX1134445	http://viaf.org/viaf/77935263
Rodríguez Cortés, Victorino	Roz, Víctor	http://datos.bne.es/resource/XX1134445	http://viaf.org/viaf/77935263
Rojas, Alvaro	Rojas, Alvaro	http://datos.bne.es/resource/XX1321698
Raoul	Raoul	http://datos.bne.es/resource/XX1410634
Ruiz Ballesteros, Carlos	Ruiz Ballesteros, Carlos	http://datos.bne.es/resource/XX1101515
Reichholf, Josef	Reichholf, Josef	http://datos.bne.es/resource/XX1084868	http://viaf.org/viaf/51710435	http://d-nb.info/gnd/11549720X	http://libris.kb.se/resource/auth/332706	http://www.idref.fr/028811380/id
Reichholf, Josef H.	Reichholf, Josef	http://datos.bne.es/resource/XX1084868	http://viaf.org/viaf/51710435	http://d-nb.info/gnd/11549720X	http://libris.kb.se/resource/auth/332706	http://www.idref.fr/028811380/id
Ruiz Iturregui, José María	Ruiz Iturregui, José María	http://datos.bne.es/resource/XX1035670	http://viaf.org/viaf/67748439
Rosquellas i Gil, Joan	Rosquellas i Gil, Joan	http://datos.bne.es/resource/XX1107446	http://viaf.org/viaf/86787403
Rosquellas, Joan	Rosquellas i Gil, Joan	http://datos.bne.es/resource/XX1107446	http://viaf.org/viaf/86787403
Reichholf-Riehm, Helgard	Reichholf Riehm, Helgard	http://datos.bne.es/resource/XX1084869
Robledo	Robledo	http://datos.bne.es/resource/XX1622877
Reig, Ramón	Reig, Ramón	http://datos.bne.es/resource/XX1343507	http://viaf.org/viaf/44450607
