Scarron, Paul	Scarron, Paul	http://datos.bne.es/resource/XX1114231
Scarry, Patsy	Scarry, Patsy	http://datos.bne.es/resource/XX1114234
Salber, Wilhelm	Salber, Wilhelm	http://datos.bne.es/resource/XX999514	http://viaf.org/viaf/59249811	http://d-nb.info/gnd/119127768	http://viaf.org/viaf/264360788
Salber, W.	Salber, Wilhelm	http://datos.bne.es/resource/XX999514	http://viaf.org/viaf/59249811	http://d-nb.info/gnd/119127768	http://viaf.org/viaf/264360788
Simone, Franco	Simone, Franco	http://datos.bne.es/resource/XX987849	http://viaf.org/viaf/79110620	http://d-nb.info/gnd/12450602X	http://viaf.org/viaf/173004752
Siret, Pierre-Louis	Siret, Pierre Louis	http://datos.bne.es/resource/XX1441809
Siret, Louis Pierre	Siret, Pierre Louis	http://datos.bne.es/resource/XX1441809
Siret, Louis-Pierre	Siret, Pierre Louis	http://datos.bne.es/resource/XX1441809
Siret, Pierre Louis	Siret, Pierre Louis	http://datos.bne.es/resource/XX1441809
Sabatier, Raphaël Bienvenu	Sabatier, Raphaël Bienvenu	http://datos.bne.es/resource/XX1748191
Salcedo Hierro, Miguel	Salcedo Hierro, Miguel	http://datos.bne.es/resource/XX1054795	http://viaf.org/viaf/5560660	http://d-nb.info/gnd/111661897
Sanz García, José María	Sanz García, José María	http://datos.bne.es/resource/XX864727	http://viaf.org/viaf/51275977
Seriol	Seriol	http://datos.bne.es/resource/XX5533490
San Romualdo, Fernando	San Romualdo, Fernando	http://datos.bne.es/resource/XX1054793
Sáinz, Montserrat	Sáinz, Montserrat	http://datos.bne.es/resource/XX1639282
Sabirov, Jaris	Sabirov, Jaris	http://datos.bne.es/resource/XX1127746	http://viaf.org/viaf/100914883
Sabirov, J.	Sabirov, Jaris	http://datos.bne.es/resource/XX1127746	http://viaf.org/viaf/100914883
Sabirov, Kharis	Sabirov, Jaris	http://datos.bne.es/resource/XX1127746	http://viaf.org/viaf/100914883
Scheiner, Christoph	Scheiner, Christoph	http://datos.bne.es/resource/XX1756350
Sturm, Leonhard Christoph	Sturm, Leonhard Christoph	http://datos.bne.es/resource/XX1756352
Schelwig, Samuel	Schelwig, Samuel	http://datos.bne.es/resource/XX1756353
Schelhammer, Günther Christoph	Schelhammer, Günther Christoph	http://datos.bne.es/resource/XX1756354
Salvador y Gilaberte, Francisco	Salvador y Gilaberte, Francisco	http://datos.bne.es/resource/XX1748843	http://viaf.org/viaf/87530208
Gilaberte, Francisco Salvador	Salvador y Gilaberte, Francisco	http://datos.bne.es/resource/XX1748843	http://viaf.org/viaf/87530208
Salvador y Gilabert, Francisco	Salvador y Gilaberte, Francisco	http://datos.bne.es/resource/XX1748843	http://viaf.org/viaf/87530208
Salvador y Gilaverte, Francisco	Salvador y Gilaberte, Francisco	http://datos.bne.es/resource/XX1748843	http://viaf.org/viaf/87530208
Slavador Gilaberti, Francisco	Salvador y Gilaberte, Francisco	http://datos.bne.es/resource/XX1748843	http://viaf.org/viaf/87530208
Navarro, Juan Francisco	Salvador y Gilaberte, Francisco	http://datos.bne.es/resource/XX1748843	http://viaf.org/viaf/87530208
Salvador Gilaberte, Francisco	Salvador y Gilaberte, Francisco	http://datos.bne.es/resource/XX1748843	http://viaf.org/viaf/87530208
Secondat, Jean-Baptiste,	Secondat, Jean Baptiste,	http://datos.bne.es/resource/XX1752688
Secondat, Jean Baptiste,	Secondat, Jean Baptiste,	http://datos.bne.es/resource/XX1752688
Souto González, Xosé M.	Souto González, Xosé M.	http://datos.bne.es/resource/XX872591	http://viaf.org/viaf/60758324	http://d-nb.info/gnd/142205729
Souto, Xosé M.	Souto González, Xosé M.	http://datos.bne.es/resource/XX872591	http://viaf.org/viaf/60758324	http://d-nb.info/gnd/142205729
Souto, Xosé Manuel	Souto González, Xosé M.	http://datos.bne.es/resource/XX872591	http://viaf.org/viaf/60758324	http://d-nb.info/gnd/142205729
Souto González, José Manuel	Souto González, Xosé M.	http://datos.bne.es/resource/XX872591	http://viaf.org/viaf/60758324	http://d-nb.info/gnd/142205729
Souto González, X. M.	Souto González, Xosé M.	http://datos.bne.es/resource/XX872591	http://viaf.org/viaf/60758324	http://d-nb.info/gnd/142205729
Souto González, Xosé Manuel	Souto González, Xosé M.	http://datos.bne.es/resource/XX872591	http://viaf.org/viaf/60758324	http://d-nb.info/gnd/142205729
Schelhorn, Johann Georg	Schelhorn, Johann Georg	http://datos.bne.es/resource/XX1756355
Schelius, Rabodus Hermannus	Schelius, Rabodus Hermannus	http://datos.bne.es/resource/XX1756356
Schellendorff, Georg Melchior de	Schellendorff, Georg Melchior de	http://datos.bne.es/resource/XX1756357
Scheller, Immanuel Johann Gerhard	Scheller, Immanuel Johann Gerhard	http://datos.bne.es/resource/XX1756358
Schemlinck , Liborius	Schemlinck , Liborius	http://datos.bne.es/resource/XX1756359
Sorbait, Paul de	Sorbait, Paul de	http://datos.bne.es/resource/XX1755225
Sorbait, Paulus de	Sorbait, Paul de	http://datos.bne.es/resource/XX1755225
Sampere, Juan	Sampere, Juan	http://datos.bne.es/resource/XX1090820
Salas, Luis	Salas, Luis	http://datos.bne.es/resource/XX1748849
Salas, Luigi	Salas, Luis	http://datos.bne.es/resource/XX1748849
Schertzinger, Victor	Schertzinger, Victor	http://datos.bne.es/resource/XX912022	http://viaf.org/viaf/100257041	http://viaf.org/viaf/107016016
Schertzinger, V.	Schertzinger, Victor	http://datos.bne.es/resource/XX912022	http://viaf.org/viaf/100257041	http://viaf.org/viaf/107016016
Siret, Charles Joseph	Siret, Charles Joseph	http://datos.bne.es/resource/XX1441811
Seoane Prado, Rafael	Seoane Prado, Rafael	http://datos.bne.es/resource/XX1043360	http://viaf.org/viaf/86626799
Santiago, Elena	Santiago, Elena	http://datos.bne.es/resource/XX1105315	http://viaf.org/viaf/6199409
Fernández, Elena	Santiago, Elena	http://datos.bne.es/resource/XX1105315	http://viaf.org/viaf/6199409
Sánchez Vicente, Xuan Xosé	Sánchez Vicente, Xuan Xosé	http://datos.bne.es/resource/XX1093709	http://viaf.org/viaf/66512770	http://d-nb.info/gnd/142850136
Sánchez, Xuan Xosé	Sánchez Vicente, Xuan Xosé	http://datos.bne.es/resource/XX1093709	http://viaf.org/viaf/66512770	http://d-nb.info/gnd/142850136
Santos Cabrera, Juan José	Santos Cabrera, Juan José	http://datos.bne.es/resource/XX1005535	http://viaf.org/viaf/72285954	http://d-nb.info/gnd/122850343
Santos, Juan José	Santos Cabrera, Juan José	http://datos.bne.es/resource/XX1005535	http://viaf.org/viaf/72285954	http://d-nb.info/gnd/122850343
Saba, Raúl P.	Saba, Raúl P.	http://datos.bne.es/resource/XX973615	http://viaf.org/viaf/55636844
Seixo, Maria Alzira	Seixo, Maria Alzira	http://datos.bne.es/resource/XX1060258	http://viaf.org/viaf/32020099	http://libris.kb.se/resource/auth/322577	http://www.idref.fr/029018390/id
Scherbius, Philippus	Scherbius, Philippus	http://datos.bne.es/resource/XX1756363
Schepper, Jean de	Schepper, Jean de	http://datos.bne.es/resource/XX1756362
Semple, Hugh	Semple, Hugh	http://datos.bne.es/resource/XX1436843
Sempilius, Hugo	Semple, Hugh	http://datos.bne.es/resource/XX1436843
Semple, Hugo	Semple, Hugh	http://datos.bne.es/resource/XX1436843
Soroa, Manuel	Soroa, Manuel	http://datos.bne.es/resource/XX1568552
Salazar, Juan	Salazar, Juan	http://datos.bne.es/resource/XX1054785	http://viaf.org/viaf/86654815
Salazar Salazar, Juan	Salazar, Juan	http://datos.bne.es/resource/XX1054785	http://viaf.org/viaf/86654815
Salazar Silva, Juan	Salazar, Juan	http://datos.bne.es/resource/XX1054785	http://viaf.org/viaf/86654815
Schenck von Grafenberg, Johannes	Schenck von Grafenberg, Johannes	http://datos.bne.es/resource/XX1756361
Schenck, Johann Georg	Schenck, Johann Georg	http://datos.bne.es/resource/XX1756360
Schertzer, Johann Adam	Schertzer, Johann Adam	http://datos.bne.es/resource/XX1756366
