Tatham, William	Tatham, William	http://datos.bne.es/resource/XX1764192
Tubía Rodríguez, Teresa	Tubía Rodríguez, Teresa	http://datos.bne.es/resource/XX1141768
Thayer, John Adams	Thayer, John Adams	http://datos.bne.es/resource/XX1114230
Tatischeff, P. de	Tatischeff, P. de	http://datos.bne.es/resource/XX1764193
Thomas, Américo	Thomas, Américo	http://datos.bne.es/resource/XX1383119
Taube, Lebrecht Ehregott	Taube, Lebrecht Ehregott	http://datos.bne.es/resource/XX1764194
Torres Marín, Manuel	Torres Marín, Manuel	http://datos.bne.es/resource/XX1139567
Taubman, Nathaniel	Taubman, Nathaniel	http://datos.bne.es/resource/XX1764195
Tejada Castillo, Ramón	Tejada Castillo, Ramón	http://datos.bne.es/resource/XX1134443
Torres Santana, Elisa	Torres Santana, Elisa	http://datos.bne.es/resource/XX1038534	http://viaf.org/viaf/34464841
Tuero Caicoya, Eladio	Tuero Caicoya, Eladio	http://datos.bne.es/resource/XX1054790	http://viaf.org/viaf/86654843
Tuero Caicoya, José Eladio	Tuero Caicoya, Eladio	http://datos.bne.es/resource/XX1054790	http://viaf.org/viaf/86654843
Tassoni, Giovanni Domenico	Tassoni, Giovanni Domenico	http://datos.bne.es/resource/XX1764190
Tomillo Mulero, Francisco	Tomillo Mulero, Francisco	http://datos.bne.es/resource/XX1120533	http://viaf.org/viaf/86819946
Tomillo, Francisco	Tomillo Mulero, Francisco	http://datos.bne.es/resource/XX1120533	http://viaf.org/viaf/86819946
Trellera, Juan de	Trellera, Juan de	http://datos.bne.es/resource/XX1140639
Tata, Domenico	Tata, Domenico	http://datos.bne.es/resource/XX1764191
Truglio de Farina, Lía Ruth	Truglio de Farina, Lía Ruth	http://datos.bne.es/resource/XX1397918
Torregrosa, Rafael	Torregrosa, Rafael	http://datos.bne.es/resource/XX880634	http://viaf.org/viaf/87751750
Torregrosa	Torregrosa, Rafael	http://datos.bne.es/resource/XX880634	http://viaf.org/viaf/87751750
Refalá	Torregrosa, Rafael	http://datos.bne.es/resource/XX880634	http://viaf.org/viaf/87751750
Torregrosa Peñalba, Rafael	Torregrosa, Rafael	http://datos.bne.es/resource/XX880634	http://viaf.org/viaf/87751750
Ticozzi, Stefano	Ticozzi, Stefano	http://datos.bne.es/resource/XX951087	http://dbpedia.org/resource/Stefano_Ticozzi	http://viaf.org/viaf/34565719	http://d-nb.info/gnd/132422913
Ticozzi, S.	Ticozzi, Stefano	http://datos.bne.es/resource/XX951087	http://dbpedia.org/resource/Stefano_Ticozzi	http://viaf.org/viaf/34565719	http://d-nb.info/gnd/132422913
Taibo, Xoán Ignacio	Taibo, Xoán Ignacio	http://datos.bne.es/resource/XX1073542	http://viaf.org/viaf/62971162
Taibo, Nacho	Taibo, Xoán Ignacio	http://datos.bne.es/resource/XX1073542	http://viaf.org/viaf/62971162
Taibo, X. I.	Taibo, Xoán Ignacio	http://datos.bne.es/resource/XX1073542	http://viaf.org/viaf/62971162
Taibo Arias, Xoán Ignacio	Taibo, Xoán Ignacio	http://datos.bne.es/resource/XX1073542	http://viaf.org/viaf/62971162
Torgal, Luís Reis	Torgal, Luís Reis	http://datos.bne.es/resource/XX5207578	http://viaf.org/viaf/14765088
Torgal, Luis Manuel Reis	Torgal, Luís Reis	http://datos.bne.es/resource/XX5207578	http://viaf.org/viaf/14765088
Reis Torgal, Luís	Torgal, Luís Reis	http://datos.bne.es/resource/XX5207578	http://viaf.org/viaf/14765088
Reis Torgal, Luís Manuel	Torgal, Luís Reis	http://datos.bne.es/resource/XX5207578	http://viaf.org/viaf/14765088
Tejada, Nicasio	Tejada, Nicasio	http://datos.bne.es/resource/XX863603	http://viaf.org/viaf/87710602
Tejada, N.	Tejada, Nicasio	http://datos.bne.es/resource/XX863603	http://viaf.org/viaf/87710602
Tejada Ramírez, Nicasio	Tejada, Nicasio	http://datos.bne.es/resource/XX863603	http://viaf.org/viaf/87710602
Maestro Tejada	Tejada, Nicasio	http://datos.bne.es/resource/XX863603	http://viaf.org/viaf/87710602
Thomas-Doménech, J. M.	Thomas Doménech, J. M.	http://datos.bne.es/resource/XX1092179	http://viaf.org/viaf/4530658	http://viaf.org/viaf/264710767
Thomas, J. M.	Thomas Doménech, J. M.	http://datos.bne.es/resource/XX1092179	http://viaf.org/viaf/4530658	http://viaf.org/viaf/264710767
Thomas, Jose Maria	Thomas Doménech, J. M.	http://datos.bne.es/resource/XX1092179	http://viaf.org/viaf/4530658	http://viaf.org/viaf/264710767
Thomas Domenech, José María	Thomas Doménech, J. M.	http://datos.bne.es/resource/XX1092179	http://viaf.org/viaf/4530658	http://viaf.org/viaf/264710767
Thomas-Doménech, José María	Thomas Doménech, J. M.	http://datos.bne.es/resource/XX1092179	http://viaf.org/viaf/4530658	http://viaf.org/viaf/264710767
Tarsky, Sue	Tarsky, Sue	http://datos.bne.es/resource/XX913559	http://viaf.org/viaf/62101209	http://d-nb.info/gnd/108752453
Tarin Sabater, Julio	Tarin Sabater, Julio	http://datos.bne.es/resource/XX1528453
Taylor, Tony	Taylor, Tony	http://datos.bne.es/resource/XX1631172
Taurellus, Nicolaus	Taurellus, Nicolaus	http://datos.bne.es/resource/XX1764197
Taulés, Jean de	Taulés, Jean de	http://datos.bne.es/resource/XX1764196
Tauvry, Daniel	Tauvry, Daniel	http://datos.bne.es/resource/XX1764199
Tauringa, José	Tauringa, José	http://datos.bne.es/resource/XX1764198
Tamayo-Acosta, Juan José	Tamayo Acosta, Juan José	http://datos.bne.es/resource/XX931367	http://dbpedia.org/resource/Juan_Jos%C3%A9_Tamayo	http://viaf.org/viaf/64050370	http://d-nb.info/gnd/140805192
Tamayo Acosta, Juan José	Tamayo Acosta, Juan José	http://datos.bne.es/resource/XX931367	http://dbpedia.org/resource/Juan_Jos%C3%A9_Tamayo	http://viaf.org/viaf/64050370	http://d-nb.info/gnd/140805192
Tamayo, J. J.	Tamayo Acosta, Juan José	http://datos.bne.es/resource/XX931367	http://dbpedia.org/resource/Juan_Jos%C3%A9_Tamayo	http://viaf.org/viaf/64050370	http://d-nb.info/gnd/140805192
Tamayo, Juan J.	Tamayo Acosta, Juan José	http://datos.bne.es/resource/XX931367	http://dbpedia.org/resource/Juan_Jos%C3%A9_Tamayo	http://viaf.org/viaf/64050370	http://d-nb.info/gnd/140805192
Tamayo, Juan José	Tamayo Acosta, Juan José	http://datos.bne.es/resource/XX931367	http://dbpedia.org/resource/Juan_Jos%C3%A9_Tamayo	http://viaf.org/viaf/64050370	http://d-nb.info/gnd/140805192
Tamayo, Juan-José	Tamayo Acosta, Juan José	http://datos.bne.es/resource/XX931367	http://dbpedia.org/resource/Juan_Jos%C3%A9_Tamayo	http://viaf.org/viaf/64050370	http://d-nb.info/gnd/140805192
Tamayo-Acosta, Juan-José	Tamayo Acosta, Juan José	http://datos.bne.es/resource/XX931367	http://dbpedia.org/resource/Juan_Jos%C3%A9_Tamayo	http://viaf.org/viaf/64050370	http://d-nb.info/gnd/140805192
Terol, Vicente	Terol, Vicente	http://datos.bne.es/resource/XX1475210	http://viaf.org/viaf/87210619
Thieme, J.	Thieme, J.	http://datos.bne.es/resource/XX1445293
Tompkins, Peter	Tompkins, Peter	http://datos.bne.es/resource/XX1721846	http://viaf.org/viaf/109301161	http://d-nb.info/gnd/10759482X	http://dbpedia.org/resource/Peter_Tompkins
Thieme, Friedrich Eduard	Thieme, Friedrich Eduard	http://datos.bne.es/resource/XX1445290	http://viaf.org/viaf/87191856
Tavera Hernández, Armando	Tavera Hernández, Armando	http://datos.bne.es/resource/XX1568551
Tuya de Maeso, Leila C.	Tuya de Maeso, Leila C.	http://datos.bne.es/resource/XX913549	http://viaf.org/viaf/43117343
Tavera, Susanna	Tavera, Susanna	http://datos.bne.es/resource/XX903228	http://viaf.org/viaf/44368469
Tavera García, Susana	Tavera, Susanna	http://datos.bne.es/resource/XX903228	http://viaf.org/viaf/44368469
Tavera i García, Susanna	Tavera, Susanna	http://datos.bne.es/resource/XX903228	http://viaf.org/viaf/44368469
Talaga, Jerzy	Talaga, Jerzy	http://datos.bne.es/resource/XX1132792
Todd, Christopher	Todd, Christopher	http://datos.bne.es/resource/XX1137311
Torres Latorre, Ana María de	Torres Latorre, Ana María de	http://datos.bne.es/resource/XX1139543
Tonelli, Armando	Tonelli, Armando	http://datos.bne.es/resource/XX1454408
Torres Leal, Agustín	Torres Leal, Agustín	http://datos.bne.es/resource/XX1139544
Tárraga, Luis	Tárraga, Luis	http://datos.bne.es/resource/XX1113163	http://viaf.org/viaf/86803962
Tarraga Enamorado, Luis	Tárraga, Luis	http://datos.bne.es/resource/XX1113163	http://viaf.org/viaf/86803962
Telotte, J. P.	Telotte, J. P.	http://datos.bne.es/resource/XX1129199	http://viaf.org/viaf/112380581	http://d-nb.info/gnd/136539238	http://viaf.org/viaf/49505755
Takata, Yas	Takata, Yas	http://datos.bne.es/resource/XX1663111
Tassara, José María	Tassara, José María	http://datos.bne.es/resource/XX1396263
Terrier, Auguste	Terrier, Auguste	http://datos.bne.es/resource/XX1201328
Todd, James Campbell	Todd, James Campbell	http://datos.bne.es/resource/XX1137317
Torre Villar, Ernesto de la	Torre Villar, Ernesto de la	http://datos.bne.es/resource/XX1101538	http://viaf.org/viaf/80603895	http://d-nb.info/gnd/136221149
Torre, Ernesto de la	Torre Villar, Ernesto de la	http://datos.bne.es/resource/XX1101538	http://viaf.org/viaf/80603895	http://d-nb.info/gnd/136221149
Tamayo, Rufino	Tamayo, Rufino	http://datos.bne.es/resource/XX1074969	http://viaf.org/viaf/110698152	http://d-nb.info/gnd/118812122	http://dbpedia.org/resource/Rufino_Tamayo
Tamayo	Tamayo, Rufino	http://datos.bne.es/resource/XX1074969	http://viaf.org/viaf/110698152	http://d-nb.info/gnd/118812122	http://dbpedia.org/resource/Rufino_Tamayo
Torelli, Giuseppe	Torelli, Giuseppe	http://datos.bne.es/resource/XX1430045	http://viaf.org/viaf/37103591	http://d-nb.info/gnd/118802550	http://libris.kb.se/resource/auth/211989	http://dbpedia.org/resource/Giuseppe_Torelli
Toker, Eliahu	Toker, Eliahu	http://datos.bne.es/resource/XX1399279
