Ugalde, Federico de	Ugalde, Federico de	http://datos.bne.es/resource/XX896014
Uribe Cualla, Guillermo	Uribe Cualla, Guillermo	http://datos.bne.es/resource/XX1395783
Ubeda, Joxi	Ubeda, Joxi	http://datos.bne.es/resource/XX1792782
Ulítskaya, Liudmila	Ulítskaya, Liudmila	http://datos.bne.es/resource/XX1792257
Ulitskaia, Liudmila	Ulítskaya, Liudmila	http://datos.bne.es/resource/XX1792257
Ulitskaia, Ludmila	Ulítskaya, Liudmila	http://datos.bne.es/resource/XX1792257
Ulítskaya, Ludmila	Ulítskaya, Liudmila	http://datos.bne.es/resource/XX1792257
Улицкая, Людмила Евгеньевна	Ulítskaya, Liudmila	http://datos.bne.es/resource/XX1792257
Ulibarri Ossés, Iñigo	Ulibarri Ossés, Iñigo	http://datos.bne.es/resource/XX1594565
Ungría, Alfonso	Ungría, Alfonso	http://datos.bne.es/resource/XX1043357	http://viaf.org/viaf/86626781
Uroz Rodríguez, Héctor	Uroz Rodríguez, Héctor	http://datos.bne.es/resource/XX1797195
Urretavizcaya, Arantxa	Urretavizcaya, Arantxa	http://datos.bne.es/resource/XX1044863	http://viaf.org/viaf/75120362	http://d-nb.info/gnd/142157554	http://dbpedia.org/resource/Arantxa_Urretabizkaia
Urretabizkaia, Arantxa	Urretavizcaya, Arantxa	http://datos.bne.es/resource/XX1044863	http://viaf.org/viaf/75120362	http://d-nb.info/gnd/142157554	http://dbpedia.org/resource/Arantxa_Urretabizkaia
Urretabizkaia Bejarano, Arantxa	Urretavizcaya, Arantxa	http://datos.bne.es/resource/XX1044863	http://viaf.org/viaf/75120362	http://d-nb.info/gnd/142157554	http://dbpedia.org/resource/Arantxa_Urretabizkaia
Urretavizcaya, Aranzazu	Urretavizcaya, Arantxa	http://datos.bne.es/resource/XX1044863	http://viaf.org/viaf/75120362	http://d-nb.info/gnd/142157554	http://dbpedia.org/resource/Arantxa_Urretabizkaia
Un Cautivo, rescatado en esta redempcion	Un Cautivo, rescatado en esta redempcion	http://datos.bne.es/resource/XX1772715
Umar ibn Farkhan Al-Tabari	Umar ibn Farkhan Al Tabari	http://datos.bne.es/resource/XX821018	http://viaf.org/viaf/87606960
Ibn Farrujan al-Tabari, Omar	Umar ibn Farkhan Al Tabari	http://datos.bne.es/resource/XX821018	http://viaf.org/viaf/87606960
Omar ibn Farrujan al-Tabari	Umar ibn Farkhan Al Tabari	http://datos.bne.es/resource/XX821018	http://viaf.org/viaf/87606960
Urzelai Inza, Aitor	Urzelai Inza, Aitor	http://datos.bne.es/resource/XX1772719	http://viaf.org/viaf/244406507
Urzelai, Aitor	Urzelai Inza, Aitor	http://datos.bne.es/resource/XX1772719	http://viaf.org/viaf/244406507
Urra Olazabal, Manuela	Urra Olazabal, Manuela	http://datos.bne.es/resource/XX1461054
Ullastres, Alberto	Ullastres, Alberto	http://datos.bne.es/resource/XX829904	http://dbpedia.org/resource/Alberto_Ullastres	http://viaf.org/viaf/87631893
Ullastres Calvo, Alberto	Ullastres, Alberto	http://datos.bne.es/resource/XX829904	http://dbpedia.org/resource/Alberto_Ullastres	http://viaf.org/viaf/87631893
Urrizola Hualde, Ricardo	Urrizola Hualde, Ricardo	http://datos.bne.es/resource/XX1791647
Urrizola, Ricardo	Urrizola Hualde, Ricardo	http://datos.bne.es/resource/XX1791647
Ungerer, Herbert	Ungerer, Herbert	http://datos.bne.es/resource/XX1002172	http://viaf.org/viaf/54173436
Uría, Juan Ignacio de	Uría, Juan Ignacio de	http://datos.bne.es/resource/XX933228	http://viaf.org/viaf/87881071
Urtiaga	Urtiaga	http://datos.bne.es/resource/XX4729747
Uccello, Paolo	Uccello, Paolo	http://datos.bne.es/resource/XX1663911	http://dbpedia.org/resource/Paolo_Uccello	http://viaf.org/viaf/39395712	http://www.idref.fr/028689178/id	http://d-nb.info/gnd/118763350
Ubbiali, Lucia	Ubbiali, Lucia	http://datos.bne.es/resource/XX1146961
Urpina, Fanny	Urpina, Fanny	http://datos.bne.es/resource/XX1046016	http://viaf.org/viaf/86633429
Urpina i Fontanet, Fanny	Urpina, Fanny	http://datos.bne.es/resource/XX1046016	http://viaf.org/viaf/86633429
Urbina, Dionisio	Urbina, Dionisio	http://datos.bne.es/resource/XX1186574	http://viaf.org/viaf/86957852
