Vermiglioli, Giovanni Maria	Vermiglioli, Giovanni Maria	http://datos.bne.es/resource/XX1765240
Vizuete, Eugenio	Vizuete, Eugenio	http://datos.bne.es/resource/XX1417026	http://viaf.org/viaf/87175843
Vallés Iranzo, Juan	Vallés Iranzo, Juan	http://datos.bne.es/resource/XX1472998
Varona García, María Antonia	Varona García, María Antonia	http://datos.bne.es/resource/XX1147555	http://viaf.org/viaf/66521825
Vázquez de Rivera, Margarita	Vázquez de Rivera, Margarita	http://datos.bne.es/resource/XX1475222
Vallés Jaumandreu, Francisco	Vallés Jaumandreu, Francisco	http://datos.bne.es/resource/XX1472999
Vázquez Rodríguez, A.	Vázquez Rodríguez, A.	http://datos.bne.es/resource/XX1475223
Varela, Manuel	Varela, Manuel	http://datos.bne.es/resource/XX836704	http://viaf.org/viaf/39475532
Varela Parache, Manuel	Varela, Manuel	http://datos.bne.es/resource/XX836704	http://viaf.org/viaf/39475532
Vico, Giambattista	Vico, Giambattista	http://datos.bne.es/resource/XX1642546	http://viaf.org/viaf/59090329	http://d-nb.info/gnd/118626833	http://libris.kb.se/resource/auth/200298	http://www.idref.fr/027183890/id	http://dbpedia.org/resource/Giambattista_Vico
Vicus, Johannes Baptista	Vico, Giambattista	http://datos.bne.es/resource/XX1642546	http://viaf.org/viaf/59090329	http://d-nb.info/gnd/118626833	http://libris.kb.se/resource/auth/200298	http://www.idref.fr/027183890/id	http://dbpedia.org/resource/Giambattista_Vico
Vázquez Ruiz, Julián	Vázquez Ruiz, Julián	http://datos.bne.es/resource/XX1475228
Vicente, Gil	Vicente, Gil	http://datos.bne.es/resource/XX1640342	http://viaf.org/viaf/9854778	http://d-nb.info/gnd/118804383	http://www.idref.fr/086455087/id	http://libris.kb.se/resource/auth/99698	http://dbpedia.org/resource/Gil_Vicente
Villaviciosa, Sebastián de	Villaviciosa, Sebastián de	http://datos.bne.es/resource/XX1148110	http://viaf.org/viaf/73876966	http://d-nb.info/gnd/102224919
Mora de Villaviciosa, Sebastián	Villaviciosa, Sebastián de	http://datos.bne.es/resource/XX1148110	http://viaf.org/viaf/73876966	http://d-nb.info/gnd/102224919
Rodríguez de Villaviciosa, Sebastián	Villaviciosa, Sebastián de	http://datos.bne.es/resource/XX1148110	http://viaf.org/viaf/73876966	http://d-nb.info/gnd/102224919
Valladares, Armando	Valladares, Armando	http://datos.bne.es/resource/XX1054797	http://dbpedia.org/resource/Armando_Valladares	http://viaf.org/viaf/67105267	http://d-nb.info/gnd/111970733
Valladares, Armando F.	Valladares, Armando	http://datos.bne.es/resource/XX1054797	http://dbpedia.org/resource/Armando_Valladares	http://viaf.org/viaf/67105267	http://d-nb.info/gnd/111970733
Valdés, Antonio María	Valdés, Antonio María	http://datos.bne.es/resource/XX941797	http://viaf.org/viaf/87905083
Aneroyde	Valdés, Antonio María	http://datos.bne.es/resource/XX941797	http://viaf.org/viaf/87905083
Valdés-Busto y Arias-Carvajal, Antonio María	Valdés, Antonio María	http://datos.bne.es/resource/XX941797	http://viaf.org/viaf/87905083
Valverde, José Luis	Valverde, José Luis	http://datos.bne.es/resource/XX1060273	http://viaf.org/viaf/14949241
Valverde, José-Luis	Valverde, José Luis	http://datos.bne.es/resource/XX1060273	http://viaf.org/viaf/14949241
Valverde López, J. L.	Valverde, José Luis	http://datos.bne.es/resource/XX1060273	http://viaf.org/viaf/14949241
Valverde López, José Luis	Valverde, José Luis	http://datos.bne.es/resource/XX1060273	http://viaf.org/viaf/14949241
Velasco, María Antonia	Velasco, María Antonia	http://datos.bne.es/resource/XX920594	http://viaf.org/viaf/75380366
Velasco Bernal, María Antonia	Velasco, María Antonia	http://datos.bne.es/resource/XX920594	http://viaf.org/viaf/75380366
Vela Monsalve, Carlos	Vela Monsalve, Carlos	http://datos.bne.es/resource/XX1074951	http://viaf.org/viaf/14331382
Vinueza, María Elena	Vinueza, María Elena	http://datos.bne.es/resource/XX1470067
Veronese, David	Veronese, David	http://datos.bne.es/resource/XX1765249
Vegas González, Serafín	Vegas González, Serafín	http://datos.bne.es/resource/XX1074165	http://viaf.org/viaf/35858690
Vegas, Serafín	Vegas González, Serafín	http://datos.bne.es/resource/XX1074165	http://viaf.org/viaf/35858690
Vero, Giovanni Battista	Vero, Giovanni Battista	http://datos.bne.es/resource/XX1765247
Veron, Charles	Veron, Charles	http://datos.bne.es/resource/XX1765248
Vernet, Jacob	Vernet, Jacob	http://datos.bne.es/resource/XX1765245
Villaró, Albert	Villaró, Albert	http://datos.bne.es/resource/XX932869	http://viaf.org/viaf/26274709
Villaró i Boix, Albert	Villaró, Albert	http://datos.bne.es/resource/XX932869	http://viaf.org/viaf/26274709
Villaró Boix, Albert	Villaró, Albert	http://datos.bne.es/resource/XX932869	http://viaf.org/viaf/26274709
Vernier, Théodore,	Vernier, Théodore,	http://datos.bne.es/resource/XX1765246
Verdeguer Monge, Antonio	Verdeguer Monge, Antonio	http://datos.bne.es/resource/XX1082472	http://viaf.org/viaf/36758820
Verneda y Vila, Salvador	Verneda y Vila, Salvador	http://datos.bne.es/resource/XX1765243
Valsecchi, Antonino	Valsecchi, Antonino	http://datos.bne.es/resource/XX1731798
Valsechi, Antonio	Valsecchi, Antonino	http://datos.bne.es/resource/XX1731798
Vogler, Oskar	Vogler, Oskar	http://datos.bne.es/resource/XX1155800
Voisenon, Claude-Henri de Fusée de	Voisenon, Claude Henri de Fusée de	http://datos.bne.es/resource/XX960919	http://viaf.org/viaf/21146	http://libris.kb.se/resource/auth/318297	http://d-nb.info/gnd/100795617	http://dbpedia.org/resource/Claude-Henri_de_Fus%C3%A9e_de_Voisenon
Fusée, Claude-Henri de	Voisenon, Claude Henri de Fusée de	http://datos.bne.es/resource/XX960919	http://viaf.org/viaf/21146	http://libris.kb.se/resource/auth/318297	http://d-nb.info/gnd/100795617	http://dbpedia.org/resource/Claude-Henri_de_Fus%C3%A9e_de_Voisenon
Fuzée, Claude-Henri de	Voisenon, Claude Henri de Fusée de	http://datos.bne.es/resource/XX960919	http://viaf.org/viaf/21146	http://libris.kb.se/resource/auth/318297	http://d-nb.info/gnd/100795617	http://dbpedia.org/resource/Claude-Henri_de_Fus%C3%A9e_de_Voisenon
Voisenon,	Voisenon, Claude Henri de Fusée de	http://datos.bne.es/resource/XX960919	http://viaf.org/viaf/21146	http://libris.kb.se/resource/auth/318297	http://d-nb.info/gnd/100795617	http://dbpedia.org/resource/Claude-Henri_de_Fus%C3%A9e_de_Voisenon
Fuzée, Claude-Henri de,	Voisenon, Claude Henri de Fusée de	http://datos.bne.es/resource/XX960919	http://viaf.org/viaf/21146	http://libris.kb.se/resource/auth/318297	http://d-nb.info/gnd/100795617	http://dbpedia.org/resource/Claude-Henri_de_Fus%C3%A9e_de_Voisenon
Voisenon, Claude Henri de Fuzée,	Voisenon, Claude Henri de Fusée de	http://datos.bne.es/resource/XX960919	http://viaf.org/viaf/21146	http://libris.kb.se/resource/auth/318297	http://d-nb.info/gnd/100795617	http://dbpedia.org/resource/Claude-Henri_de_Fus%C3%A9e_de_Voisenon
Vernet, Jean Jacob	Vernet, Jean Jacob	http://datos.bne.es/resource/XX1765244
Vernal de Salvatierra, Andrés	Vernal de Salvatierra, Andrés	http://datos.bne.es/resource/XX1765241
