Waters, David	Waters, David	http://datos.bne.es/resource/XX1541302
Williams, Basil	Williams, Basil	http://datos.bne.es/resource/XX1723991	http://dbpedia.org/resource/Basil_Williams_(historian)	http://viaf.org/viaf/39464121	http://d-nb.info/gnd/101642741
Wittek, Martin	Wittek, Martin	http://datos.bne.es/resource/XX963346	http://viaf.org/viaf/72198092	http://d-nb.info/gnd/119167115	http://viaf.org/viaf/268703313
Wagenheim, Gaby	Wagenheim, Gaby	http://datos.bne.es/resource/XX1631176	http://viaf.org/viaf/42037975
Warre, William,	Warre, William,	http://datos.bne.es/resource/XX1035678
Westerman, Gerhart Von	Westerman, Gerhart Von	http://datos.bne.es/resource/XX1494569
Wolff, Rudolf	Wolff, Rudolf	http://datos.bne.es/resource/XX1465140
Wells, A. J.	Wells, A. J.	http://datos.bne.es/resource/XX1721855	http://viaf.org/viaf/5011071
Wolpin, Miles D.	Wolpin, Miles D.	http://datos.bne.es/resource/XX1465141
Walker, Eric A.	Walker, Eric A.	http://datos.bne.es/resource/XX1485661
White, Marie-Claude	White, Marie Claude	http://datos.bne.es/resource/XX1408352	http://viaf.org/viaf/87166716
Charlut, Marie-Claude	White, Marie Claude	http://datos.bne.es/resource/XX1408352	http://viaf.org/viaf/87166716
Westermann, Richard	Westermann, Richard	http://datos.bne.es/resource/XX1494575
Wilbrand, Theodor	Wilbrand, Theodor	http://datos.bne.es/resource/XX1495157
Wilbrandt, Robert	Wilbrandt, Robert	http://datos.bne.es/resource/XX1495158
Westermann, M.	Westermann, M.	http://datos.bne.es/resource/XX1494574
Wilbik-Jagusztynowa, Weronika	Wilbik Jagusztynowa, Weronika	http://datos.bne.es/resource/XX1495155
Wisdom, Alice L.	Wisdom, Alice L.	http://datos.bne.es/resource/XX1161132
Wilbois, Joseph	Wilbois, Joseph	http://datos.bne.es/resource/XX1495156
Whitehead, Christiania	Whitehead, Christiania	http://datos.bne.es/resource/XX1800469
Westermarck, R.	Westermarck, R.	http://datos.bne.es/resource/XX1494577
Wilbur, Clarence Martin	Wilbur, Clarence Martin	http://datos.bne.es/resource/XX1495159
Ward, Dorothy	Ward, Dorothy	http://datos.bne.es/resource/XX1742242
Walker, Jadwiga	Walker, Jadwiga	http://datos.bne.es/resource/XX1485669
Walker, J. Jeter	Walker, J. Jeter	http://datos.bne.es/resource/XX1485667
Walker, Hill M.	Walker, Hill M.	http://datos.bne.es/resource/XX1485665
Wilbert-Collins, Elly	Wilbert Collins, Elly	http://datos.bne.es/resource/XX1495153
Walker, Francis A.	Walker, Francis A.	http://datos.bne.es/resource/XX1485664
Wrona, Thomas	Wrona, Thomas	http://datos.bne.es/resource/XX1744825
Westermann	Westermann	http://datos.bne.es/resource/XX1494570
Walker, Ernest	Walker, Ernest	http://datos.bne.es/resource/XX1485663
Widengren, Geo	Widengren, Geo	http://datos.bne.es/resource/XX914996	http://viaf.org/viaf/67665795	http://d-nb.info/gnd/133787060	http://libris.kb.se/resource/auth/202214
Walker, Barbara	Walker, Barbara	http://datos.bne.es/resource/XX1485648
Westheimer, Ruth K.	Westheimer, Ruth K.	http://datos.bne.es/resource/XX1127752	http://dbpedia.org/resource/Ruth_Westheimer	http://viaf.org/viaf/110282054	http://d-nb.info/gnd/11863190X
