Ximenes, Xavier de	Ximenes, Xavier de	http://datos.bne.es/resource/XX1497053
Xifré, José	Xifré, José	http://datos.bne.es/resource/XX1497050	http://viaf.org/viaf/67390387
Xifré Mussach, Josep	Xifré, José	http://datos.bne.es/resource/XX1497050	http://viaf.org/viaf/67390387
Xu, Yamin	Xu, Yamin	http://datos.bne.es/resource/XX1061129
Ximénez, Matteo,	Ximénez, Matteo,	http://datos.bne.es/resource/XX1497057
Ximénez, Alfredo	Ximénez, Alfredo	http://datos.bne.es/resource/XX1497054
Xirau Vayreda, María	Xirau Vayreda, María	http://datos.bne.es/resource/XX821319	http://viaf.org/viaf/87607686
Xirau, M.	Xirau Vayreda, María	http://datos.bne.es/resource/XX821319	http://viaf.org/viaf/87607686
Ximeno, D.	Ximeno, D.	http://datos.bne.es/resource/XX1035544	http://viaf.org/viaf/86609434
Jimeno y Jimeno, Pascual-Domingo	Ximeno, D.	http://datos.bne.es/resource/XX1035544	http://viaf.org/viaf/86609434
Ximeno, Pascual-Domingo	Ximeno, D.	http://datos.bne.es/resource/XX1035544	http://viaf.org/viaf/86609434
Xuriguera, Gérard	Xuriguera, Gérard	http://datos.bne.es/resource/XX1125534	http://viaf.org/viaf/81769561	http://d-nb.info/gnd/137598920
Ximénez, Pedro	Ximénez, Pedro	http://datos.bne.es/resource/XX1497058
Xylanier, Karl August Anton Aloys Josef,	Xylanier, Karl August Anton Aloys Josef,	http://datos.bne.es/resource/XX1497198
Ximénez de Embún y Arbex, Miguel Ángel	Ximénez de Embún y Arbex, Miguel Ángel	http://datos.bne.es/resource/XX1497059	http://viaf.org/viaf/73322726
Ximénez de Embún, Miguel Ángel	Ximénez de Embún y Arbex, Miguel Ángel	http://datos.bne.es/resource/XX1497059	http://viaf.org/viaf/73322726
Xiong, Liang	Xiong, Liang	http://datos.bne.es/resource/XX5485385
Liang, Xiong	Xiong, Liang	http://datos.bne.es/resource/XX5485385
Xampeny Izquierdo, Rafael	Xampeny Izquierdo, Rafael	http://datos.bne.es/resource/XX1393786	http://viaf.org/viaf/87156921
Xuewu, Qiu	Xuewu, Qiu	http://datos.bne.es/resource/XX1497193
Xammar, Eugeni	Xammar, Eugeni	http://datos.bne.es/resource/XX1122021	http://viaf.org/viaf/34675637	http://d-nb.info/gnd/122042794
Xammar, Eugenio	Xammar, Eugeni	http://datos.bne.es/resource/XX1122021	http://viaf.org/viaf/34675637	http://d-nb.info/gnd/122042794
Xaubet i Vilanova, Josep	Xaubet i Vilanova, Josep	http://datos.bne.es/resource/XX1782978
Xuclá, Mauricio Manuel	Xuclá, Mauricio Manuel	http://datos.bne.es/resource/XX1497192
Xucar, J. G.	Xucar, J. G.	http://datos.bne.es/resource/XX1497191
Xoka	Xoka	http://datos.bne.es/resource/XX1497190
Xalbador	Xalbador	http://datos.bne.es/resource/XX1092961	http://viaf.org/viaf/38193256
Aire, Ferdinand	Xalbador	http://datos.bne.es/resource/XX1092961	http://viaf.org/viaf/38193256
Aire, Fernando	Xalbador	http://datos.bne.es/resource/XX1092961	http://viaf.org/viaf/38193256
Aire, Ferrando	Xalbador	http://datos.bne.es/resource/XX1092961	http://viaf.org/viaf/38193256
Ximénez de Embún y Ramonell, Joaquín	Ximénez de Embún y Ramonell, Joaquín	http://datos.bne.es/resource/XX1637701
Xenakis, Iannis	Xenakis, Iannis	http://datos.bne.es/resource/XX989712	http://viaf.org/viaf/14960000	http://d-nb.info/gnd/118771566	http://libris.kb.se/resource/auth/212943	http://www.idref.fr/027200558/id	http://dbpedia.org/resource/Iannis_Xenakis
Xenakis, Jannis	Xenakis, Iannis	http://datos.bne.es/resource/XX989712	http://viaf.org/viaf/14960000	http://d-nb.info/gnd/118771566	http://libris.kb.se/resource/auth/212943	http://www.idref.fr/027200558/id	http://dbpedia.org/resource/Iannis_Xenakis
Xenakis, Yannis	Xenakis, Iannis	http://datos.bne.es/resource/XX989712	http://viaf.org/viaf/14960000	http://d-nb.info/gnd/118771566	http://libris.kb.se/resource/auth/212943	http://www.idref.fr/027200558/id	http://dbpedia.org/resource/Iannis_Xenakis
Xu, Xiaobin	Xu, Xiaobin	http://datos.bne.es/resource/XX4985240	http://viaf.org/viaf/95450536	http://d-nb.info/gnd/138829012
Xynocha, Thomassi	Xynocha, Thomassi	http://datos.bne.es/resource/XX1522725
Ximénez de Zenarbe y Biec, Feliciano	Ximénez de Zenarbe y Biec, Feliciano	http://datos.bne.es/resource/XX1497064
Xiqués y Soler, Magín	Xiqués y Soler, Magín	http://datos.bne.es/resource/XX1497067
Xirau, José	Xirau, José	http://datos.bne.es/resource/XX1497068
Xirau, Thomas	Xirau, Thomas	http://datos.bne.es/resource/XX1497069
Xiao, Hong Chi	Xiao, Hong Chi	http://datos.bne.es/resource/XX5212505
Xirivella Miguel, Rosa	Xirivella Miguel, Rosa	http://datos.bne.es/resource/XX1547874	http://viaf.org/viaf/87276951
Xu, Bing	Xu, Bing	http://datos.bne.es/resource/XX1683060
Xulia María	Xulia María	http://datos.bne.es/resource/XX1776924
Barros Villar, Julia	Xulia María	http://datos.bne.es/resource/XX1776924
Xhano	Xhano	http://datos.bne.es/resource/XX1031970	http://viaf.org/viaf/86599870
Serafini Rodríguez, Luis	Xhano	http://datos.bne.es/resource/XX1031970	http://viaf.org/viaf/86599870
Xavier d'Edimburg	Xavier d' Edimburg	http://datos.bne.es/resource/XX1615966	http://viaf.org/viaf/87353296
Marí Mazarico, Javier	Xavier d' Edimburg	http://datos.bne.es/resource/XX1615966	http://viaf.org/viaf/87353296
Xuclà, Antoni	Xuclà, Antoni	http://datos.bne.es/resource/XX1054403	http://dbpedia.org/resource/Toni_Xucl%C3%A0	http://viaf.org/viaf/86653690
Xuclà, Toni	Xuclà, Antoni	http://datos.bne.es/resource/XX1054403	http://dbpedia.org/resource/Toni_Xucl%C3%A0	http://viaf.org/viaf/86653690
