Yi, Chŏng-myŏng	Yi, Chŏng myŏng	http://datos.bne.es/resource/XX5429518	http://viaf.org/viaf/61338195
Lee, J.-M.	Yi, Chŏng myŏng	http://datos.bne.es/resource/XX5429518	http://viaf.org/viaf/61338195
Lee, Jung-Myung	Yi, Chŏng myŏng	http://datos.bne.es/resource/XX5429518	http://viaf.org/viaf/61338195
Yebra Rovira, Carmen	Yebra Rovira, Carmen	http://datos.bne.es/resource/XX1790534
Young, Edward M.	Young, Edward M.	http://datos.bne.es/resource/XX4712267	http://viaf.org/viaf/171158247	http://viaf.org/viaf/28613911
Young, Edward	Young, Edward M.	http://datos.bne.es/resource/XX4712267	http://viaf.org/viaf/171158247	http://viaf.org/viaf/28613911
Yang, Gene Luen	Yang, Gene Luen	http://datos.bne.es/resource/XX4693711
Yurkievich, Saúl	Yurkievich, Saúl	http://datos.bne.es/resource/XX1134630	http://viaf.org/viaf/59090837	http://d-nb.info/gnd/132786397	http://viaf.org/viaf/263989200
Yun Casalilla, Bartolomé	Yun Casalilla, Bartolomé	http://datos.bne.es/resource/XX1721857	http://viaf.org/viaf/41852597
Yun-Casalilla, Bartolomé	Yun Casalilla, Bartolomé	http://datos.bne.es/resource/XX1721857	http://viaf.org/viaf/41852597
Ytak	Ytak	http://datos.bne.es/resource/XX920597	http://viaf.org/viaf/41897296	http://d-nb.info/gnd/13402723X
Morandeau, Cathy	Ytak	http://datos.bne.es/resource/XX920597	http://viaf.org/viaf/41897296	http://d-nb.info/gnd/13402723X
Yau, Julio	Yau, Julio	http://datos.bne.es/resource/XX1126799	http://viaf.org/viaf/86832648
Yus y Colás, Manuel	Yus y Colás, Manuel	http://datos.bne.es/resource/XX1529240	http://viaf.org/viaf/87252045
Yanes Luque, Amalia	Yanes Luque, Amalia	http://datos.bne.es/resource/XX1018339	http://viaf.org/viaf/48424965
Yang, Jwing-Ming	Yang, Jwing Ming	http://datos.bne.es/resource/XX1726283	http://dbpedia.org/resource/Jwing-Ming_Yang	http://viaf.org/viaf/19715009	http://www.idref.fr/029960622/id
