Benjamin Faucon	Benjamin Faucon	http://fr.dbpedia.org/resource/Benjamin_Faucon
Bogusław X de Poméranie	Bogusław X de Poméranie	http://fr.dbpedia.org/resource/Bogusław_X_de_Poméranie	http://dbpedia.org/resource/Bogislaw_X,_Duke_of_Pomerania
Boguslaw X de Pomeranie	Bogusław X de Poméranie	http://fr.dbpedia.org/resource/Bogusław_X_de_Poméranie	http://dbpedia.org/resource/Bogislaw_X,_Duke_of_Pomerania
Bogusław X De Poméranie	Bogusław X de Poméranie	http://fr.dbpedia.org/resource/Bogusław_X_de_Poméranie	http://dbpedia.org/resource/Bogislaw_X,_Duke_of_Pomerania
Bogusław X de Pomeranie	Bogusław X de Poméranie	http://fr.dbpedia.org/resource/Bogusław_X_de_Poméranie	http://dbpedia.org/resource/Bogislaw_X,_Duke_of_Pomerania
Bogusław x de poméranie	Bogusław X de Poméranie	http://fr.dbpedia.org/resource/Bogusław_X_de_Poméranie	http://dbpedia.org/resource/Bogislaw_X,_Duke_of_Pomerania
Benjamin Genton	Benjamin Genton	http://fr.dbpedia.org/resource/Benjamin_Genton	http://dbpedia.org/resource/Benjamin_Genton
Bra'tac	Bra' tac	http://fr.dbpedia.org/resource/Bra'tac
Bra’tac	Bra' tac	http://fr.dbpedia.org/resource/Bra'tac
Ben Mansfield	Ben Mansfield	http://fr.dbpedia.org/resource/Ben_Mansfield	http://dbpedia.org/resource/Ben_Mansfield
Béatrice Santais	Béatrice Santais	http://fr.dbpedia.org/resource/Béatrice_Santais
Barry Ferguson	Barry Ferguson	http://fr.dbpedia.org/resource/Barry_Ferguson	http://dbpedia.org/resource/Barry_Ferguson
Bert Trautmann	Bert Trautmann	http://fr.dbpedia.org/resource/Bert_Trautmann	http://dbpedia.org/resource/Bert_Trautmann
Benoît Salmon	Benoît Salmon	http://fr.dbpedia.org/resource/Benoît_Salmon	http://dbpedia.org/resource/Benoît_Salmon
Benoit Salmon	Benoît Salmon	http://fr.dbpedia.org/resource/Benoît_Salmon	http://dbpedia.org/resource/Benoît_Salmon
Brett Pill	Brett Pill	http://fr.dbpedia.org/resource/Brett_Pill	http://dbpedia.org/resource/Brett_Pill
Barnabé Brisson (ingénieur)	Barnabé Brisson (ingénieur)	http://fr.dbpedia.org/resource/Barnabé_Brisson_(ingénieur)
Burkhard Pape	Burkhard Pape	http://fr.dbpedia.org/resource/Burkhard_Pape	http://dbpedia.org/resource/Burkhard_Pape
Björgvin Björgvinsson	Björgvin Björgvinsson	http://fr.dbpedia.org/resource/Björgvin_Björgvinsson	http://dbpedia.org/resource/Björgvin_Björgvinsson
Bjoergvin Bjoergvinsson	Björgvin Björgvinsson	http://fr.dbpedia.org/resource/Björgvin_Björgvinsson	http://dbpedia.org/resource/Björgvin_Björgvinsson
Bill Ranford	Bill Ranford	http://fr.dbpedia.org/resource/Bill_Ranford	http://dbpedia.org/resource/Bill_Ranford
Bart Deelkens	Bart Deelkens	http://fr.dbpedia.org/resource/Bart_Deelkens	http://dbpedia.org/resource/Bart_Deelkens
Bob Geldof	Bob Geldof	http://fr.dbpedia.org/resource/Bob_Geldof	http://dbpedia.org/resource/Bob_Geldof
Benoît Potier	Benoît Potier	http://fr.dbpedia.org/resource/Benoît_Potier	http://dbpedia.org/resource/Benoît_Potier
