François Avril (dessinateur)	François Avril (dessinateur)	http://fr.dbpedia.org/resource/François_Avril_(dessinateur)
François Avril	François Avril (dessinateur)	http://fr.dbpedia.org/resource/François_Avril_(dessinateur)
François avril	François Avril (dessinateur)	http://fr.dbpedia.org/resource/François_Avril_(dessinateur)
Francois Avril	François Avril (dessinateur)	http://fr.dbpedia.org/resource/François_Avril_(dessinateur)
Francine Jeanprêtre	Francine Jeanprêtre	http://fr.dbpedia.org/resource/Francine_Jeanprêtre
François Ier (roi de France)	François Ier (roi de France)	http://fr.dbpedia.org/resource/François_Ier_(roi_de_France)	http://dbpedia.org/resource/Francis_I_of_France
Francois Ier de France	François Ier (roi de France)	http://fr.dbpedia.org/resource/François_Ier_(roi_de_France)	http://dbpedia.org/resource/Francis_I_of_France
François 1er de France	François Ier (roi de France)	http://fr.dbpedia.org/resource/François_Ier_(roi_de_France)	http://dbpedia.org/resource/Francis_I_of_France
François Ier De France	François Ier (roi de France)	http://fr.dbpedia.org/resource/François_Ier_(roi_de_France)	http://dbpedia.org/resource/Francis_I_of_France
François Ier de France	François Ier (roi de France)	http://fr.dbpedia.org/resource/François_Ier_(roi_de_France)	http://dbpedia.org/resource/Francis_I_of_France
François d'Angoulême	François Ier (roi de France)	http://fr.dbpedia.org/resource/François_Ier_(roi_de_France)	http://dbpedia.org/resource/Francis_I_of_France
François de Valois-Angoulême	François Ier (roi de France)	http://fr.dbpedia.org/resource/François_Ier_(roi_de_France)	http://dbpedia.org/resource/Francis_I_of_France
François ier de france	François Ier (roi de France)	http://fr.dbpedia.org/resource/François_Ier_(roi_de_France)	http://dbpedia.org/resource/Francis_I_of_France
Père des Lettres	François Ier (roi de France)	http://fr.dbpedia.org/resource/François_Ier_(roi_de_France)	http://dbpedia.org/resource/Francis_I_of_France
Franziskus Xavier von Salm-Reifferscheldt	Franziskus Xavier von Salm Reifferscheldt	http://fr.dbpedia.org/resource/Franziskus_Xavier_von_Salm-Reifferscheldt
Félix de Habsbourg-Lorraine	Félix de Habsbourg Lorraine	http://fr.dbpedia.org/resource/Félix_de_Habsbourg-Lorraine	http://dbpedia.org/resource/Archduke_Felix_of_Austria
Archiduc Félix de Habsbourg-Lorraine	Félix de Habsbourg Lorraine	http://fr.dbpedia.org/resource/Félix_de_Habsbourg-Lorraine	http://dbpedia.org/resource/Archduke_Felix_of_Austria
Felix d'Autriche	Félix de Habsbourg Lorraine	http://fr.dbpedia.org/resource/Félix_de_Habsbourg-Lorraine	http://dbpedia.org/resource/Archduke_Felix_of_Austria
Félix d'Autriche	Félix de Habsbourg Lorraine	http://fr.dbpedia.org/resource/Félix_de_Habsbourg-Lorraine	http://dbpedia.org/resource/Archduke_Felix_of_Austria
Flemming Quist Møller	Flemming Quist Møller	http://fr.dbpedia.org/resource/Flemming_Quist_Møller	http://dbpedia.org/resource/Flemming_Quist_Møller
Flemming Quist Moller	Flemming Quist Møller	http://fr.dbpedia.org/resource/Flemming_Quist_Møller	http://dbpedia.org/resource/Flemming_Quist_Møller
Félix Grande	Félix Grande	http://fr.dbpedia.org/resource/Félix_Grande
Felix Grande	Félix Grande	http://fr.dbpedia.org/resource/Félix_Grande
Francesco Mengotti	Francesco Mengotti	http://fr.dbpedia.org/resource/Francesco_Mengotti
Frank Finnigan	Frank Finnigan	http://fr.dbpedia.org/resource/Frank_Finnigan	http://dbpedia.org/resource/Frank_Finnigan
François Barouh	François Barouh	http://fr.dbpedia.org/resource/François_Barouh	http://dbpedia.org/resource/François_Barouh
François-Auguste de Thou	François Auguste de Thou	http://fr.dbpedia.org/resource/François-Auguste_de_Thou	http://dbpedia.org/resource/François_Auguste_de_Thou
Frieda Inescort	Frieda Inescort	http://fr.dbpedia.org/resource/Frieda_Inescort	http://dbpedia.org/resource/Frieda_Inescort
Frieda Inescourt	Frieda Inescort	http://fr.dbpedia.org/resource/Frieda_Inescort	http://dbpedia.org/resource/Frieda_Inescort
Ferdinando Taverna	Ferdinando Taverna	http://fr.dbpedia.org/resource/Ferdinando_Taverna	http://dbpedia.org/resource/Ferdinando_Taverna
Ferenc Szaniszló	Ferenc Szaniszló	http://fr.dbpedia.org/resource/Ferenc_Szaniszló	http://dbpedia.org/resource/Ferenc_Szaniszló
Frédéric Aillaud	Frédéric Aillaud	http://fr.dbpedia.org/resource/Frédéric_Aillaud
Franky De Gendt	Franky De Gendt	http://fr.dbpedia.org/resource/Franky_De_Gendt
Franky de Gendt	Franky De Gendt	http://fr.dbpedia.org/resource/Franky_De_Gendt
François Dunoyer	François Dunoyer	http://fr.dbpedia.org/resource/François_Dunoyer
Francois Dunoyer	François Dunoyer	http://fr.dbpedia.org/resource/François_Dunoyer
Frédéric Arnaud	Frédéric Arnaud	http://fr.dbpedia.org/resource/Frédéric_Arnaud
Frédéric Arnaud de l'Ariège	Frédéric Arnaud	http://fr.dbpedia.org/resource/Frédéric_Arnaud
Federica Stufi	Federica Stufi	http://fr.dbpedia.org/resource/Federica_Stufi
Ferdinand Pire	Ferdinand Pire	http://fr.dbpedia.org/resource/Ferdinand_Pire
Francis Browne	Francis Browne	http://fr.dbpedia.org/resource/Francis_Browne	http://dbpedia.org/resource/Francis_Browne
François Walker	François Walker	http://fr.dbpedia.org/resource/François_Walker	http://dbpedia.org/resource/François_Walker
Françoise Benhamou	Françoise Benhamou	http://fr.dbpedia.org/resource/Françoise_Benhamou
Francoise Benhamou	Françoise Benhamou	http://fr.dbpedia.org/resource/Françoise_Benhamou
Friedrich Engels	Friedrich Engels	http://fr.dbpedia.org/resource/Friedrich_Engels	http://dbpedia.org/resource/Friedrich_Engels
Engels	Friedrich Engels	http://fr.dbpedia.org/resource/Friedrich_Engels	http://dbpedia.org/resource/Friedrich_Engels
Floribeth Mora Diaz	Floribeth Mora Diaz	http://fr.dbpedia.org/resource/Floribeth_Mora_Diaz
Félix Neff	Félix Neff	http://fr.dbpedia.org/resource/Félix_Neff	http://dbpedia.org/resource/Felix_Neff
Felix Neff	Félix Neff	http://fr.dbpedia.org/resource/Félix_Neff	http://dbpedia.org/resource/Felix_Neff
Fiodor Alexandrovitch de Russie	Fiodor Alexandrovitch de Russie	http://fr.dbpedia.org/resource/Fiodor_Alexandrovitch_de_Russie	http://dbpedia.org/resource/Prince_Feodor_Alexandrovich_of_Russia
Theodore Alexandrovitch de Russie	Fiodor Alexandrovitch de Russie	http://fr.dbpedia.org/resource/Fiodor_Alexandrovitch_de_Russie	http://dbpedia.org/resource/Prince_Feodor_Alexandrovich_of_Russia
Théodore Alexandrovitch	Fiodor Alexandrovitch de Russie	http://fr.dbpedia.org/resource/Fiodor_Alexandrovitch_de_Russie	http://dbpedia.org/resource/Prince_Feodor_Alexandrovich_of_Russia
Théodore Alexandrovitch de Russie	Fiodor Alexandrovitch de Russie	http://fr.dbpedia.org/resource/Fiodor_Alexandrovitch_de_Russie	http://dbpedia.org/resource/Prince_Feodor_Alexandrovich_of_Russia
Friedrich-Wilhelm Otte	Friedrich Wilhelm Otte	http://fr.dbpedia.org/resource/Friedrich-Wilhelm_Otte	http://dbpedia.org/resource/Friedrich-Wilhelm_Otte
Félix De Vigne	Félix De Vigne	http://fr.dbpedia.org/resource/Félix_De_Vigne	http://dbpedia.org/resource/Félix_De_Vigne
Félix de Vigne	Félix De Vigne	http://fr.dbpedia.org/resource/Félix_De_Vigne	http://dbpedia.org/resource/Félix_De_Vigne
Félix devigne	Félix De Vigne	http://fr.dbpedia.org/resource/Félix_De_Vigne	http://dbpedia.org/resource/Félix_De_Vigne
Fernando Galetto	Fernando Galetto	http://fr.dbpedia.org/resource/Fernando_Galetto	http://dbpedia.org/resource/Fernando_Galetto
Francesco Cornaro (doge)	Francesco Cornaro (doge)	http://fr.dbpedia.org/resource/Francesco_Cornaro_(doge)	http://dbpedia.org/resource/Francesco_Cornaro_(Doge)
