Philippe Gaussot	Philippe Gaussot	http://fr.dbpedia.org/resource/Philippe_Gaussot
Pierre Falardeau	Pierre Falardeau	http://fr.dbpedia.org/resource/Pierre_Falardeau	http://dbpedia.org/resource/Pierre_Falardeau
Pierre Leyris	Pierre Leyris	http://fr.dbpedia.org/resource/Pierre_Leyris
Pierre leyris	Pierre Leyris	http://fr.dbpedia.org/resource/Pierre_Leyris
Pier Giuseppe Sandoni	Pier Giuseppe Sandoni	http://fr.dbpedia.org/resource/Pier_Giuseppe_Sandoni
Pietro Giuseppe Sandoni	Pier Giuseppe Sandoni	http://fr.dbpedia.org/resource/Pier_Giuseppe_Sandoni
Pascal Marignac	Pascal Marignac	http://fr.dbpedia.org/resource/Pascal_Marignac
Kââ	Pascal Marignac	http://fr.dbpedia.org/resource/Pascal_Marignac
Corsélien	Pascal Marignac	http://fr.dbpedia.org/resource/Pascal_Marignac
Paul Cohn	Paul Cohn	http://fr.dbpedia.org/resource/Paul_Cohn	http://dbpedia.org/resource/Paul_Cohn
Paul Moritz Cohn	Paul Cohn	http://fr.dbpedia.org/resource/Paul_Cohn	http://dbpedia.org/resource/Paul_Cohn
Preston Claiborne	Preston Claiborne	http://fr.dbpedia.org/resource/Preston_Claiborne	http://dbpedia.org/resource/Preston_Claiborne
Philippe-Isidore Picot de Lapeyrouse	Philippe Isidore Picot de Lapeyrouse	http://fr.dbpedia.org/resource/Philippe-Isidore_Picot_de_Lapeyrouse	http://dbpedia.org/resource/Philippe-Isidore_Picot_de_Lapeyrouse
Lapeyr.	Philippe Isidore Picot de Lapeyrouse	http://fr.dbpedia.org/resource/Philippe-Isidore_Picot_de_Lapeyrouse	http://dbpedia.org/resource/Philippe-Isidore_Picot_de_Lapeyrouse
Philippe Picot de Lapeirouse	Philippe Isidore Picot de Lapeyrouse	http://fr.dbpedia.org/resource/Philippe-Isidore_Picot_de_Lapeyrouse	http://dbpedia.org/resource/Philippe-Isidore_Picot_de_Lapeyrouse
Philippe Picot de Lapeyrouse	Philippe Isidore Picot de Lapeyrouse	http://fr.dbpedia.org/resource/Philippe-Isidore_Picot_de_Lapeyrouse	http://dbpedia.org/resource/Philippe-Isidore_Picot_de_Lapeyrouse
Picot de Lapeyrouse	Philippe Isidore Picot de Lapeyrouse	http://fr.dbpedia.org/resource/Philippe-Isidore_Picot_de_Lapeyrouse	http://dbpedia.org/resource/Philippe-Isidore_Picot_de_Lapeyrouse
