Richard Nixon	Richard Nixon	http://fr.dbpedia.org/resource/Richard_Nixon	http://dbpedia.org/resource/Richard_Nixon
Président Nixon	Richard Nixon	http://fr.dbpedia.org/resource/Richard_Nixon	http://dbpedia.org/resource/Richard_Nixon
Richard M. Nixon	Richard Nixon	http://fr.dbpedia.org/resource/Richard_Nixon	http://dbpedia.org/resource/Richard_Nixon
Richard Milhous Nixon	Richard Nixon	http://fr.dbpedia.org/resource/Richard_Nixon	http://dbpedia.org/resource/Richard_Nixon
Reza Aslan	Reza Aslan	http://fr.dbpedia.org/resource/Reza_Aslan	http://dbpedia.org/resource/Reza_Aslan
Renée Zellweger	Renée Zellweger	http://fr.dbpedia.org/resource/Renée_Zellweger	http://dbpedia.org/resource/Renée_Zellweger
Renee zellweger	Renée Zellweger	http://fr.dbpedia.org/resource/Renée_Zellweger	http://dbpedia.org/resource/Renée_Zellweger
Renee Zellweger	Renée Zellweger	http://fr.dbpedia.org/resource/Renée_Zellweger	http://dbpedia.org/resource/Renée_Zellweger
Randy de Puniet	Randy de Puniet	http://fr.dbpedia.org/resource/Randy_de_Puniet	http://dbpedia.org/resource/Randy_de_Puniet
Randy De Puniet	Randy de Puniet	http://fr.dbpedia.org/resource/Randy_de_Puniet	http://dbpedia.org/resource/Randy_de_Puniet
Randy de puniet	Randy de Puniet	http://fr.dbpedia.org/resource/Randy_de_Puniet	http://dbpedia.org/resource/Randy_de_Puniet
René Schwaller de Lubicz	René Schwaller de Lubicz	http://fr.dbpedia.org/resource/René_Schwaller_de_Lubicz	http://dbpedia.org/resource/R._A._Schwaller_de_Lubicz
Rene Schwaller de Lubicz	René Schwaller de Lubicz	http://fr.dbpedia.org/resource/René_Schwaller_de_Lubicz	http://dbpedia.org/resource/R._A._Schwaller_de_Lubicz
René-Adolphe Schwaller de Lubicz	René Schwaller de Lubicz	http://fr.dbpedia.org/resource/René_Schwaller_de_Lubicz	http://dbpedia.org/resource/R._A._Schwaller_de_Lubicz
René Adolphe Schwaller de Lubicz	René Schwaller de Lubicz	http://fr.dbpedia.org/resource/René_Schwaller_de_Lubicz	http://dbpedia.org/resource/R._A._Schwaller_de_Lubicz
René schwaller de lubicz	René Schwaller de Lubicz	http://fr.dbpedia.org/resource/René_Schwaller_de_Lubicz	http://dbpedia.org/resource/R._A._Schwaller_de_Lubicz
Schwaller de Lubicz	René Schwaller de Lubicz	http://fr.dbpedia.org/resource/René_Schwaller_de_Lubicz	http://dbpedia.org/resource/R._A._Schwaller_de_Lubicz
Rudolf Noack	Rudolf Noack	http://fr.dbpedia.org/resource/Rudolf_Noack	http://dbpedia.org/resource/Rudolf_Noack
Ramzi Khiroun	Ramzi Khiroun	http://fr.dbpedia.org/resource/Ramzi_Khiroun
Richard Di Rosa	Richard Di Rosa	http://fr.dbpedia.org/resource/Richard_Di_Rosa
René Azaïs	René Azaïs	http://fr.dbpedia.org/resource/René_Azaïs
Rita Williams	Rita Williams	http://fr.dbpedia.org/resource/Rita_Williams
Reni Takagi	Reni Takagi	http://fr.dbpedia.org/resource/Reni_Takagi	http://dbpedia.org/resource/Reni_Takagi
Reni Tagaki	Reni Takagi	http://fr.dbpedia.org/resource/Reni_Takagi	http://dbpedia.org/resource/Reni_Takagi
Roy Williams (animateur)	Roy Williams (animateur)	http://fr.dbpedia.org/resource/Roy_Williams_(animateur)	http://dbpedia.org/resource/Roy_Williams_(animator)
Rafith Rodríguez	Rafith Rodríguez	http://fr.dbpedia.org/resource/Rafith_Rodríguez	http://dbpedia.org/resource/Rafith_Rodríguez
Rafith Rodriguez	Rafith Rodríguez	http://fr.dbpedia.org/resource/Rafith_Rodríguez	http://dbpedia.org/resource/Rafith_Rodríguez
Richard Prentout	Richard Prentout	http://fr.dbpedia.org/resource/Richard_Prentout
Richard Taylor (mathématicien)	Richard Taylor (mathématicien)	http://fr.dbpedia.org/resource/Richard_Taylor_(mathématicien)	http://dbpedia.org/resource/Richard_Taylor_(mathematician)
Regan Reilly	Regan Reilly	http://fr.dbpedia.org/resource/Regan_Reilly
Richard Aßmann	Richard Aßmann	http://fr.dbpedia.org/resource/Richard_Aßmann	http://dbpedia.org/resource/Richard_Assmann
Richard Assman	Richard Aßmann	http://fr.dbpedia.org/resource/Richard_Aßmann	http://dbpedia.org/resource/Richard_Assmann
Richard Assmann	Richard Aßmann	http://fr.dbpedia.org/resource/Richard_Aßmann	http://dbpedia.org/resource/Richard_Assmann
Romela Begaj	Romela Begaj	http://fr.dbpedia.org/resource/Romela_Begaj	http://dbpedia.org/resource/Romela_Begaj
Rafael Isea	Rafael Isea	http://fr.dbpedia.org/resource/Rafael_Isea	http://dbpedia.org/resource/Rafael_Isea
Raymond Quinsac Monvoisin	Raymond Quinsac Monvoisin	http://fr.dbpedia.org/resource/Raymond_Quinsac_Monvoisin	http://dbpedia.org/resource/Raymond_Monvoisin
Raymond Monvoisin	Raymond Quinsac Monvoisin	http://fr.dbpedia.org/resource/Raymond_Quinsac_Monvoisin	http://dbpedia.org/resource/Raymond_Monvoisin
Rosalia Porcaro	Rosalia Porcaro	http://fr.dbpedia.org/resource/Rosalia_Porcaro
Red Kelly	Red Kelly	http://fr.dbpedia.org/resource/Red_Kelly	http://dbpedia.org/resource/Red_Kelly
Rafaâ Chtioui	Rafaâ Chtioui	http://fr.dbpedia.org/resource/Rafaâ_Chtioui	http://dbpedia.org/resource/Rafaâ_Chtioui
Rafaa Chtioui	Rafaâ Chtioui	http://fr.dbpedia.org/resource/Rafaâ_Chtioui	http://dbpedia.org/resource/Rafaâ_Chtioui
Rafâa Chtioui	Rafaâ Chtioui	http://fr.dbpedia.org/resource/Rafaâ_Chtioui	http://dbpedia.org/resource/Rafaâ_Chtioui
Romano Denneboom	Romano Denneboom	http://fr.dbpedia.org/resource/Romano_Denneboom	http://dbpedia.org/resource/Romano_Denneboom
Ricardo Balbiers	Ricardo Balbiers	http://fr.dbpedia.org/resource/Ricardo_Balbiers
Richard McClintock	Richard McClintock	http://fr.dbpedia.org/resource/Richard_McClintock
Renée Prévert	Renée Prévert	http://fr.dbpedia.org/resource/Renée_Prévert
Ryan McDonagh	Ryan McDonagh	http://fr.dbpedia.org/resource/Ryan_McDonagh	http://dbpedia.org/resource/Ryan_McDonagh
Robbie Hucker	Robbie Hucker	http://fr.dbpedia.org/resource/Robbie_Hucker	http://dbpedia.org/resource/Robbie_Hucker
Rémi Hugues	Rémi Hugues	http://fr.dbpedia.org/resource/Rémi_Hugues
Rémy Hugues	Rémi Hugues	http://fr.dbpedia.org/resource/Rémi_Hugues
Ryan Zamroz	Ryan Zamroz	http://fr.dbpedia.org/resource/Ryan_Zamroz
Ramón Ramírez (football, 1951)	Ramón Ramírez (football, 1951)	http://fr.dbpedia.org/resource/Ramón_Ramírez_(football,_1951)
Renate Jansen	Renate Jansen	http://fr.dbpedia.org/resource/Renate_Jansen	http://dbpedia.org/resource/Renate_Jansen
Raúl Díaz Argüelles	Raúl Díaz Argüelles	http://fr.dbpedia.org/resource/Raúl_Díaz_Argüelles
Roger Troutman	Roger Troutman	http://fr.dbpedia.org/resource/Roger_Troutman	http://dbpedia.org/resource/Roger_Troutman
Rachid Sabbagh	Rachid Sabbagh	http://fr.dbpedia.org/resource/Rachid_Sabbagh
Rida Cador	Rida Cador	http://fr.dbpedia.org/resource/Rida_Cador
Romain Kreisz	Romain Kreisz	http://fr.dbpedia.org/resource/Romain_Kreisz
Richard Himmel	Richard Himmel	http://fr.dbpedia.org/resource/Richard_Himmel
Ramón Ramírez (baseball, 1981)	Ramón Ramírez (baseball, 1981)	http://fr.dbpedia.org/resource/Ramón_Ramírez_(baseball,_1981)	http://dbpedia.org/resource/Ramón_Ramírez_(Dominican_pitcher)
Ramon Ramirez	Ramón Ramírez (baseball, 1981)	http://fr.dbpedia.org/resource/Ramón_Ramírez_(baseball,_1981)	http://dbpedia.org/resource/Ramón_Ramírez_(Dominican_pitcher)
Ragnar Hovland	Ragnar Hovland	http://fr.dbpedia.org/resource/Ragnar_Hovland	http://dbpedia.org/resource/Ragnar_Hovland
Régine Vial	Régine Vial	http://fr.dbpedia.org/resource/Régine_Vial
Raffaele Ametrano	Raffaele Ametrano	http://fr.dbpedia.org/resource/Raffaele_Ametrano	http://dbpedia.org/resource/Raffaele_Ametrano
René Fontaine (pâtissier)	René Fontaine (pâtissier)	http://fr.dbpedia.org/resource/René_Fontaine_(pâtissier)
Robert LeRoy	Robert LeRoy	http://fr.dbpedia.org/resource/Robert_LeRoy	http://dbpedia.org/resource/Robert_LeRoy
Reynaldo Garrido	Reynaldo Garrido	http://fr.dbpedia.org/resource/Reynaldo_Garrido	http://dbpedia.org/resource/Reynaldo_Garrido
Rey Garrido	Reynaldo Garrido	http://fr.dbpedia.org/resource/Reynaldo_Garrido	http://dbpedia.org/resource/Reynaldo_Garrido
Robert de Flers	Robert de Flers	http://fr.dbpedia.org/resource/Robert_de_Flers	http://dbpedia.org/resource/Robert_de_Flers
Robert Ango de La Motte-Ango, marquis de Flers	Robert de Flers	http://fr.dbpedia.org/resource/Robert_de_Flers	http://dbpedia.org/resource/Robert_de_Flers
Robert De Flers	Robert de Flers	http://fr.dbpedia.org/resource/Robert_de_Flers	http://dbpedia.org/resource/Robert_de_Flers
Robert Pellevé de La Motte-Ango, marquis de Flers	Robert de Flers	http://fr.dbpedia.org/resource/Robert_de_Flers	http://dbpedia.org/resource/Robert_de_Flers
Robert de flers	Robert de Flers	http://fr.dbpedia.org/resource/Robert_de_Flers	http://dbpedia.org/resource/Robert_de_Flers
René Bartholoni	René Bartholoni	http://fr.dbpedia.org/resource/René_Bartholoni
Riccardo Petroni	Riccardo Petroni	http://fr.dbpedia.org/resource/Riccardo_Petroni	http://dbpedia.org/resource/Riccardo_Petroni
René Apazza	René Apazza	http://fr.dbpedia.org/resource/René_Apazza	http://dbpedia.org/resource/René_Fernández_Apaza
Ryan Guzman	Ryan Guzman	http://fr.dbpedia.org/resource/Ryan_Guzman	http://dbpedia.org/resource/Ryan_Guzman
Richard Young (catcheur)	Richard Young (catcheur)	http://fr.dbpedia.org/resource/Richard_Young_(catcheur)	http://dbpedia.org/resource/Ricky_Ortiz
Atlas DaBone	Richard Young (catcheur)	http://fr.dbpedia.org/resource/Richard_Young_(catcheur)	http://dbpedia.org/resource/Ricky_Ortiz
Atlas Ortiz	Richard Young (catcheur)	http://fr.dbpedia.org/resource/Richard_Young_(catcheur)	http://dbpedia.org/resource/Ricky_Ortiz
Atlas ortiz	Richard Young (catcheur)	http://fr.dbpedia.org/resource/Richard_Young_(catcheur)	http://dbpedia.org/resource/Ricky_Ortiz
Ricky Ortiz	Richard Young (catcheur)	http://fr.dbpedia.org/resource/Richard_Young_(catcheur)	http://dbpedia.org/resource/Ricky_Ortiz
Rob Rombout	Rob Rombout	http://fr.dbpedia.org/resource/Rob_Rombout
Randy Skarda	Randy Skarda	http://fr.dbpedia.org/resource/Randy_Skarda	http://dbpedia.org/resource/Randy_Skarda
Robert Ballanger	Robert Ballanger	http://fr.dbpedia.org/resource/Robert_Ballanger
Rosie Huntington-Whiteley	Rosie Huntington Whiteley	http://fr.dbpedia.org/resource/Rosie_Huntington-Whiteley	http://dbpedia.org/resource/Rosie_Huntington-Whiteley
René Schneider (football)	René Schneider (football)	http://fr.dbpedia.org/resource/René_Schneider_(football)	http://dbpedia.org/resource/René_Schneider_(footballer)
Rene Schneider	René Schneider (football)	http://fr.dbpedia.org/resource/René_Schneider_(football)	http://dbpedia.org/resource/René_Schneider_(footballer)
René Schneider	René Schneider (football)	http://fr.dbpedia.org/resource/René_Schneider_(football)	http://dbpedia.org/resource/René_Schneider_(footballer)
René schneider	René Schneider (football)	http://fr.dbpedia.org/resource/René_Schneider_(football)	http://dbpedia.org/resource/René_Schneider_(footballer)
Roberto Fresnedoso	Roberto Fresnedoso	http://fr.dbpedia.org/resource/Roberto_Fresnedoso	http://dbpedia.org/resource/Roberto_Fresnedoso
Ramon Zomer	Ramon Zomer	http://fr.dbpedia.org/resource/Ramon_Zomer	http://dbpedia.org/resource/Ramon_Zomer
Raymond Decorte	Raymond Decorte	http://fr.dbpedia.org/resource/Raymond_Decorte	http://dbpedia.org/resource/Raymond_Decorte
Richard Dale	Richard Dale	http://fr.dbpedia.org/resource/Richard_Dale	http://dbpedia.org/resource/Richard_Dale
Robert William Atkinson	Robert William Atkinson	http://fr.dbpedia.org/resource/Robert_William_Atkinson
Robert III de La Marck	Robert III de La Marck	http://fr.dbpedia.org/resource/Robert_III_de_La_Marck	http://dbpedia.org/resource/Robert_III_de_La_Marck
Robert III de La Marck de Bouillon	Robert III de La Marck	http://fr.dbpedia.org/resource/Robert_III_de_La_Marck	http://dbpedia.org/resource/Robert_III_de_La_Marck
Robert de La Marck	Robert III de La Marck	http://fr.dbpedia.org/resource/Robert_III_de_La_Marck	http://dbpedia.org/resource/Robert_III_de_La_Marck
Robert de la marck	Robert III de La Marck	http://fr.dbpedia.org/resource/Robert_III_de_La_Marck	http://dbpedia.org/resource/Robert_III_de_La_Marck
Ronald Desruelles	Ronald Desruelles	http://fr.dbpedia.org/resource/Ronald_Desruelles	http://dbpedia.org/resource/Ronald_Desruelles
Ragnvald Soma	Ragnvald Soma	http://fr.dbpedia.org/resource/Ragnvald_Soma	http://dbpedia.org/resource/Ragnvald_Soma
Ray Fisher	Ray Fisher	http://fr.dbpedia.org/resource/Ray_Fisher	http://dbpedia.org/resource/Raymond_Fisher
Rupert Brooke	Rupert Brooke	http://fr.dbpedia.org/resource/Rupert_Brooke	http://dbpedia.org/resource/Rupert_Brooke
Roman Horák (hockey sur glace, 1991)	Roman Horák (hockey sur glace, 1991)	http://fr.dbpedia.org/resource/Roman_Horák_(hockey_sur_glace,_1991)	http://dbpedia.org/resource/Roman_Horák_(ice_hockey,_born_1991)
Rihards Kuksiks	Rihards Kuksiks	http://fr.dbpedia.org/resource/Rihards_Kuksiks	http://dbpedia.org/resource/Rihards_Kuksiks
Romolo Valli	Romolo Valli	http://fr.dbpedia.org/resource/Romolo_Valli	http://dbpedia.org/resource/Romolo_Valli
Raymond Laillet de Montullé	Raymond Laillet de Montullé	http://fr.dbpedia.org/resource/Raymond_Laillet_de_Montullé
Robert Dudley	Robert Dudley	http://fr.dbpedia.org/resource/Robert_Dudley	http://dbpedia.org/resource/Robert_Dudley,_1st_Earl_of_Leicester
Ruth Hall	Ruth Hall	http://fr.dbpedia.org/resource/Ruth_Hall	http://dbpedia.org/resource/Ruth_Hall_(actress)
Ricky Calzada	Ricky Calzada	http://fr.dbpedia.org/resource/Ricky_Calzada	http://dbpedia.org/resource/Ricky_Calzada
Robert Lebeck	Robert Lebeck	http://fr.dbpedia.org/resource/Robert_Lebeck	http://dbpedia.org/resource/Robert_Lebeck
