Tiago Costa	Tiago Costa	http://fr.dbpedia.org/resource/Tiago_Costa
Thierry Leprévost	Thierry Leprévost	http://fr.dbpedia.org/resource/Thierry_Leprévost
Tom Regan	Tom Regan	http://fr.dbpedia.org/resource/Tom_Regan	http://dbpedia.org/resource/Tom_Regan
Tsvetelina Zarkova	Tsvetelina Zarkova	http://fr.dbpedia.org/resource/Tsvetelina_Zarkova
Ture Person	Ture Person	http://fr.dbpedia.org/resource/Ture_Person	http://dbpedia.org/resource/Ture_Person
Tina Kennard	Tina Kennard	http://fr.dbpedia.org/resource/Tina_Kennard	http://dbpedia.org/resource/Tina_Kennard
Tommy Dorward	Tommy Dorward	http://fr.dbpedia.org/resource/Tommy_Dorward	http://dbpedia.org/resource/Tom_Dorward
Théodore de Reding de Biberegg	Théodore de Reding de Biberegg	http://fr.dbpedia.org/resource/Théodore_de_Reding_de_Biberegg	http://dbpedia.org/resource/Theodor_von_Reding
Theodore Reding von Biberegg	Théodore de Reding de Biberegg	http://fr.dbpedia.org/resource/Théodore_de_Reding_de_Biberegg	http://dbpedia.org/resource/Theodor_von_Reding
Théodore Reding von Biberegg	Théodore de Reding de Biberegg	http://fr.dbpedia.org/resource/Théodore_de_Reding_de_Biberegg	http://dbpedia.org/resource/Theodor_von_Reding
Théodore reding von biberegg	Théodore de Reding de Biberegg	http://fr.dbpedia.org/resource/Théodore_de_Reding_de_Biberegg	http://dbpedia.org/resource/Theodor_von_Reding
Théodose du Moncel	Théodose du Moncel	http://fr.dbpedia.org/resource/Théodose_du_Moncel	http://dbpedia.org/resource/Théodose_Du_Moncel
Theodose du Moncel	Théodose du Moncel	http://fr.dbpedia.org/resource/Théodose_du_Moncel	http://dbpedia.org/resource/Théodose_Du_Moncel
Théodore du Moncel	Théodose du Moncel	http://fr.dbpedia.org/resource/Théodose_du_Moncel	http://dbpedia.org/resource/Théodose_Du_Moncel
Théodose du moncel	Théodose du Moncel	http://fr.dbpedia.org/resource/Théodose_du_Moncel	http://dbpedia.org/resource/Théodose_Du_Moncel
Tatiana Kurbakova	Tatiana Kurbakova	http://fr.dbpedia.org/resource/Tatiana_Kurbakova	http://dbpedia.org/resource/Tatiana_Kurbakova
Tero Järvenpää	Tero Järvenpää	http://fr.dbpedia.org/resource/Tero_Järvenpää	http://dbpedia.org/resource/Tero_Järvenpää
Tony Oller	Tony Oller	http://fr.dbpedia.org/resource/Tony_Oller	http://dbpedia.org/resource/Tony_Oller
Tom Watson (acteur)	Tom Watson (acteur)	http://fr.dbpedia.org/resource/Tom_Watson_(acteur)	http://dbpedia.org/resource/Tom_Watson_(actor)
Tom Koehler	Tom Koehler	http://fr.dbpedia.org/resource/Tom_Koehler	http://dbpedia.org/resource/Tom_Koehler
Thomas Nordahl	Thomas Nordahl	http://fr.dbpedia.org/resource/Thomas_Nordahl	http://dbpedia.org/resource/Thomas_Nordahl
Thori Staples Bryan	Thori Staples Bryan	http://fr.dbpedia.org/resource/Thori_Staples_Bryan	http://dbpedia.org/resource/Thori_Staples_Bryan
Thori Staples	Thori Staples Bryan	http://fr.dbpedia.org/resource/Thori_Staples_Bryan	http://dbpedia.org/resource/Thori_Staples_Bryan
Takanori Kōno	Takanori Kōno	http://fr.dbpedia.org/resource/Takanori_Kōno	http://dbpedia.org/resource/Takanori_Kono
Takanori Kono	Takanori Kōno	http://fr.dbpedia.org/resource/Takanori_Kōno	http://dbpedia.org/resource/Takanori_Kono
Tomás Bellas	Tomás Bellas	http://fr.dbpedia.org/resource/Tomás_Bellas
Thola	Thola	http://fr.dbpedia.org/resource/Thola	http://dbpedia.org/resource/Tola_(biblical_figure)
Theodor Edler von Lerch	Theodor Edler von Lerch	http://fr.dbpedia.org/resource/Theodor_Edler_von_Lerch
