Ugo Orlandi	Ugo Orlandi	http://fr.dbpedia.org/resource/Ugo_Orlandi
Usmar Ismail	Usmar Ismail	http://fr.dbpedia.org/resource/Usmar_Ismail	http://dbpedia.org/resource/Usmar_Ismail
Urruti	Urruti	http://fr.dbpedia.org/resource/Urruti	http://dbpedia.org/resource/Javier_Urruticoechea
Francisco Javier González Urruticoechea	Urruti	http://fr.dbpedia.org/resource/Urruti	http://dbpedia.org/resource/Javier_Urruticoechea
Francisco Javier Urruticoechea	Urruti	http://fr.dbpedia.org/resource/Urruti	http://dbpedia.org/resource/Javier_Urruticoechea
Ulrich Giezendanner	Ulrich Giezendanner	http://fr.dbpedia.org/resource/Ulrich_Giezendanner	http://dbpedia.org/resource/Ulrich_Giezendanner
Una McCann Wilkinson	Una McCann Wilkinson	http://fr.dbpedia.org/resource/Una_McCann_Wilkinson
Una MacCann Wilkinson	Una McCann Wilkinson	http://fr.dbpedia.org/resource/Una_McCann_Wilkinson
Una McCann	Una McCann Wilkinson	http://fr.dbpedia.org/resource/Una_McCann_Wilkinson
Una Wilkinson	Una McCann Wilkinson	http://fr.dbpedia.org/resource/Una_McCann_Wilkinson
Umberto Giordano	Umberto Giordano	http://fr.dbpedia.org/resource/Umberto_Giordano	http://dbpedia.org/resource/Umberto_Giordano
Ute Kircheis-Wessel	Ute Kircheis Wessel	http://fr.dbpedia.org/resource/Ute_Kircheis-Wessel	http://dbpedia.org/resource/Ute_Kircheis-Wessel
Ute Wessel	Ute Kircheis Wessel	http://fr.dbpedia.org/resource/Ute_Kircheis-Wessel	http://dbpedia.org/resource/Ute_Kircheis-Wessel
Urbain-René Pilastre de la Brardière	Urbain René Pilastre de la Brardière	http://fr.dbpedia.org/resource/Urbain-René_Pilastre_de_la_Brardière
Urbain-René Pilastre de La Brardière	Urbain René Pilastre de la Brardière	http://fr.dbpedia.org/resource/Urbain-René_Pilastre_de_la_Brardière
Udochukwu Nwoko	Udochukwu Nwoko	http://fr.dbpedia.org/resource/Udochukwu_Nwoko	http://dbpedia.org/resource/Udo_Nwoko
Urbano Navarrete	Urbano Navarrete	http://fr.dbpedia.org/resource/Urbano_Navarrete	http://dbpedia.org/resource/Urbano_Navarrete_Cortés
Uffie	Uffie	http://fr.dbpedia.org/resource/Uffie	http://dbpedia.org/resource/Uffie
Unroch III de Frioul	Unroch III de Frioul	http://fr.dbpedia.org/resource/Unroch_III_de_Frioul	http://dbpedia.org/resource/Unruoch_III_of_Friuli
Unroch iii de frioul	Unroch III de Frioul	http://fr.dbpedia.org/resource/Unroch_III_de_Frioul	http://dbpedia.org/resource/Unruoch_III_of_Friuli
Urmas Paet	Urmas Paet	http://fr.dbpedia.org/resource/Urmas_Paet	http://dbpedia.org/resource/Urmas_Paet
Udo Wagner	Udo Wagner	http://fr.dbpedia.org/resource/Udo_Wagner	http://dbpedia.org/resource/Udo_Wagner
Ute Geweniger	Ute Geweniger	http://fr.dbpedia.org/resource/Ute_Geweniger	http://dbpedia.org/resource/Ute_Geweniger
Umberto Tozzi	Umberto Tozzi	http://fr.dbpedia.org/resource/Umberto_Tozzi	http://dbpedia.org/resource/Umberto_Tozzi
Ulrich Bächli	Ulrich Bächli	http://fr.dbpedia.org/resource/Ulrich_Bächli	http://dbpedia.org/resource/Ulrich_Bächli
Ueli Bächli	Ulrich Bächli	http://fr.dbpedia.org/resource/Ulrich_Bächli	http://dbpedia.org/resource/Ulrich_Bächli
Uwe Tellkamp	Uwe Tellkamp	http://fr.dbpedia.org/resource/Uwe_Tellkamp	http://dbpedia.org/resource/Uwe_Tellkamp
Uwe Blab	Uwe Blab	http://fr.dbpedia.org/resource/Uwe_Blab	http://dbpedia.org/resource/Uwe_Blab
Uwe Möhrle	Uwe Möhrle	http://fr.dbpedia.org/resource/Uwe_Möhrle	http://dbpedia.org/resource/Uwe_Möhrle
Ulugbek Bakayev	Ulugbek Bakayev	http://fr.dbpedia.org/resource/Ulugbek_Bakayev	http://dbpedia.org/resource/Ulugbek_Bakayev
Ulugbek Bakaev	Ulugbek Bakayev	http://fr.dbpedia.org/resource/Ulugbek_Bakayev	http://dbpedia.org/resource/Ulugbek_Bakayev
Ugo Fantozzi	Ugo Fantozzi	http://fr.dbpedia.org/resource/Ugo_Fantozzi	http://dbpedia.org/resource/Ugo_Fantozzi
Ulf Söderström	Ulf Söderström	http://fr.dbpedia.org/resource/Ulf_Söderström	http://dbpedia.org/resource/Ulf_Söderström
Urbain Haesaert	Urbain Haesaert	http://fr.dbpedia.org/resource/Urbain_Haesaert
Ufuk Talay	Ufuk Talay	http://fr.dbpedia.org/resource/Ufuk_Talay	http://dbpedia.org/resource/Ufuk_Talay
Ulysse Klotz	Ulysse Klotz	http://fr.dbpedia.org/resource/Ulysse_Klotz
Ursula Torday	Ursula Torday	http://fr.dbpedia.org/resource/Ursula_Torday	http://dbpedia.org/resource/Ursula_Torday
