Webster Chikabala	Webster Chikabala	http://fr.dbpedia.org/resource/Webster_Chikabala
Wilson Zambrano	Wilson Zambrano	http://fr.dbpedia.org/resource/Wilson_Zambrano
William Barthau	William Barthau	http://fr.dbpedia.org/resource/William_Barthau	http://dbpedia.org/resource/William_Barthau
Willem Maris	Willem Maris	http://fr.dbpedia.org/resource/Willem_Maris	http://dbpedia.org/resource/Willem_Maris
Wolf Haas	Wolf Haas	http://fr.dbpedia.org/resource/Wolf_Haas	http://dbpedia.org/resource/Wolf_Haas
Wolfgang Schulze	Wolfgang Schulze	http://fr.dbpedia.org/resource/Wolfgang_Schulze
Wulfstan Cantor	Wulfstan Cantor	http://fr.dbpedia.org/resource/Wulfstan_Cantor	http://dbpedia.org/resource/Wulfstan_the_Cantor
Wulfstan de Winchester	Wulfstan Cantor	http://fr.dbpedia.org/resource/Wulfstan_Cantor	http://dbpedia.org/resource/Wulfstan_the_Cantor
William Lyon Mackenzie King	William Lyon Mackenzie King	http://fr.dbpedia.org/resource/William_Lyon_Mackenzie_King	http://dbpedia.org/resource/William_Lyon_Mackenzie_King
Mackenzie King	William Lyon Mackenzie King	http://fr.dbpedia.org/resource/William_Lyon_Mackenzie_King	http://dbpedia.org/resource/William_Lyon_Mackenzie_King
Willie Irvine	Willie Irvine	http://fr.dbpedia.org/resource/Willie_Irvine	http://dbpedia.org/resource/Willie_Irvine
Władysław Gnyś	Władysław Gnyś	http://fr.dbpedia.org/resource/Władysław_Gnyś	http://dbpedia.org/resource/Władysław_Gnyś
Williams Martínez	Williams Martínez	http://fr.dbpedia.org/resource/Williams_Martínez	http://dbpedia.org/resource/Williams_Martínez
Williams Martinez	Williams Martínez	http://fr.dbpedia.org/resource/Williams_Martínez	http://dbpedia.org/resource/Williams_Martínez
Władysław Kosiniak-Kamysz	Władysław Kosiniak Kamysz	http://fr.dbpedia.org/resource/Władysław_Kosiniak-Kamysz
Wallis Clark	Wallis Clark	http://fr.dbpedia.org/resource/Wallis_Clark	http://dbpedia.org/resource/Wallis_Clark
Willem van Rekum	Willem van Rekum	http://fr.dbpedia.org/resource/Willem_van_Rekum	http://dbpedia.org/resource/Willem_van_Rekum
William Laparra	William Laparra	http://fr.dbpedia.org/resource/William_Laparra
William Brill	William Brill	http://fr.dbpedia.org/resource/William_Brill	http://dbpedia.org/resource/William_Brill_(RAAF_officer)
Wassim Naghmouchi	Wassim Naghmouchi	http://fr.dbpedia.org/resource/Wassim_Naghmouchi
Wendy Glenn	Wendy Glenn	http://fr.dbpedia.org/resource/Wendy_Glenn	http://dbpedia.org/resource/Wendy_Glenn
Wesley Snell	Wesley Snell	http://fr.dbpedia.org/resource/Wesley_Snell
William Rowley (amiral)	William Rowley (amiral)	http://fr.dbpedia.org/resource/William_Rowley_(amiral)	http://dbpedia.org/resource/William_Rowley_(Royal_Navy_officer)
Wally Voss	Wally Voss	http://fr.dbpedia.org/resource/Wally_Voss	http://dbpedia.org/resource/Wally_Voss
WALLY VOSS	Wally Voss	http://fr.dbpedia.org/resource/Wally_Voss	http://dbpedia.org/resource/Wally_Voss
Waldis Joaquín	Waldis Joaquín	http://fr.dbpedia.org/resource/Waldis_Joaquín	http://dbpedia.org/resource/Waldis_Joaquín
Waldis Joaquin	Waldis Joaquín	http://fr.dbpedia.org/resource/Waldis_Joaquín	http://dbpedia.org/resource/Waldis_Joaquín
William Marshall (tennis)	William Marshall (tennis)	http://fr.dbpedia.org/resource/William_Marshall_(tennis)	http://dbpedia.org/resource/William_Marshall_(tennis)
Watsky	Watsky	http://fr.dbpedia.org/resource/Watsky	http://dbpedia.org/resource/George_Watsky
George Watsky	Watsky	http://fr.dbpedia.org/resource/Watsky	http://dbpedia.org/resource/George_Watsky
Waylon Francis	Waylon Francis	http://fr.dbpedia.org/resource/Waylon_Francis	http://dbpedia.org/resource/Waylon_Francis
Walt Weiss	Walt Weiss	http://fr.dbpedia.org/resource/Walt_Weiss	http://dbpedia.org/resource/Walt_Weiss
William Dunbar (Code Lyoko)	William Dunbar (Code Lyoko)	http://fr.dbpedia.org/resource/William_Dunbar_(Code_Lyoko)
Wolfgang Lüth	Wolfgang Lüth	http://fr.dbpedia.org/resource/Wolfgang_Lüth	http://dbpedia.org/resource/Wolfgang_Lüth
Wolfgang Luth	Wolfgang Lüth	http://fr.dbpedia.org/resource/Wolfgang_Lüth	http://dbpedia.org/resource/Wolfgang_Lüth
Winfried Klepsch	Winfried Klepsch	http://fr.dbpedia.org/resource/Winfried_Klepsch	http://dbpedia.org/resource/Winfried_Klepsch
Waldemar Matysik	Waldemar Matysik	http://fr.dbpedia.org/resource/Waldemar_Matysik	http://dbpedia.org/resource/Waldemar_Matysik
Wulmar	Wulmar	http://fr.dbpedia.org/resource/Wulmar
Saint Wulmar	Wulmar	http://fr.dbpedia.org/resource/Wulmar
William Price Sanders	William Price Sanders	http://fr.dbpedia.org/resource/William_Price_Sanders	http://dbpedia.org/resource/William_P._Sanders
Walter Trout	Walter Trout	http://fr.dbpedia.org/resource/Walter_Trout	http://dbpedia.org/resource/Walter_Trout
Walter Trout Cooper	Walter Trout	http://fr.dbpedia.org/resource/Walter_Trout	http://dbpedia.org/resource/Walter_Trout
Wilfried Gohel	Wilfried Gohel	http://fr.dbpedia.org/resource/Wilfried_Gohel
Gohel	Wilfried Gohel	http://fr.dbpedia.org/resource/Wilfried_Gohel
Willy Rampf	Willy Rampf	http://fr.dbpedia.org/resource/Willy_Rampf	http://dbpedia.org/resource/Willy_Rampf
Wim Kooiman	Wim Kooiman	http://fr.dbpedia.org/resource/Wim_Kooiman
William Paul Young	William Paul Young	http://fr.dbpedia.org/resource/William_Paul_Young	http://dbpedia.org/resource/William_P._Young
William P. Young	William Paul Young	http://fr.dbpedia.org/resource/William_Paul_Young	http://dbpedia.org/resource/William_P._Young
Wido (abbé)	Wido (abbé)	http://fr.dbpedia.org/resource/Wido_(abbé)
Walter Isard	Walter Isard	http://fr.dbpedia.org/resource/Walter_Isard	http://dbpedia.org/resource/Walter_Isard
Woody Strode	Woody Strode	http://fr.dbpedia.org/resource/Woody_Strode	http://dbpedia.org/resource/Woody_Strode
Wilhelm Mohnke	Wilhelm Mohnke	http://fr.dbpedia.org/resource/Wilhelm_Mohnke	http://dbpedia.org/resource/Wilhelm_Mohnke
Wilmo Francioni	Wilmo Francioni	http://fr.dbpedia.org/resource/Wilmo_Francioni
Will Daniels	Will Daniels	http://fr.dbpedia.org/resource/Will_Daniels	http://dbpedia.org/resource/Will_Daniels
Warren Gamaliel Harding	Warren Gamaliel Harding	http://fr.dbpedia.org/resource/Warren_Gamaliel_Harding	http://dbpedia.org/resource/Warren_G._Harding
Warren G. Harding	Warren Gamaliel Harding	http://fr.dbpedia.org/resource/Warren_Gamaliel_Harding	http://dbpedia.org/resource/Warren_G._Harding
Warren Harding	Warren Gamaliel Harding	http://fr.dbpedia.org/resource/Warren_Gamaliel_Harding	http://dbpedia.org/resource/Warren_G._Harding
Wil Trapp	Wil Trapp	http://fr.dbpedia.org/resource/Wil_Trapp	http://dbpedia.org/resource/Wil_Trapp
Wiltrud Probst	Wiltrud Probst	http://fr.dbpedia.org/resource/Wiltrud_Probst	http://dbpedia.org/resource/Wiltrud_Probst
Walter Ricci	Walter Ricci	http://fr.dbpedia.org/resource/Walter_Ricci
Wojciech Rydz	Wojciech Rydz	http://fr.dbpedia.org/resource/Wojciech_Rydz	http://dbpedia.org/resource/Wojciech_Rydz
Wichaya Dechmitr	Wichaya Dechmitr	http://fr.dbpedia.org/resource/Wichaya_Dechmitr	http://dbpedia.org/resource/Sanrawat_Dechmitr
Wim Lagendaal	Wim Lagendaal	http://fr.dbpedia.org/resource/Wim_Lagendaal	http://dbpedia.org/resource/Wim_Lagendaal
Wellington Cândido da Silva Júnior	Wellington Cândido da Silva Júnior	http://fr.dbpedia.org/resource/Wellington_Cândido_da_Silva_Júnior	http://dbpedia.org/resource/Wellington_Júnior
William Bambridge (football)	William Bambridge (football)	http://fr.dbpedia.org/resource/William_Bambridge_(football)
William Bambridge	William Bambridge (football)	http://fr.dbpedia.org/resource/William_Bambridge_(football)
William Baimbridge	William Bambridge (football)	http://fr.dbpedia.org/resource/William_Bambridge_(football)
Willem Hofhuizen	Willem Hofhuizen	http://fr.dbpedia.org/resource/Willem_Hofhuizen	http://dbpedia.org/resource/Willem_Hofhuizen
Wayne Swan	Wayne Swan	http://fr.dbpedia.org/resource/Wayne_Swan	http://dbpedia.org/resource/Wayne_Swan
Walter Kingsford	Walter Kingsford	http://fr.dbpedia.org/resource/Walter_Kingsford	http://dbpedia.org/resource/Walter_Kingsford
