Aḥmad ibn Fāris ibn Zakarīyā  al-Qazwīnī al-Rāzī Abū al-Ḥusayn	Ibn Fāris, Aḥmad al Qazwīnī al Rāzī Abū al Ḥusayn	http://data.bnf.fr/ark:/12148/cb124402413#foaf:Person	http://www.idref.fr/033545006
Aḥmad al Qazwīnī al Rāzī Abū al Ḥusayn Ibn Fāris	Ibn Fāris, Aḥmad al Qazwīnī al Rāzī Abū al Ḥusayn	http://data.bnf.fr/ark:/12148/cb124402413#foaf:Person	http://www.idref.fr/033545006
M. Ibn Fāris	Ibn Fāris, Aḥmad al Qazwīnī al Rāzī Abū al Ḥusayn	http://data.bnf.fr/ark:/12148/cb124402413#foaf:Person	http://www.idref.fr/033545006
Ibn Fāris	Ibn Fāris, Aḥmad al Qazwīnī al Rāzī Abū al Ḥusayn	http://data.bnf.fr/ark:/12148/cb124402413#foaf:Person	http://www.idref.fr/033545006
A Q R A H Ibn Fāris	Ibn Fāris, Aḥmad al Qazwīnī al Rāzī Abū al Ḥusayn	http://data.bnf.fr/ark:/12148/cb124402413#foaf:Person	http://www.idref.fr/033545006
M Aḥmad al Qazwīnī al Rāzī Abū al Ḥusayn Ibn Fāris	Ibn Fāris, Aḥmad al Qazwīnī al Rāzī Abū al Ḥusayn	http://data.bnf.fr/ark:/12148/cb124402413#foaf:Person	http://www.idref.fr/033545006
M. Aḥmad al Qazwīnī al Rāzī Abū al Ḥusayn Ibn Fāris	Ibn Fāris, Aḥmad al Qazwīnī al Rāzī Abū al Ḥusayn	http://data.bnf.fr/ark:/12148/cb124402413#foaf:Person	http://www.idref.fr/033545006
M Ibn Fāris	Ibn Fāris, Aḥmad al Qazwīnī al Rāzī Abū al Ḥusayn	http://data.bnf.fr/ark:/12148/cb124402413#foaf:Person	http://www.idref.fr/033545006
A. Q. R. A. H. Ibn Fāris	Ibn Fāris, Aḥmad al Qazwīnī al Rāzī Abū al Ḥusayn	http://data.bnf.fr/ark:/12148/cb124402413#foaf:Person	http://www.idref.fr/033545006
Aḥmad Abū al-Ḥusayn Ibn Fāris al-Qazwīnī	Ibn Fāris, Aḥmad al Qazwīnī al Rāzī Abū al Ḥusayn	http://data.bnf.fr/ark:/12148/cb124402413#foaf:Person	http://www.idref.fr/033545006
Aḥmad ibn Fāris ibn Zakarīyā al-Qazwīnī Abū al-Ḥusayn al- Rāzī	Ibn Fāris, Aḥmad al Qazwīnī al Rāzī Abū al Ḥusayn	http://data.bnf.fr/ark:/12148/cb124402413#foaf:Person	http://www.idref.fr/033545006
Tōen Iwakagi	Iwakagi, Tōen (1774-1849)	http://data.bnf.fr/ark:/12148/cb16500433x#foaf:Person
M Iwakagi	Iwakagi, Tōen (1774-1849)	http://data.bnf.fr/ark:/12148/cb16500433x#foaf:Person
