Bohumil Markalous	John, Jaromír (1882-1952)	http://data.bnf.fr/ark:/12148/cb126729017#foaf:Person
Jaromír John	John, Jaromír (1882-1952)	http://data.bnf.fr/ark:/12148/cb126729017#foaf:Person
John	John, Jaromír (1882-1952)	http://data.bnf.fr/ark:/12148/cb126729017#foaf:Person
J John	John, Jaromír (1882-1952)	http://data.bnf.fr/ark:/12148/cb126729017#foaf:Person
J. John	John, Jaromír (1882-1952)	http://data.bnf.fr/ark:/12148/cb126729017#foaf:Person
M John	John, Jaromír (1882-1952)	http://data.bnf.fr/ark:/12148/cb126729017#foaf:Person
M Jaromír John	John, Jaromír (1882-1952)	http://data.bnf.fr/ark:/12148/cb126729017#foaf:Person
M. John	John, Jaromír (1882-1952)	http://data.bnf.fr/ark:/12148/cb126729017#foaf:Person
M. Jaromír John	John, Jaromír (1882-1952)	http://data.bnf.fr/ark:/12148/cb126729017#foaf:Person
Pierre-François Junqua	Junqua, François (1821-1899)	http://data.bnf.fr/ark:/12148/cb10587570x#foaf:Person
François Junqua	Junqua, François (1821-1899)	http://data.bnf.fr/ark:/12148/cb10587570x#foaf:Person
Junqua	Junqua, François (1821-1899)	http://data.bnf.fr/ark:/12148/cb10587570x#foaf:Person
F Junqua	Junqua, François (1821-1899)	http://data.bnf.fr/ark:/12148/cb10587570x#foaf:Person
F. Junqua	Junqua, François (1821-1899)	http://data.bnf.fr/ark:/12148/cb10587570x#foaf:Person
M Junqua	Junqua, François (1821-1899)	http://data.bnf.fr/ark:/12148/cb10587570x#foaf:Person
M François Junqua	Junqua, François (1821-1899)	http://data.bnf.fr/ark:/12148/cb10587570x#foaf:Person
M. Junqua	Junqua, François (1821-1899)	http://data.bnf.fr/ark:/12148/cb10587570x#foaf:Person
M. François Junqua	Junqua, François (1821-1899)	http://data.bnf.fr/ark:/12148/cb10587570x#foaf:Person
Hermann Jadlowker	Jadlowker, Hermann (1877-1953)	http://data.bnf.fr/ark:/12148/cb13895549r#foaf:Person
Jadlowker	Jadlowker, Hermann (1877-1953)	http://data.bnf.fr/ark:/12148/cb13895549r#foaf:Person
H Jadlowker	Jadlowker, Hermann (1877-1953)	http://data.bnf.fr/ark:/12148/cb13895549r#foaf:Person
H. Jadlowker	Jadlowker, Hermann (1877-1953)	http://data.bnf.fr/ark:/12148/cb13895549r#foaf:Person
M Jadlowker	Jadlowker, Hermann (1877-1953)	http://data.bnf.fr/ark:/12148/cb13895549r#foaf:Person
M Hermann Jadlowker	Jadlowker, Hermann (1877-1953)	http://data.bnf.fr/ark:/12148/cb13895549r#foaf:Person
M. Jadlowker	Jadlowker, Hermann (1877-1953)	http://data.bnf.fr/ark:/12148/cb13895549r#foaf:Person
M. Hermann Jadlowker	Jadlowker, Hermann (1877-1953)	http://data.bnf.fr/ark:/12148/cb13895549r#foaf:Person
Philippe de la Trinité	Julien, Esprit (1603-1671)	http://data.bnf.fr/ark:/12148/cb16192929q#foaf:Person	http://www.idref.fr/061795143
Esprit Julien	Julien, Esprit (1603-1671)	http://data.bnf.fr/ark:/12148/cb16192929q#foaf:Person	http://www.idref.fr/061795143
Julien	Julien, Esprit (1603-1671)	http://data.bnf.fr/ark:/12148/cb16192929q#foaf:Person	http://www.idref.fr/061795143
E Julien	Julien, Esprit (1603-1671)	http://data.bnf.fr/ark:/12148/cb16192929q#foaf:Person	http://www.idref.fr/061795143
E. Julien	Julien, Esprit (1603-1671)	http://data.bnf.fr/ark:/12148/cb16192929q#foaf:Person	http://www.idref.fr/061795143
M Julien	Julien, Esprit (1603-1671)	http://data.bnf.fr/ark:/12148/cb16192929q#foaf:Person	http://www.idref.fr/061795143
M Esprit Julien	Julien, Esprit (1603-1671)	http://data.bnf.fr/ark:/12148/cb16192929q#foaf:Person	http://www.idref.fr/061795143
M. Julien	Julien, Esprit (1603-1671)	http://data.bnf.fr/ark:/12148/cb16192929q#foaf:Person	http://www.idref.fr/061795143
M. Esprit Julien	Julien, Esprit (1603-1671)	http://data.bnf.fr/ark:/12148/cb16192929q#foaf:Person	http://www.idref.fr/061795143
Philippus a Sanctissima Trinitate	Julien, Esprit (1603-1671)	http://data.bnf.fr/ark:/12148/cb16192929q#foaf:Person	http://www.idref.fr/061795143
Filippo della SS. Trinità	Julien, Esprit (1603-1671)	http://data.bnf.fr/ark:/12148/cb16192929q#foaf:Person	http://www.idref.fr/061795143
Philippe de la Très Sainte Trinité	Julien, Esprit (1603-1671)	http://data.bnf.fr/ark:/12148/cb16192929q#foaf:Person	http://www.idref.fr/061795143
Colette Jéramec	Jéramec, Colette (1896-1970)	http://data.bnf.fr/ark:/12148/cb123529270#foaf:Person	http://www.idref.fr/032513909
Jéramec	Jéramec, Colette (1896-1970)	http://data.bnf.fr/ark:/12148/cb123529270#foaf:Person	http://www.idref.fr/032513909
C Jéramec	Jéramec, Colette (1896-1970)	http://data.bnf.fr/ark:/12148/cb123529270#foaf:Person	http://www.idref.fr/032513909
C. Jéramec	Jéramec, Colette (1896-1970)	http://data.bnf.fr/ark:/12148/cb123529270#foaf:Person	http://www.idref.fr/032513909
M Jéramec	Jéramec, Colette (1896-1970)	http://data.bnf.fr/ark:/12148/cb123529270#foaf:Person	http://www.idref.fr/032513909
M Colette Jéramec	Jéramec, Colette (1896-1970)	http://data.bnf.fr/ark:/12148/cb123529270#foaf:Person	http://www.idref.fr/032513909
M. Jéramec	Jéramec, Colette (1896-1970)	http://data.bnf.fr/ark:/12148/cb123529270#foaf:Person	http://www.idref.fr/032513909
M. Colette Jéramec	Jéramec, Colette (1896-1970)	http://data.bnf.fr/ark:/12148/cb123529270#foaf:Person	http://www.idref.fr/032513909
Joannes	Jean, (1220-1277)	http://data.bnf.fr/ark:/12148/cb12179903r#foaf:Person	http://www.idref.fr/070992134
 Jean	Jean, (1220-1277)	http://data.bnf.fr/ark:/12148/cb12179903r#foaf:Person	http://www.idref.fr/070992134
Jean	Jean, (1220-1277)	http://data.bnf.fr/ark:/12148/cb12179903r#foaf:Person	http://www.idref.fr/070992134
 Jean	Jean, (1220-1277)	http://data.bnf.fr/ark:/12148/cb12179903r#foaf:Person	http://www.idref.fr/070992134
. Jean	Jean, (1220-1277)	http://data.bnf.fr/ark:/12148/cb12179903r#foaf:Person	http://www.idref.fr/070992134
M Jean	Jean, (1220-1277)	http://data.bnf.fr/ark:/12148/cb12179903r#foaf:Person	http://www.idref.fr/070992134
M  Jean	Jean, (1220-1277)	http://data.bnf.fr/ark:/12148/cb12179903r#foaf:Person	http://www.idref.fr/070992134
M. Jean	Jean, (1220-1277)	http://data.bnf.fr/ark:/12148/cb12179903r#foaf:Person	http://www.idref.fr/070992134
M.  Jean	Jean, (1220-1277)	http://data.bnf.fr/ark:/12148/cb12179903r#foaf:Person	http://www.idref.fr/070992134
Pierre d'Espagne	Jean, (1220-1277)	http://data.bnf.fr/ark:/12148/cb12179903r#foaf:Person	http://www.idref.fr/070992134
Johannes	Jean, (1220-1277)	http://data.bnf.fr/ark:/12148/cb12179903r#foaf:Person	http://www.idref.fr/070992134
Pedro Julião Rebello	Jean, (1220-1277)	http://data.bnf.fr/ark:/12148/cb12179903r#foaf:Person	http://www.idref.fr/070992134
Pedro Hispano	Jean, (1220-1277)	http://data.bnf.fr/ark:/12148/cb12179903r#foaf:Person	http://www.idref.fr/070992134
Pietro Ispano	Jean, (1220-1277)	http://data.bnf.fr/ark:/12148/cb12179903r#foaf:Person	http://www.idref.fr/070992134
Petrus Yspanus	Jean, (1220-1277)	http://data.bnf.fr/ark:/12148/cb12179903r#foaf:Person	http://www.idref.fr/070992134
John Baptist Jackson	Jackson, John Baptist (1701--)	http://data.bnf.fr/ark:/12148/cb14566725j#foaf:Person
Jackson	Jackson, John Baptist (1701--)	http://data.bnf.fr/ark:/12148/cb14566725j#foaf:Person
J B Jackson	Jackson, John Baptist (1701--)	http://data.bnf.fr/ark:/12148/cb14566725j#foaf:Person
J. B. Jackson	Jackson, John Baptist (1701--)	http://data.bnf.fr/ark:/12148/cb14566725j#foaf:Person
M Jackson	Jackson, John Baptist (1701--)	http://data.bnf.fr/ark:/12148/cb14566725j#foaf:Person
M John Baptist Jackson	Jackson, John Baptist (1701--)	http://data.bnf.fr/ark:/12148/cb14566725j#foaf:Person
M. Jackson	Jackson, John Baptist (1701--)	http://data.bnf.fr/ark:/12148/cb14566725j#foaf:Person
M. John Baptist Jackson	Jackson, John Baptist (1701--)	http://data.bnf.fr/ark:/12148/cb14566725j#foaf:Person
Grégoire Jagot	Jagot, Grégoire (1750-1838)	http://data.bnf.fr/ark:/12148/cb101747251#foaf:Person
Jagot	Jagot, Grégoire (1750-1838)	http://data.bnf.fr/ark:/12148/cb101747251#foaf:Person
G Jagot	Jagot, Grégoire (1750-1838)	http://data.bnf.fr/ark:/12148/cb101747251#foaf:Person
G. Jagot	Jagot, Grégoire (1750-1838)	http://data.bnf.fr/ark:/12148/cb101747251#foaf:Person
M Jagot	Jagot, Grégoire (1750-1838)	http://data.bnf.fr/ark:/12148/cb101747251#foaf:Person
