Barbara Karinska	Karinska, Barbara (1886-1983)	http://data.bnf.fr/ark:/12148/cb148494931#foaf:Person
Karinska	Karinska, Barbara (1886-1983)	http://data.bnf.fr/ark:/12148/cb148494931#foaf:Person
B Karinska	Karinska, Barbara (1886-1983)	http://data.bnf.fr/ark:/12148/cb148494931#foaf:Person
B. Karinska	Karinska, Barbara (1886-1983)	http://data.bnf.fr/ark:/12148/cb148494931#foaf:Person
Mme Karinska	Karinska, Barbara (1886-1983)	http://data.bnf.fr/ark:/12148/cb148494931#foaf:Person
Mme Barbara Karinska	Karinska, Barbara (1886-1983)	http://data.bnf.fr/ark:/12148/cb148494931#foaf:Person
Mme. Karinska	Karinska, Barbara (1886-1983)	http://data.bnf.fr/ark:/12148/cb148494931#foaf:Person
Mme. Barbara Karinska	Karinska, Barbara (1886-1983)	http://data.bnf.fr/ark:/12148/cb148494931#foaf:Person
Heino Wilhelm Daniel Kaski	Kaski, Heino (1885-1957)	http://data.bnf.fr/ark:/12148/cb13936301c#foaf:Person
Heino Kaski	Kaski, Heino (1885-1957)	http://data.bnf.fr/ark:/12148/cb13936301c#foaf:Person
Kaski	Kaski, Heino (1885-1957)	http://data.bnf.fr/ark:/12148/cb13936301c#foaf:Person
H Kaski	Kaski, Heino (1885-1957)	http://data.bnf.fr/ark:/12148/cb13936301c#foaf:Person
H. Kaski	Kaski, Heino (1885-1957)	http://data.bnf.fr/ark:/12148/cb13936301c#foaf:Person
M Kaski	Kaski, Heino (1885-1957)	http://data.bnf.fr/ark:/12148/cb13936301c#foaf:Person
M Heino Kaski	Kaski, Heino (1885-1957)	http://data.bnf.fr/ark:/12148/cb13936301c#foaf:Person
M. Kaski	Kaski, Heino (1885-1957)	http://data.bnf.fr/ark:/12148/cb13936301c#foaf:Person
M. Heino Kaski	Kaski, Heino (1885-1957)	http://data.bnf.fr/ark:/12148/cb13936301c#foaf:Person
Wilhelm Küstner	Küstner, Christian Wilhelm (1721-1785)	http://data.bnf.fr/ark:/12148/cb16033726z#foaf:Person
Christian Wilhelm Küstner	Küstner, Christian Wilhelm (1721-1785)	http://data.bnf.fr/ark:/12148/cb16033726z#foaf:Person
Küstner	Küstner, Christian Wilhelm (1721-1785)	http://data.bnf.fr/ark:/12148/cb16033726z#foaf:Person
C W Küstner	Küstner, Christian Wilhelm (1721-1785)	http://data.bnf.fr/ark:/12148/cb16033726z#foaf:Person
C. W. Küstner	Küstner, Christian Wilhelm (1721-1785)	http://data.bnf.fr/ark:/12148/cb16033726z#foaf:Person
M Küstner	Küstner, Christian Wilhelm (1721-1785)	http://data.bnf.fr/ark:/12148/cb16033726z#foaf:Person
M Christian Wilhelm Küstner	Küstner, Christian Wilhelm (1721-1785)	http://data.bnf.fr/ark:/12148/cb16033726z#foaf:Person
M. Küstner	Küstner, Christian Wilhelm (1721-1785)	http://data.bnf.fr/ark:/12148/cb16033726z#foaf:Person
M. Christian Wilhelm Küstner	Küstner, Christian Wilhelm (1721-1785)	http://data.bnf.fr/ark:/12148/cb16033726z#foaf:Person
Philip Parker King	King, Philip Parker (1793-1856)	http://data.bnf.fr/ark:/12148/cb105030520#foaf:Person	http://dbpedia.org/resource/Philip_Parker_King	http://www.idref.fr/087182904
King	King, Philip Parker (1793-1856)	http://data.bnf.fr/ark:/12148/cb105030520#foaf:Person	http://dbpedia.org/resource/Philip_Parker_King	http://www.idref.fr/087182904
P P King	King, Philip Parker (1793-1856)	http://data.bnf.fr/ark:/12148/cb105030520#foaf:Person	http://dbpedia.org/resource/Philip_Parker_King	http://www.idref.fr/087182904
P. P. King	King, Philip Parker (1793-1856)	http://data.bnf.fr/ark:/12148/cb105030520#foaf:Person	http://dbpedia.org/resource/Philip_Parker_King	http://www.idref.fr/087182904
M King	King, Philip Parker (1793-1856)	http://data.bnf.fr/ark:/12148/cb105030520#foaf:Person	http://dbpedia.org/resource/Philip_Parker_King	http://www.idref.fr/087182904
M Philip Parker King	King, Philip Parker (1793-1856)	http://data.bnf.fr/ark:/12148/cb105030520#foaf:Person	http://dbpedia.org/resource/Philip_Parker_King	http://www.idref.fr/087182904
M. King	King, Philip Parker (1793-1856)	http://data.bnf.fr/ark:/12148/cb105030520#foaf:Person	http://dbpedia.org/resource/Philip_Parker_King	http://www.idref.fr/087182904
M. Philip Parker King	King, Philip Parker (1793-1856)	http://data.bnf.fr/ark:/12148/cb105030520#foaf:Person	http://dbpedia.org/resource/Philip_Parker_King	http://www.idref.fr/087182904
Jean d' Estienne	Kirwan, Charles de (1829-1917)	http://data.bnf.fr/ark:/12148/cb12378855t#foaf:Person	http://www.idref.fr/067021425
Charles de Kirwan	Kirwan, Charles de (1829-1917)	http://data.bnf.fr/ark:/12148/cb12378855t#foaf:Person	http://www.idref.fr/067021425
Kirwan	Kirwan, Charles de (1829-1917)	http://data.bnf.fr/ark:/12148/cb12378855t#foaf:Person	http://www.idref.fr/067021425
de Kirwan	Kirwan, Charles de (1829-1917)	http://data.bnf.fr/ark:/12148/cb12378855t#foaf:Person	http://www.idref.fr/067021425
De Kirwan	Kirwan, Charles de (1829-1917)	http://data.bnf.fr/ark:/12148/cb12378855t#foaf:Person	http://www.idref.fr/067021425
C Kirwan	Kirwan, Charles de (1829-1917)	http://data.bnf.fr/ark:/12148/cb12378855t#foaf:Person	http://www.idref.fr/067021425
C. Kirwan	Kirwan, Charles de (1829-1917)	http://data.bnf.fr/ark:/12148/cb12378855t#foaf:Person	http://www.idref.fr/067021425
C de Kirwan	Kirwan, Charles de (1829-1917)	http://data.bnf.fr/ark:/12148/cb12378855t#foaf:Person	http://www.idref.fr/067021425
C De Kirwan	Kirwan, Charles de (1829-1917)	http://data.bnf.fr/ark:/12148/cb12378855t#foaf:Person	http://www.idref.fr/067021425
C. De Kirwan	Kirwan, Charles de (1829-1917)	http://data.bnf.fr/ark:/12148/cb12378855t#foaf:Person	http://www.idref.fr/067021425
C. de Kirwan	Kirwan, Charles de (1829-1917)	http://data.bnf.fr/ark:/12148/cb12378855t#foaf:Person	http://www.idref.fr/067021425
M de Kirwan	Kirwan, Charles de (1829-1917)	http://data.bnf.fr/ark:/12148/cb12378855t#foaf:Person	http://www.idref.fr/067021425
M Kirwan	Kirwan, Charles de (1829-1917)	http://data.bnf.fr/ark:/12148/cb12378855t#foaf:Person	http://www.idref.fr/067021425
M Kirwan	Kirwan, Charles de (1829-1917)	http://data.bnf.fr/ark:/12148/cb12378855t#foaf:Person	http://www.idref.fr/067021425
M Charles de Kirwan	Kirwan, Charles de (1829-1917)	http://data.bnf.fr/ark:/12148/cb12378855t#foaf:Person	http://www.idref.fr/067021425
M. Kirwan	Kirwan, Charles de (1829-1917)	http://data.bnf.fr/ark:/12148/cb12378855t#foaf:Person	http://www.idref.fr/067021425
M. Charles de Kirwan	Kirwan, Charles de (1829-1917)	http://data.bnf.fr/ark:/12148/cb12378855t#foaf:Person	http://www.idref.fr/067021425
C. S. J ***	Kirwan, Charles de (1829-1917)	http://data.bnf.fr/ark:/12148/cb12378855t#foaf:Person	http://www.idref.fr/067021425
Anton Karcher	Karcher, Anton (1760--)	http://data.bnf.fr/ark:/12148/cb14956451r#foaf:Person
Karcher	Karcher, Anton (1760--)	http://data.bnf.fr/ark:/12148/cb14956451r#foaf:Person
A Karcher	Karcher, Anton (1760--)	http://data.bnf.fr/ark:/12148/cb14956451r#foaf:Person
A. Karcher	Karcher, Anton (1760--)	http://data.bnf.fr/ark:/12148/cb14956451r#foaf:Person
M Karcher	Karcher, Anton (1760--)	http://data.bnf.fr/ark:/12148/cb14956451r#foaf:Person
M Anton Karcher	Karcher, Anton (1760--)	http://data.bnf.fr/ark:/12148/cb14956451r#foaf:Person
M. Karcher	Karcher, Anton (1760--)	http://data.bnf.fr/ark:/12148/cb14956451r#foaf:Person
M. Anton Karcher	Karcher, Anton (1760--)	http://data.bnf.fr/ark:/12148/cb14956451r#foaf:Person
Iso Kršnjavi	Kršnjavi, Iso (1845-1927)	http://data.bnf.fr/ark:/12148/cb120734101#foaf:Person	http://www.idref.fr/029020700
