Ognibene da Lonigo	Omnibonus Leonicenus, (1412-1500)	http://data.bnf.fr/ark:/12148/cb131640390#foaf:Person	http://www.idref.fr/068527551
 Omnibonus Leonicenus	Omnibonus Leonicenus, (1412-1500)	http://data.bnf.fr/ark:/12148/cb131640390#foaf:Person	http://www.idref.fr/068527551
Omnibonus Leonicenus	Omnibonus Leonicenus, (1412-1500)	http://data.bnf.fr/ark:/12148/cb131640390#foaf:Person	http://www.idref.fr/068527551
 Omnibonus Leonicenus	Omnibonus Leonicenus, (1412-1500)	http://data.bnf.fr/ark:/12148/cb131640390#foaf:Person	http://www.idref.fr/068527551
. Omnibonus Leonicenus	Omnibonus Leonicenus, (1412-1500)	http://data.bnf.fr/ark:/12148/cb131640390#foaf:Person	http://www.idref.fr/068527551
M Omnibonus Leonicenus	Omnibonus Leonicenus, (1412-1500)	http://data.bnf.fr/ark:/12148/cb131640390#foaf:Person	http://www.idref.fr/068527551
M  Omnibonus Leonicenus	Omnibonus Leonicenus, (1412-1500)	http://data.bnf.fr/ark:/12148/cb131640390#foaf:Person	http://www.idref.fr/068527551
M. Omnibonus Leonicenus	Omnibonus Leonicenus, (1412-1500)	http://data.bnf.fr/ark:/12148/cb131640390#foaf:Person	http://www.idref.fr/068527551
M.  Omnibonus Leonicenus	Omnibonus Leonicenus, (1412-1500)	http://data.bnf.fr/ark:/12148/cb131640390#foaf:Person	http://www.idref.fr/068527551
Ognibene dei Bonisoli	Omnibonus Leonicenus, (1412-1500)	http://data.bnf.fr/ark:/12148/cb131640390#foaf:Person	http://www.idref.fr/068527551
Ognibene Leoniceno	Omnibonus Leonicenus, (1412-1500)	http://data.bnf.fr/ark:/12148/cb131640390#foaf:Person	http://www.idref.fr/068527551
Ognibene Da Lonigo	Omnibonus Leonicenus, (1412-1500)	http://data.bnf.fr/ark:/12148/cb131640390#foaf:Person	http://www.idref.fr/068527551
Ognibene Dei Bonisoli	Omnibonus Leonicenus, (1412-1500)	http://data.bnf.fr/ark:/12148/cb131640390#foaf:Person	http://www.idref.fr/068527551
Omnibonus Vicentinus	Omnibonus Leonicenus, (1412-1500)	http://data.bnf.fr/ark:/12148/cb131640390#foaf:Person	http://www.idref.fr/068527551
Omnibonus Vincentinus	Omnibonus Leonicenus, (1412-1500)	http://data.bnf.fr/ark:/12148/cb131640390#foaf:Person	http://www.idref.fr/068527551
Omnibono Leoniceno	Omnibonus Leonicenus, (1412-1500)	http://data.bnf.fr/ark:/12148/cb131640390#foaf:Person	http://www.idref.fr/068527551
 Outis	Outis, (1867-1949)	http://data.bnf.fr/ark:/12148/cb10192546c#foaf:Person
Outis	Outis, (1867-1949)	http://data.bnf.fr/ark:/12148/cb10192546c#foaf:Person
 Outis	Outis, (1867-1949)	http://data.bnf.fr/ark:/12148/cb10192546c#foaf:Person
. Outis	Outis, (1867-1949)	http://data.bnf.fr/ark:/12148/cb10192546c#foaf:Person
M Outis	Outis, (1867-1949)	http://data.bnf.fr/ark:/12148/cb10192546c#foaf:Person
M  Outis	Outis, (1867-1949)	http://data.bnf.fr/ark:/12148/cb10192546c#foaf:Person
M. Outis	Outis, (1867-1949)	http://data.bnf.fr/ark:/12148/cb10192546c#foaf:Person
M.  Outis	Outis, (1867-1949)	http://data.bnf.fr/ark:/12148/cb10192546c#foaf:Person
Paolo Olivieri	Olivieri, Paolo (1776-1794)	http://data.bnf.fr/ark:/12148/cb13513439h#foaf:Person
Olivieri	Olivieri, Paolo (1776-1794)	http://data.bnf.fr/ark:/12148/cb13513439h#foaf:Person
P Olivieri	Olivieri, Paolo (1776-1794)	http://data.bnf.fr/ark:/12148/cb13513439h#foaf:Person
P. Olivieri	Olivieri, Paolo (1776-1794)	http://data.bnf.fr/ark:/12148/cb13513439h#foaf:Person
M Olivieri	Olivieri, Paolo (1776-1794)	http://data.bnf.fr/ark:/12148/cb13513439h#foaf:Person
M Paolo Olivieri	Olivieri, Paolo (1776-1794)	http://data.bnf.fr/ark:/12148/cb13513439h#foaf:Person
M. Olivieri	Olivieri, Paolo (1776-1794)	http://data.bnf.fr/ark:/12148/cb13513439h#foaf:Person
M. Paolo Olivieri	Olivieri, Paolo (1776-1794)	http://data.bnf.fr/ark:/12148/cb13513439h#foaf:Person
Théodore Oudet	Oudet, Théodore (1793-1866)	http://data.bnf.fr/ark:/12148/cb10367686t#foaf:Person
Oudet	Oudet, Théodore (1793-1866)	http://data.bnf.fr/ark:/12148/cb10367686t#foaf:Person
T Oudet	Oudet, Théodore (1793-1866)	http://data.bnf.fr/ark:/12148/cb10367686t#foaf:Person
T. Oudet	Oudet, Théodore (1793-1866)	http://data.bnf.fr/ark:/12148/cb10367686t#foaf:Person
M Oudet	Oudet, Théodore (1793-1866)	http://data.bnf.fr/ark:/12148/cb10367686t#foaf:Person
M Théodore Oudet	Oudet, Théodore (1793-1866)	http://data.bnf.fr/ark:/12148/cb10367686t#foaf:Person
M. Oudet	Oudet, Théodore (1793-1866)	http://data.bnf.fr/ark:/12148/cb10367686t#foaf:Person
M. Théodore Oudet	Oudet, Théodore (1793-1866)	http://data.bnf.fr/ark:/12148/cb10367686t#foaf:Person
Henri Omont	Omont, Henri (1857-1940)	http://data.bnf.fr/ark:/12148/cb12139851h#foaf:Person	http://www.idref.fr/029860733	http://dbpedia.org/resource/Henri_Omont
Omont	Omont, Henri (1857-1940)	http://data.bnf.fr/ark:/12148/cb12139851h#foaf:Person	http://www.idref.fr/029860733	http://dbpedia.org/resource/Henri_Omont
H Omont	Omont, Henri (1857-1940)	http://data.bnf.fr/ark:/12148/cb12139851h#foaf:Person	http://www.idref.fr/029860733	http://dbpedia.org/resource/Henri_Omont
H. Omont	Omont, Henri (1857-1940)	http://data.bnf.fr/ark:/12148/cb12139851h#foaf:Person	http://www.idref.fr/029860733	http://dbpedia.org/resource/Henri_Omont
M Omont	Omont, Henri (1857-1940)	http://data.bnf.fr/ark:/12148/cb12139851h#foaf:Person	http://www.idref.fr/029860733	http://dbpedia.org/resource/Henri_Omont
M Henri Omont	Omont, Henri (1857-1940)	http://data.bnf.fr/ark:/12148/cb12139851h#foaf:Person	http://www.idref.fr/029860733	http://dbpedia.org/resource/Henri_Omont
M. Omont	Omont, Henri (1857-1940)	http://data.bnf.fr/ark:/12148/cb12139851h#foaf:Person	http://www.idref.fr/029860733	http://dbpedia.org/resource/Henri_Omont
M. Henri Omont	Omont, Henri (1857-1940)	http://data.bnf.fr/ark:/12148/cb12139851h#foaf:Person	http://www.idref.fr/029860733	http://dbpedia.org/resource/Henri_Omont
Nobunaga Oda	Oda, Nobunaga (1534-1582)	http://data.bnf.fr/ark:/12148/cb120016997#foaf:Person
Oda	Oda, Nobunaga (1534-1582)	http://data.bnf.fr/ark:/12148/cb120016997#foaf:Person
N Oda	Oda, Nobunaga (1534-1582)	http://data.bnf.fr/ark:/12148/cb120016997#foaf:Person
N. Oda	Oda, Nobunaga (1534-1582)	http://data.bnf.fr/ark:/12148/cb120016997#foaf:Person
M Oda	Oda, Nobunaga (1534-1582)	http://data.bnf.fr/ark:/12148/cb120016997#foaf:Person
M Nobunaga Oda	Oda, Nobunaga (1534-1582)	http://data.bnf.fr/ark:/12148/cb120016997#foaf:Person
M. Oda	Oda, Nobunaga (1534-1582)	http://data.bnf.fr/ark:/12148/cb120016997#foaf:Person
M. Nobunaga Oda	Oda, Nobunaga (1534-1582)	http://data.bnf.fr/ark:/12148/cb120016997#foaf:Person
Walter Friedrich Otto	Otto, Walter Friedrich (1874-1958)	http://data.bnf.fr/ark:/12148/cb11918273r#foaf:Person	http://dbpedia.org/resource/Walter_F._Otto	http://www.idref.fr/027054314
Otto	Otto, Walter Friedrich (1874-1958)	http://data.bnf.fr/ark:/12148/cb11918273r#foaf:Person	http://dbpedia.org/resource/Walter_F._Otto	http://www.idref.fr/027054314
W F Otto	Otto, Walter Friedrich (1874-1958)	http://data.bnf.fr/ark:/12148/cb11918273r#foaf:Person	http://dbpedia.org/resource/Walter_F._Otto	http://www.idref.fr/027054314
W. F. Otto	Otto, Walter Friedrich (1874-1958)	http://data.bnf.fr/ark:/12148/cb11918273r#foaf:Person	http://dbpedia.org/resource/Walter_F._Otto	http://www.idref.fr/027054314
M Otto	Otto, Walter Friedrich (1874-1958)	http://data.bnf.fr/ark:/12148/cb11918273r#foaf:Person	http://dbpedia.org/resource/Walter_F._Otto	http://www.idref.fr/027054314
M Walter Friedrich Otto	Otto, Walter Friedrich (1874-1958)	http://data.bnf.fr/ark:/12148/cb11918273r#foaf:Person	http://dbpedia.org/resource/Walter_F._Otto	http://www.idref.fr/027054314
M. Otto	Otto, Walter Friedrich (1874-1958)	http://data.bnf.fr/ark:/12148/cb11918273r#foaf:Person	http://dbpedia.org/resource/Walter_F._Otto	http://www.idref.fr/027054314
M. Walter Friedrich Otto	Otto, Walter Friedrich (1874-1958)	http://data.bnf.fr/ark:/12148/cb11918273r#foaf:Person	http://dbpedia.org/resource/Walter_F._Otto	http://www.idref.fr/027054314
Arthur Omre	Omre, Arthur (1887-1967)	http://data.bnf.fr/ark:/12148/cb12516934r#foaf:Person	http://dbpedia.org/resource/Arthur_Omre	http://www.idref.fr/034411143
Omre	Omre, Arthur (1887-1967)	http://data.bnf.fr/ark:/12148/cb12516934r#foaf:Person	http://dbpedia.org/resource/Arthur_Omre	http://www.idref.fr/034411143
A Omre	Omre, Arthur (1887-1967)	http://data.bnf.fr/ark:/12148/cb12516934r#foaf:Person	http://dbpedia.org/resource/Arthur_Omre	http://www.idref.fr/034411143
A. Omre	Omre, Arthur (1887-1967)	http://data.bnf.fr/ark:/12148/cb12516934r#foaf:Person	http://dbpedia.org/resource/Arthur_Omre	http://www.idref.fr/034411143
M Omre	Omre, Arthur (1887-1967)	http://data.bnf.fr/ark:/12148/cb12516934r#foaf:Person	http://dbpedia.org/resource/Arthur_Omre	http://www.idref.fr/034411143
M Arthur Omre	Omre, Arthur (1887-1967)	http://data.bnf.fr/ark:/12148/cb12516934r#foaf:Person	http://dbpedia.org/resource/Arthur_Omre	http://www.idref.fr/034411143
M. Omre	Omre, Arthur (1887-1967)	http://data.bnf.fr/ark:/12148/cb12516934r#foaf:Person	http://dbpedia.org/resource/Arthur_Omre	http://www.idref.fr/034411143
M. Arthur Omre	Omre, Arthur (1887-1967)	http://data.bnf.fr/ark:/12148/cb12516934r#foaf:Person	http://dbpedia.org/resource/Arthur_Omre	http://www.idref.fr/034411143
Umberto Orlandini	Orlandini, Umberto (1899--)	http://data.bnf.fr/ark:/12148/cb14575880x#foaf:Person
