Víctor Gálvez	Quesada, Vicente Gregorio (1830-1913)	http://data.bnf.fr/ark:/12148/cb122199239#foaf:Person	http://www.idref.fr/030870194
Vicente Gregorio Quesada	Quesada, Vicente Gregorio (1830-1913)	http://data.bnf.fr/ark:/12148/cb122199239#foaf:Person	http://www.idref.fr/030870194
Quesada	Quesada, Vicente Gregorio (1830-1913)	http://data.bnf.fr/ark:/12148/cb122199239#foaf:Person	http://www.idref.fr/030870194
V G Quesada	Quesada, Vicente Gregorio (1830-1913)	http://data.bnf.fr/ark:/12148/cb122199239#foaf:Person	http://www.idref.fr/030870194
V. G. Quesada	Quesada, Vicente Gregorio (1830-1913)	http://data.bnf.fr/ark:/12148/cb122199239#foaf:Person	http://www.idref.fr/030870194
M Quesada	Quesada, Vicente Gregorio (1830-1913)	http://data.bnf.fr/ark:/12148/cb122199239#foaf:Person	http://www.idref.fr/030870194
M Vicente Gregorio Quesada	Quesada, Vicente Gregorio (1830-1913)	http://data.bnf.fr/ark:/12148/cb122199239#foaf:Person	http://www.idref.fr/030870194
M. Quesada	Quesada, Vicente Gregorio (1830-1913)	http://data.bnf.fr/ark:/12148/cb122199239#foaf:Person	http://www.idref.fr/030870194
M. Vicente Gregorio Quesada	Quesada, Vicente Gregorio (1830-1913)	http://data.bnf.fr/ark:/12148/cb122199239#foaf:Person	http://www.idref.fr/030870194
Charles Questel	Questel, Charles Auguste (1807-1888)	http://data.bnf.fr/ark:/12148/cb12732459h#foaf:Person	http://dbpedia.org/resource/Charles-Auguste_Questel	http://www.idref.fr/131479210
Charles Auguste Questel	Questel, Charles Auguste (1807-1888)	http://data.bnf.fr/ark:/12148/cb12732459h#foaf:Person	http://dbpedia.org/resource/Charles-Auguste_Questel	http://www.idref.fr/131479210
Questel	Questel, Charles Auguste (1807-1888)	http://data.bnf.fr/ark:/12148/cb12732459h#foaf:Person	http://dbpedia.org/resource/Charles-Auguste_Questel	http://www.idref.fr/131479210
C A Questel	Questel, Charles Auguste (1807-1888)	http://data.bnf.fr/ark:/12148/cb12732459h#foaf:Person	http://dbpedia.org/resource/Charles-Auguste_Questel	http://www.idref.fr/131479210
C. A. Questel	Questel, Charles Auguste (1807-1888)	http://data.bnf.fr/ark:/12148/cb12732459h#foaf:Person	http://dbpedia.org/resource/Charles-Auguste_Questel	http://www.idref.fr/131479210
M Questel	Questel, Charles Auguste (1807-1888)	http://data.bnf.fr/ark:/12148/cb12732459h#foaf:Person	http://dbpedia.org/resource/Charles-Auguste_Questel	http://www.idref.fr/131479210
M Charles Auguste Questel	Questel, Charles Auguste (1807-1888)	http://data.bnf.fr/ark:/12148/cb12732459h#foaf:Person	http://dbpedia.org/resource/Charles-Auguste_Questel	http://www.idref.fr/131479210
M. Questel	Questel, Charles Auguste (1807-1888)	http://data.bnf.fr/ark:/12148/cb12732459h#foaf:Person	http://dbpedia.org/resource/Charles-Auguste_Questel	http://www.idref.fr/131479210
M. Charles Auguste Questel	Questel, Charles Auguste (1807-1888)	http://data.bnf.fr/ark:/12148/cb12732459h#foaf:Person	http://dbpedia.org/resource/Charles-Auguste_Questel	http://www.idref.fr/131479210
Hendrick Peter Godfried Quack	Quack, Hendrik Peter Godfried (1834-1917)	http://data.bnf.fr/ark:/12148/cb106628275#foaf:Person	http://www.idref.fr/111042542
Hendrik Peter Godfried Quack	Quack, Hendrik Peter Godfried (1834-1917)	http://data.bnf.fr/ark:/12148/cb106628275#foaf:Person	http://www.idref.fr/111042542
Quack	Quack, Hendrik Peter Godfried (1834-1917)	http://data.bnf.fr/ark:/12148/cb106628275#foaf:Person	http://www.idref.fr/111042542
H P G Quack	Quack, Hendrik Peter Godfried (1834-1917)	http://data.bnf.fr/ark:/12148/cb106628275#foaf:Person	http://www.idref.fr/111042542
H. P. G. Quack	Quack, Hendrik Peter Godfried (1834-1917)	http://data.bnf.fr/ark:/12148/cb106628275#foaf:Person	http://www.idref.fr/111042542
M Quack	Quack, Hendrik Peter Godfried (1834-1917)	http://data.bnf.fr/ark:/12148/cb106628275#foaf:Person	http://www.idref.fr/111042542
M Hendrik Peter Godfried Quack	Quack, Hendrik Peter Godfried (1834-1917)	http://data.bnf.fr/ark:/12148/cb106628275#foaf:Person	http://www.idref.fr/111042542
M. Quack	Quack, Hendrik Peter Godfried (1834-1917)	http://data.bnf.fr/ark:/12148/cb106628275#foaf:Person	http://www.idref.fr/111042542
M. Hendrik Peter Godfried Quack	Quack, Hendrik Peter Godfried (1834-1917)	http://data.bnf.fr/ark:/12148/cb106628275#foaf:Person	http://www.idref.fr/111042542
Horacio Silvestre Quiroga	Quiroga, Horacio (1878-1937)	http://data.bnf.fr/ark:/12148/cb12016648r#foaf:Person	http://dbpedia.org/resource/Horacio_Quiroga	http://www.idref.fr/028302990
Horacio Quiroga	Quiroga, Horacio (1878-1937)	http://data.bnf.fr/ark:/12148/cb12016648r#foaf:Person	http://dbpedia.org/resource/Horacio_Quiroga	http://www.idref.fr/028302990
Quiroga	Quiroga, Horacio (1878-1937)	http://data.bnf.fr/ark:/12148/cb12016648r#foaf:Person	http://dbpedia.org/resource/Horacio_Quiroga	http://www.idref.fr/028302990
H Quiroga	Quiroga, Horacio (1878-1937)	http://data.bnf.fr/ark:/12148/cb12016648r#foaf:Person	http://dbpedia.org/resource/Horacio_Quiroga	http://www.idref.fr/028302990
H. Quiroga	Quiroga, Horacio (1878-1937)	http://data.bnf.fr/ark:/12148/cb12016648r#foaf:Person	http://dbpedia.org/resource/Horacio_Quiroga	http://www.idref.fr/028302990
M Quiroga	Quiroga, Horacio (1878-1937)	http://data.bnf.fr/ark:/12148/cb12016648r#foaf:Person	http://dbpedia.org/resource/Horacio_Quiroga	http://www.idref.fr/028302990
M Horacio Quiroga	Quiroga, Horacio (1878-1937)	http://data.bnf.fr/ark:/12148/cb12016648r#foaf:Person	http://dbpedia.org/resource/Horacio_Quiroga	http://www.idref.fr/028302990
M. Quiroga	Quiroga, Horacio (1878-1937)	http://data.bnf.fr/ark:/12148/cb12016648r#foaf:Person	http://dbpedia.org/resource/Horacio_Quiroga	http://www.idref.fr/028302990
M. Horacio Quiroga	Quiroga, Horacio (1878-1937)	http://data.bnf.fr/ark:/12148/cb12016648r#foaf:Person	http://dbpedia.org/resource/Horacio_Quiroga	http://www.idref.fr/028302990
Stina Quint	Quint, Stina (1859-1924)	http://data.bnf.fr/ark:/12148/cb126527645#foaf:Person	http://www.idref.fr/027697460
Quint	Quint, Stina (1859-1924)	http://data.bnf.fr/ark:/12148/cb126527645#foaf:Person	http://www.idref.fr/027697460
S Quint	Quint, Stina (1859-1924)	http://data.bnf.fr/ark:/12148/cb126527645#foaf:Person	http://www.idref.fr/027697460
