Juan Domingo de Unzueta Abaunza	Unzueta, Juan de (1794-1870)	http://data.bnf.fr/ark:/12148/cb106786080#foaf:Person
M. Unzueta	Unzueta, Juan de (1794-1870)	http://data.bnf.fr/ark:/12148/cb106786080#foaf:Person
J. Unzueta	Unzueta, Juan de (1794-1870)	http://data.bnf.fr/ark:/12148/cb106786080#foaf:Person
Juan de Unzueta	Unzueta, Juan de (1794-1870)	http://data.bnf.fr/ark:/12148/cb106786080#foaf:Person
De Unzueta	Unzueta, Juan de (1794-1870)	http://data.bnf.fr/ark:/12148/cb106786080#foaf:Person
M Unzueta	Unzueta, Juan de (1794-1870)	http://data.bnf.fr/ark:/12148/cb106786080#foaf:Person
J. De Unzueta	Unzueta, Juan de (1794-1870)	http://data.bnf.fr/ark:/12148/cb106786080#foaf:Person
Unzueta	Unzueta, Juan de (1794-1870)	http://data.bnf.fr/ark:/12148/cb106786080#foaf:Person
J Unzueta	Unzueta, Juan de (1794-1870)	http://data.bnf.fr/ark:/12148/cb106786080#foaf:Person
M. de Unzueta	Unzueta, Juan de (1794-1870)	http://data.bnf.fr/ark:/12148/cb106786080#foaf:Person
M Juan de Unzueta	Unzueta, Juan de (1794-1870)	http://data.bnf.fr/ark:/12148/cb106786080#foaf:Person
M. Juan de Unzueta	Unzueta, Juan de (1794-1870)	http://data.bnf.fr/ark:/12148/cb106786080#foaf:Person
J de Unzueta	Unzueta, Juan de (1794-1870)	http://data.bnf.fr/ark:/12148/cb106786080#foaf:Person
M De Unzueta	Unzueta, Juan de (1794-1870)	http://data.bnf.fr/ark:/12148/cb106786080#foaf:Person
de Unzueta	Unzueta, Juan de (1794-1870)	http://data.bnf.fr/ark:/12148/cb106786080#foaf:Person
J. de Unzueta	Unzueta, Juan de (1794-1870)	http://data.bnf.fr/ark:/12148/cb106786080#foaf:Person
M. De Unzueta	Unzueta, Juan de (1794-1870)	http://data.bnf.fr/ark:/12148/cb106786080#foaf:Person
J De Unzueta	Unzueta, Juan de (1794-1870)	http://data.bnf.fr/ark:/12148/cb106786080#foaf:Person
M de Unzueta	Unzueta, Juan de (1794-1870)	http://data.bnf.fr/ark:/12148/cb106786080#foaf:Person
Juan Domingo de Unzueta	Unzueta, Juan de (1794-1870)	http://data.bnf.fr/ark:/12148/cb106786080#foaf:Person
Sergeĭ Semenovitch Ouvarov	Uvarov, Sergej Semenovič (1786-1855)	http://data.bnf.fr/ark:/12148/cb13007720t#foaf:Person	http://dbpedia.org/resource/Sergueï_Ouvarov	http://www.idref.fr/123322707
Uvarov	Uvarov, Sergej Semenovič (1786-1855)	http://data.bnf.fr/ark:/12148/cb13007720t#foaf:Person	http://dbpedia.org/resource/Sergueï_Ouvarov	http://www.idref.fr/123322707
M. Sergej Semenovič Uvarov	Uvarov, Sergej Semenovič (1786-1855)	http://data.bnf.fr/ark:/12148/cb13007720t#foaf:Person	http://dbpedia.org/resource/Sergueï_Ouvarov	http://www.idref.fr/123322707
M Sergej Semenovič Uvarov	Uvarov, Sergej Semenovič (1786-1855)	http://data.bnf.fr/ark:/12148/cb13007720t#foaf:Person	http://dbpedia.org/resource/Sergueï_Ouvarov	http://www.idref.fr/123322707
M. Uvarov	Uvarov, Sergej Semenovič (1786-1855)	http://data.bnf.fr/ark:/12148/cb13007720t#foaf:Person	http://dbpedia.org/resource/Sergueï_Ouvarov	http://www.idref.fr/123322707
M Uvarov	Uvarov, Sergej Semenovič (1786-1855)	http://data.bnf.fr/ark:/12148/cb13007720t#foaf:Person	http://dbpedia.org/resource/Sergueï_Ouvarov	http://www.idref.fr/123322707
S S Uvarov	Uvarov, Sergej Semenovič (1786-1855)	http://data.bnf.fr/ark:/12148/cb13007720t#foaf:Person	http://dbpedia.org/resource/Sergueï_Ouvarov	http://www.idref.fr/123322707
S. S. Uvarov	Uvarov, Sergej Semenovič (1786-1855)	http://data.bnf.fr/ark:/12148/cb13007720t#foaf:Person	http://dbpedia.org/resource/Sergueï_Ouvarov	http://www.idref.fr/123322707
Sergej Semenovič Uvarov	Uvarov, Sergej Semenovič (1786-1855)	http://data.bnf.fr/ark:/12148/cb13007720t#foaf:Person	http://dbpedia.org/resource/Sergueï_Ouvarov	http://www.idref.fr/123322707
Comte Ouvaroff	Uvarov, Sergej Semenovič (1786-1855)	http://data.bnf.fr/ark:/12148/cb13007720t#foaf:Person	http://dbpedia.org/resource/Sergueï_Ouvarov	http://www.idref.fr/123322707
Sergej Semenovic Uvarov	Uvarov, Sergej Semenovič (1786-1855)	http://data.bnf.fr/ark:/12148/cb13007720t#foaf:Person	http://dbpedia.org/resource/Sergueï_Ouvarov	http://www.idref.fr/123322707
Sergei Semenovich Uvarov	Uvarov, Sergej Semenovič (1786-1855)	http://data.bnf.fr/ark:/12148/cb13007720t#foaf:Person	http://dbpedia.org/resource/Sergueï_Ouvarov	http://www.idref.fr/123322707
Serge Ouvarov	Uvarov, Sergej Semenovič (1786-1855)	http://data.bnf.fr/ark:/12148/cb13007720t#foaf:Person	http://dbpedia.org/resource/Sergueï_Ouvarov	http://www.idref.fr/123322707
Sergius Semenovitch Ouvarof	Uvarov, Sergej Semenovič (1786-1855)	http://data.bnf.fr/ark:/12148/cb13007720t#foaf:Person	http://dbpedia.org/resource/Sergueï_Ouvarov	http://www.idref.fr/123322707
Sergiei Semenovitch Ouvarov	Uvarov, Sergej Semenovič (1786-1855)	http://data.bnf.fr/ark:/12148/cb13007720t#foaf:Person	http://dbpedia.org/resource/Sergueï_Ouvarov	http://www.idref.fr/123322707
Serguei Semenovicth Uvarov	Uvarov, Sergej Semenovič (1786-1855)	http://data.bnf.fr/ark:/12148/cb13007720t#foaf:Person	http://dbpedia.org/resource/Sergueï_Ouvarov	http://www.idref.fr/123322707
Léon-Uhl	Uhl, Léon (1889--)	http://data.bnf.fr/ark:/12148/cb10194462t#foaf:Person
M. Léon Uhl	Uhl, Léon (1889--)	http://data.bnf.fr/ark:/12148/cb10194462t#foaf:Person
L. Uhl	Uhl, Léon (1889--)	http://data.bnf.fr/ark:/12148/cb10194462t#foaf:Person
M. Uhl	Uhl, Léon (1889--)	http://data.bnf.fr/ark:/12148/cb10194462t#foaf:Person
Léon Uhl	Uhl, Léon (1889--)	http://data.bnf.fr/ark:/12148/cb10194462t#foaf:Person
Uhl	Uhl, Léon (1889--)	http://data.bnf.fr/ark:/12148/cb10194462t#foaf:Person
M Uhl	Uhl, Léon (1889--)	http://data.bnf.fr/ark:/12148/cb10194462t#foaf:Person
M Léon Uhl	Uhl, Léon (1889--)	http://data.bnf.fr/ark:/12148/cb10194462t#foaf:Person
L Uhl	Uhl, Léon (1889--)	http://data.bnf.fr/ark:/12148/cb10194462t#foaf:Person
M. Upādhyāya	Upādhyāya, Ayodhyāsiṃha (1865-1947)	http://data.bnf.fr/ark:/12148/cb13512500h#foaf:Person	http://www.idref.fr/050406116
M Ayodhyāsiṃha Upādhyāya	Upādhyāya, Ayodhyāsiṃha (1865-1947)	http://data.bnf.fr/ark:/12148/cb13512500h#foaf:Person	http://www.idref.fr/050406116
M. Ayodhyāsiṃha Upādhyāya	Upādhyāya, Ayodhyāsiṃha (1865-1947)	http://data.bnf.fr/ark:/12148/cb13512500h#foaf:Person	http://www.idref.fr/050406116
Ayodhyāsiṃha Upādhyāya	Upādhyāya, Ayodhyāsiṃha (1865-1947)	http://data.bnf.fr/ark:/12148/cb13512500h#foaf:Person	http://www.idref.fr/050406116
