William Harrison Woodward	Woodward, William Harrison (1856-1941)	http://data.bnf.fr/ark:/12148/cb16761475p#foaf:Person	http://www.idref.fr/133850870
Woodward	Woodward, William Harrison (1856-1941)	http://data.bnf.fr/ark:/12148/cb16761475p#foaf:Person	http://www.idref.fr/133850870
W H Woodward	Woodward, William Harrison (1856-1941)	http://data.bnf.fr/ark:/12148/cb16761475p#foaf:Person	http://www.idref.fr/133850870
W. H. Woodward	Woodward, William Harrison (1856-1941)	http://data.bnf.fr/ark:/12148/cb16761475p#foaf:Person	http://www.idref.fr/133850870
M Woodward	Woodward, William Harrison (1856-1941)	http://data.bnf.fr/ark:/12148/cb16761475p#foaf:Person	http://www.idref.fr/133850870
M William Harrison Woodward	Woodward, William Harrison (1856-1941)	http://data.bnf.fr/ark:/12148/cb16761475p#foaf:Person	http://www.idref.fr/133850870
M. Woodward	Woodward, William Harrison (1856-1941)	http://data.bnf.fr/ark:/12148/cb16761475p#foaf:Person	http://www.idref.fr/133850870
M. William Harrison Woodward	Woodward, William Harrison (1856-1941)	http://data.bnf.fr/ark:/12148/cb16761475p#foaf:Person	http://www.idref.fr/133850870
William Warham	Warham, William (1450-1532)	http://data.bnf.fr/ark:/12148/cb13543573k#foaf:Person	http://www.idref.fr/084570083
Warham	Warham, William (1450-1532)	http://data.bnf.fr/ark:/12148/cb13543573k#foaf:Person	http://www.idref.fr/084570083
W Warham	Warham, William (1450-1532)	http://data.bnf.fr/ark:/12148/cb13543573k#foaf:Person	http://www.idref.fr/084570083
W. Warham	Warham, William (1450-1532)	http://data.bnf.fr/ark:/12148/cb13543573k#foaf:Person	http://www.idref.fr/084570083
M Warham	Warham, William (1450-1532)	http://data.bnf.fr/ark:/12148/cb13543573k#foaf:Person	http://www.idref.fr/084570083
M William Warham	Warham, William (1450-1532)	http://data.bnf.fr/ark:/12148/cb13543573k#foaf:Person	http://www.idref.fr/084570083
M. Warham	Warham, William (1450-1532)	http://data.bnf.fr/ark:/12148/cb13543573k#foaf:Person	http://www.idref.fr/084570083
M. William Warham	Warham, William (1450-1532)	http://data.bnf.fr/ark:/12148/cb13543573k#foaf:Person	http://www.idref.fr/084570083
David Wilkie	Wilkie, David (1785-1841)	http://data.bnf.fr/ark:/12148/cb14942701v#foaf:Person	http://www.idref.fr/079412378
Wilkie	Wilkie, David (1785-1841)	http://data.bnf.fr/ark:/12148/cb14942701v#foaf:Person	http://www.idref.fr/079412378
D Wilkie	Wilkie, David (1785-1841)	http://data.bnf.fr/ark:/12148/cb14942701v#foaf:Person	http://www.idref.fr/079412378
D. Wilkie	Wilkie, David (1785-1841)	http://data.bnf.fr/ark:/12148/cb14942701v#foaf:Person	http://www.idref.fr/079412378
