Xinxing fashi	Xinxing, 	http://data.bnf.fr/ark:/12148/cb13743097j#foaf:Person	http://www.idref.fr/078614562
 Xinxing	Xinxing, 	http://data.bnf.fr/ark:/12148/cb13743097j#foaf:Person	http://www.idref.fr/078614562
Xinxing	Xinxing, 	http://data.bnf.fr/ark:/12148/cb13743097j#foaf:Person	http://www.idref.fr/078614562
 Xinxing	Xinxing, 	http://data.bnf.fr/ark:/12148/cb13743097j#foaf:Person	http://www.idref.fr/078614562
. Xinxing	Xinxing, 	http://data.bnf.fr/ark:/12148/cb13743097j#foaf:Person	http://www.idref.fr/078614562
M Xinxing	Xinxing, 	http://data.bnf.fr/ark:/12148/cb13743097j#foaf:Person	http://www.idref.fr/078614562
M  Xinxing	Xinxing, 	http://data.bnf.fr/ark:/12148/cb13743097j#foaf:Person	http://www.idref.fr/078614562
M. Xinxing	Xinxing, 	http://data.bnf.fr/ark:/12148/cb13743097j#foaf:Person	http://www.idref.fr/078614562
M.  Xinxing	Xinxing, 	http://data.bnf.fr/ark:/12148/cb13743097j#foaf:Person	http://www.idref.fr/078614562
Shingyo	Xinxing, 	http://data.bnf.fr/ark:/12148/cb13743097j#foaf:Person	http://www.idref.fr/078614562
Xin Xing	Xinxing, 	http://data.bnf.fr/ark:/12148/cb13743097j#foaf:Person	http://www.idref.fr/078614562
Hsin-hsing	Xinxing, 	http://data.bnf.fr/ark:/12148/cb13743097j#foaf:Person	http://www.idref.fr/078614562
Hsin-hsing-fa-shih	Xinxing, 	http://data.bnf.fr/ark:/12148/cb13743097j#foaf:Person	http://www.idref.fr/078614562
Zankun Xu	Xu, Di shan (1893-1941)	http://data.bnf.fr/ark:/12148/cb135417175#foaf:Person	http://www.idref.fr/050726951	http://dbpedia.org/resource/Xu_Dishan
Di shan Xu	Xu, Di shan (1893-1941)	http://data.bnf.fr/ark:/12148/cb135417175#foaf:Person	http://www.idref.fr/050726951	http://dbpedia.org/resource/Xu_Dishan
Xu	Xu, Di shan (1893-1941)	http://data.bnf.fr/ark:/12148/cb135417175#foaf:Person	http://www.idref.fr/050726951	http://dbpedia.org/resource/Xu_Dishan
