Piek Yi	Yi, Pyōk (1754-1786)	http://data.bnf.fr/ark:/12148/cb11985612c#foaf:Person	http://www.idref.fr/027916413
Pyōk Yi	Yi, Pyōk (1754-1786)	http://data.bnf.fr/ark:/12148/cb11985612c#foaf:Person	http://www.idref.fr/027916413
Yi	Yi, Pyōk (1754-1786)	http://data.bnf.fr/ark:/12148/cb11985612c#foaf:Person	http://www.idref.fr/027916413
P Yi	Yi, Pyōk (1754-1786)	http://data.bnf.fr/ark:/12148/cb11985612c#foaf:Person	http://www.idref.fr/027916413
P. Yi	Yi, Pyōk (1754-1786)	http://data.bnf.fr/ark:/12148/cb11985612c#foaf:Person	http://www.idref.fr/027916413
M Yi	Yi, Pyōk (1754-1786)	http://data.bnf.fr/ark:/12148/cb11985612c#foaf:Person	http://www.idref.fr/027916413
M Pyōk Yi	Yi, Pyōk (1754-1786)	http://data.bnf.fr/ark:/12148/cb11985612c#foaf:Person	http://www.idref.fr/027916413
M. Yi	Yi, Pyōk (1754-1786)	http://data.bnf.fr/ark:/12148/cb11985612c#foaf:Person	http://www.idref.fr/027916413
M. Pyōk Yi	Yi, Pyōk (1754-1786)	http://data.bnf.fr/ark:/12148/cb11985612c#foaf:Person	http://www.idref.fr/027916413
Yi Piōk	Yi, Pyōk (1754-1786)	http://data.bnf.fr/ark:/12148/cb11985612c#foaf:Person	http://www.idref.fr/027916413
Claude-Alexis Ysabeau	Ysabeau, Claude Alexandre (1754-1831)	http://data.bnf.fr/ark:/12148/cb12462107j#foaf:Person	http://www.idref.fr/082849498
Claude Alexandre Ysabeau	Ysabeau, Claude Alexandre (1754-1831)	http://data.bnf.fr/ark:/12148/cb12462107j#foaf:Person	http://www.idref.fr/082849498
Ysabeau	Ysabeau, Claude Alexandre (1754-1831)	http://data.bnf.fr/ark:/12148/cb12462107j#foaf:Person	http://www.idref.fr/082849498
C A Ysabeau	Ysabeau, Claude Alexandre (1754-1831)	http://data.bnf.fr/ark:/12148/cb12462107j#foaf:Person	http://www.idref.fr/082849498
C. A. Ysabeau	Ysabeau, Claude Alexandre (1754-1831)	http://data.bnf.fr/ark:/12148/cb12462107j#foaf:Person	http://www.idref.fr/082849498
M Ysabeau	Ysabeau, Claude Alexandre (1754-1831)	http://data.bnf.fr/ark:/12148/cb12462107j#foaf:Person	http://www.idref.fr/082849498
M Claude Alexandre Ysabeau	Ysabeau, Claude Alexandre (1754-1831)	http://data.bnf.fr/ark:/12148/cb12462107j#foaf:Person	http://www.idref.fr/082849498
M. Ysabeau	Ysabeau, Claude Alexandre (1754-1831)	http://data.bnf.fr/ark:/12148/cb12462107j#foaf:Person	http://www.idref.fr/082849498
M. Claude Alexandre Ysabeau	Ysabeau, Claude Alexandre (1754-1831)	http://data.bnf.fr/ark:/12148/cb12462107j#foaf:Person	http://www.idref.fr/082849498
Alexandre Ysabeau	Ysabeau, Claude Alexandre (1754-1831)	http://data.bnf.fr/ark:/12148/cb12462107j#foaf:Person	http://www.idref.fr/082849498
Claude-Alexandre Yzabeau	Ysabeau, Claude Alexandre (1754-1831)	http://data.bnf.fr/ark:/12148/cb12462107j#foaf:Person	http://www.idref.fr/082849498
Areno Iukanthor	Yukanthor, (1860-1934)	http://data.bnf.fr/ark:/12148/cb12223790n#foaf:Person	http://www.idref.fr/030918022
 Yukanthor	Yukanthor, (1860-1934)	http://data.bnf.fr/ark:/12148/cb12223790n#foaf:Person	http://www.idref.fr/030918022
Yukanthor	Yukanthor, (1860-1934)	http://data.bnf.fr/ark:/12148/cb12223790n#foaf:Person	http://www.idref.fr/030918022
 Yukanthor	Yukanthor, (1860-1934)	http://data.bnf.fr/ark:/12148/cb12223790n#foaf:Person	http://www.idref.fr/030918022
. Yukanthor	Yukanthor, (1860-1934)	http://data.bnf.fr/ark:/12148/cb12223790n#foaf:Person	http://www.idref.fr/030918022
M Yukanthor	Yukanthor, (1860-1934)	http://data.bnf.fr/ark:/12148/cb12223790n#foaf:Person	http://www.idref.fr/030918022
M  Yukanthor	Yukanthor, (1860-1934)	http://data.bnf.fr/ark:/12148/cb12223790n#foaf:Person	http://www.idref.fr/030918022
M. Yukanthor	Yukanthor, (1860-1934)	http://data.bnf.fr/ark:/12148/cb12223790n#foaf:Person	http://www.idref.fr/030918022
M.  Yukanthor	Yukanthor, (1860-1934)	http://data.bnf.fr/ark:/12148/cb12223790n#foaf:Person	http://www.idref.fr/030918022
Aruna Yukanthor	Yukanthor, (1860-1934)	http://data.bnf.fr/ark:/12148/cb12223790n#foaf:Person	http://www.idref.fr/030918022
Iukanthor	Yukanthor, (1860-1934)	http://data.bnf.fr/ark:/12148/cb12223790n#foaf:Person	http://www.idref.fr/030918022
Xishan Yan	Yan, Xi Shan (1883-1960)	http://data.bnf.fr/ark:/12148/cb162350005#foaf:Person
Xi Shan Yan	Yan, Xi Shan (1883-1960)	http://data.bnf.fr/ark:/12148/cb162350005#foaf:Person
Yan	Yan, Xi Shan (1883-1960)	http://data.bnf.fr/ark:/12148/cb162350005#foaf:Person
X S Yan	Yan, Xi Shan (1883-1960)	http://data.bnf.fr/ark:/12148/cb162350005#foaf:Person
X. S. Yan	Yan, Xi Shan (1883-1960)	http://data.bnf.fr/ark:/12148/cb162350005#foaf:Person
M Yan	Yan, Xi Shan (1883-1960)	http://data.bnf.fr/ark:/12148/cb162350005#foaf:Person
M Xi Shan Yan	Yan, Xi Shan (1883-1960)	http://data.bnf.fr/ark:/12148/cb162350005#foaf:Person
M. Yan	Yan, Xi Shan (1883-1960)	http://data.bnf.fr/ark:/12148/cb162350005#foaf:Person
M. Xi Shan Yan	Yan, Xi Shan (1883-1960)	http://data.bnf.fr/ark:/12148/cb162350005#foaf:Person
Bai Chuan Yan	Yan, Xi Shan (1883-1960)	http://data.bnf.fr/ark:/12148/cb162350005#foaf:Person
Hsi-shan Yen	Yan, Xi Shan (1883-1960)	http://data.bnf.fr/ark:/12148/cb162350005#foaf:Person
Bo Chuan Yan	Yan, Xi Shan (1883-1960)	http://data.bnf.fr/ark:/12148/cb162350005#foaf:Person
錫山 閻	Yan, Xi Shan (1883-1960)	http://data.bnf.fr/ark:/12148/cb162350005#foaf:Person
Richard	York, Richard (1411-1460)	http://data.bnf.fr/ark:/12148/cb12117611t#foaf:Person
Richard York	York, Richard (1411-1460)	http://data.bnf.fr/ark:/12148/cb12117611t#foaf:Person
